FSM        47992      Phq6stv
4.5196     10.8195    12.722
4.5617     10.736     12.5834
4.5959     10.65      12.4409
4.5892     10.6198    12.2508
4.6162     10.5421    12.0584
4.6202     10.4432    11.8798
4.6457     10.3597    11.6886
4.6326     10.3142    11.5207
4.6325     10.1643    11.3408
4.6423     10.0425    11.1692
4.6678     9.9337     10.96
4.6906     9.8983     10.7178
4.7964     9.855      10.4125
4.8623     9.8947     10.2549
4.9976     9.9275     10.0966
5.2219     10.0064    9.9742
5.3538     10.2871    9.9839
5.4087     10.5032    10.0218
5.4527     10.8402    10.0847
5.4721     10.9612    10.1517
















































































































































































0.738      5.2785     12.1973    OP
0.5858     7.4772     12.1884    BA
0.2395     12.6173    11.5553    ST
-0.3576    18.277     12.2696    IV
-3.5628    7.1499     11.852     R_PG
-5.4153    9.0837     11.0504    R_ZTI
-2.2306    13.164     13.0964    R_M3D
-2.7216    15.775     13.2256    R_M12
-2.7344    18.1793    13.3335    R_MP3
-2.2816    19.7425    13.1421    R_PMI
4.6803     7.7353     12.0904    L_PG
6.2314     10.1065    11.1717    L_ZTI
2.4424     13.4509    13.3373    L_M3D
2.4706     16.0445    13.4242    L_M12
2.13       18.5375    13.4172    L_MP3
1.2142     19.883     13.2326    L_PMI
-0.1323    21.6185    13.0116    O1
-2.7667    9.7691     5.6749     O2
6.5017     10.3124    10.246     O3
0.2126     2.4189     10.0732    O4




















































































































































































-3.7925    12.8518    10.8542    RZYGINF
-3.9976    12.6965    10.7773
-4.1763    12.6259    10.6969
-4.3751    12.5588    10.7181
-4.6601    12.5238    10.936
-4.7873    12.3496    11.0074
-5.0184    12.1291    10.9515
-5.0947    11.8735    10.9418
-5.0721    11.5799    10.8649
-5.1013    11.3443    10.8628
-5.1126    11.0536    10.8399
-5.1602    10.8641    10.8366
-5.1171    10.6212    10.878
-5.1408    10.3417    10.9238
-5.1386    10.1847    10.9481
-5.1815    10.0129    10.9691
-5.2179    9.916      10.9994
-5.2979    9.7187     11.07
-5.3308    9.5004     11.1125
-5.3541    9.2813     11.1228
-5.3601    9.2059     11.099
-5.4074    9.0541     11.0518


















































































































































































4.2662     13.4545    11.0214    LZYGINF
4.6214     13.419     10.9493
4.8719     13.436     11.0111
5.0335     13.3435    11.126
5.2785     13.1785    11.2183
5.3793     13.0016    11.2551
5.507      12.902     11.2527
5.7227     12.6518    11.2197
5.6963     12.4519    11.1971
5.5598     12.2537    11.173
5.5379     11.7877    11.1685
5.611      11.4798    11.2125
5.6818     11.229     11.2551
5.71       10.9838    11.2704
5.7064     10.7269    11.2424
5.8306     10.5532    11.2475
6.0075     10.4206    11.2357
6.1289     10.3178    11.2525
6.1729     10.2501    11.2225
6.2716     10.1241    11.1763




















































































































































































-2.2106    13.1579    13.0804    R-ALV
-2.3754    13.3859    13.1023
-2.5138    13.688     13.0537
-2.6344    14.0938    12.9637
-2.6168    14.5115    13.0408
-2.6454    14.7871    13.1138
-2.7059    15.0548    13.1803
-2.7816    15.3571    13.1949
-2.7649    15.6165    13.164
-2.7109    15.8357    13.2478
-2.6998    16.1626    13.2726
-2.7337    16.54      13.245
-2.7193    16.8005    13.1788
-2.7228    17.0725    13.2135
-2.7584    17.3537    13.2168
-2.7566    17.6311    13.2457
-2.7799    17.8283    13.2518
-2.7896    17.9854    13.2649
-2.7968    18.1288    13.2687
-2.7505    18.2204    13.3395




















































































































































































2.3318     13.4536    13.3817    L-ALV
2.5188     13.7421    13.3098
2.5935     14.1311    13.3087
2.6389     14.512     13.209
2.538      14.848     13.2753
2.5453     15.0869    13.291
2.5659     15.3662    13.2832
2.6148     15.6135    13.2314
2.5336     16.0802    13.2666
2.4639     16.3703    13.2559
2.4297     16.5709    13.3542
2.4038     16.9366    13.3795
2.2797     17.2896    13.1656
2.24       17.8169    13.2668
2.2053     18.1384    13.3286
2.18       18.4217    13.3351
2.1349     18.619     13.4089
