AMNH       238034     Tg7stv
5.6927     8.9684     13.848
5.6214     8.8449     13.843
5.6331     8.6082     13.8931
5.5945     8.3811     13.9318
5.5142     8.1188     13.9314
5.5555     7.9083     13.9365
5.5628     7.7052     13.9415
5.6018     7.4633     13.9044
5.665      7.3484     13.9049
5.686      7.1907     13.8698
5.7445     7.0202     13.8292
5.7995     6.8844     13.8075
5.8796     6.6799     13.7661
5.9553     6.5053     13.7273
6.0406     6.3701     13.687
6.113      6.2153     13.6625
6.215      6.088      13.6218
6.2924     6.0017     13.5934
6.3688     5.865      13.5652
6.521      5.7597     13.5762
6.6685     5.6407     13.6011
6.7915     5.5609     13.6231
6.9404     5.5018     13.6554
7.141      5.449      13.709
7.2804     5.3293     13.7076
7.4641     5.2158     13.7196
7.5915     5.174      13.7409
7.748      5.104      13.7454
7.8708     5.0349     13.7557
8.0568     4.952      13.781
8.2577     4.8879     13.7891
8.4234     4.8796     13.7863
8.5784     4.9016     13.7734
8.78       4.9211     13.7708
8.9019     5.0115     13.7793
9.0207     5.0512     13.7681
9.183      5.1347     13.7675
9.3005     5.2289     13.7591
9.3912     5.2886     13.7683
9.5536     5.3208     13.7388
9.7006     5.3453     13.6811
9.6764     5.2256     13.5917
9.8483     5.1754     13.4163
9.9317     5.2556     13.2555
10.0453    5.2103     13.0973
10.1234    5.2334     12.9275
10.1996    5.2373     12.7761
10.3318    5.1979     12.6031
10.3761    5.2344     12.5159
10.4215    5.3023     12.3588













































































































































5.7986     8.1405     10.9883    RORBIT
5.6999     8.2943     11.0793
5.6328     8.4763     11.1647
5.5822     8.6074     11.2653
5.5273     8.8112     11.3771
5.5227     8.918      11.4889
5.5153     8.9736     11.5807
5.5149     9.0893     11.6957
5.5394     9.1629     11.8143
5.5272     9.1963     11.9381
5.5438     9.1918     12.0921
5.5443     9.2017     12.2088
5.5084     9.2046     12.3621
5.4703     9.165      12.5491
5.3968     9.0723     12.6404
5.18       8.7544     12.8007
5.1351     8.5876     12.8326
5.1388     8.3978     12.832
5.1302     8.2203     12.8449
5.1696     8.0198     12.8315
5.1509     7.8209     12.8196
5.234      7.7071     12.7808
5.2841     7.5311     12.7471
5.3631     7.4173     12.7203
5.4547     7.3282     12.6857
5.5663     7.1512     12.6768
5.662      7.0033     12.8203
5.7231     6.8135     12.8253
5.8413     6.6393     12.8307
5.968      6.5935     12.813
6.0904     6.5405     12.7771
6.2989     6.5584     12.6782
6.415      6.621      12.5398
6.4699     6.687      12.4684
6.4852     6.748      12.373
6.5146     6.7664     12.2754
6.5781     6.7721     12.2014



































































































































































8.5004     5.3813     10.9565    LORBIT
8.6928     5.323      11.0022
8.8102     5.228      11.0354
8.9501     5.1299     11.0504
9.0766     5.0883     11.1101
9.1972     5.0379     11.1573
9.2899     5.0024     11.2107
9.4078     4.9768     11.2953
9.5171     4.9622     11.4218
