AMNH       21650      phu5stv
7.6994     12.2632    12.0447
7.7618     12.2318    12.2561
7.8189     12.1776    12.4318
7.8156     12.0359    12.613
7.8534     11.8224    12.779
7.8399     11.6232    12.9008
7.9335     11.4629    13.0392
7.9416     11.2879    13.1397
7.9925     11.2083    13.1898
8.1302     10.9476    13.3016
8.2494     10.7052    13.3884
8.3813     10.4823    13.4346
8.513      10.3009    13.4796
8.7067     10.2202    13.592
8.9119     10.0813    13.6863
9.0425     9.9608     13.7264
9.1595     9.808      13.7289
9.295      9.5454     13.6905
9.4041     9.3664     13.6279
9.5171     9.21       13.5819
9.7149     9.0694     13.5381
9.904      8.9303     13.5553
10.1012    8.8853     13.5875
10.3041    8.8655     13.6391
10.5033    8.8553     13.7095
10.7007    8.8497     13.7327
10.9896    8.7452     13.7332
11.087     8.5916     13.6552
11.1739    8.4525     13.5781
11.2557    8.3021     13.4591
11.3102    8.175      13.3657
11.3879    8.0507     13.275
11.5108    7.8793     13.1791
11.6601    7.7389     13.1049
11.8777    7.7056     13.0174
12.121     7.6864     12.9211
12.3288    7.6713     12.7977
12.5033    7.7324     12.6886
12.7107    7.708      12.4962
12.7986    7.7095     12.384
12.91      7.7198     12.2591
13.0369    7.7497     12.0897
13.1434    7.7558     11.9085
13.201     7.757      11.7466
13.2021    7.7227     11.5757
13.2186    7.7035     11.4434
13.213     7.6878     11.2671























































































































































8.0221     10.1148    10.3217    RORBIT
7.8868     10.294     10.3113
7.7418     10.5122    10.3601
7.6655     10.6533    10.4419
7.5883     10.8489    10.5508
7.5287     11.0425    10.7082
7.5083     11.2329    10.9371
7.4802     11.3356    11.0752
7.4944     11.433     11.2284
7.4908     11.5247    11.4419
7.5426     11.5644    11.5956
7.5548     11.5867    11.788
7.5608     11.6133    11.9664
7.5941     11.5852    12.1743
7.6407     11.4449    12.3801
7.629      11.3514    12.5679
7.7051     11.1917    12.7096
7.7298     11.0773    12.8382
7.8076     10.876     12.9553
7.9022     10.7759    12.946
7.9504     10.5708    13.0543
8.0582     10.3641    13.079
8.2159     10.1823    13.0118
8.3572     10.1187    12.9215
8.4571     9.9673     12.8843
8.5567     9.8231     12.8931
8.7196     9.8137     12.762
8.8693     9.7496     12.7652
8.9136     9.563      12.8104
9.0783     9.4146     12.7164
9.0967     9.2832     12.5774
9.1571     9.2723     12.402
9.1994     9.234      12.1819
9.2107     9.1262     12.0543
9.2293     9.1123     11.9241
9.2251     9.0764     11.7778
9.2135     9.0492     11.6837
9.1962     9.0642     11.538


































































































































































10.8517    7.7495     10.1705    LORBIT
10.9895    7.6364     10.1469
11.2008    7.6006     10.1813
11.4327    7.475      10.2446
11.6163    7.3776     10.3039
11.9105    7.359      10.4693
12.025     7.3846     10.5486
12.1286    7.3772     10.6554
12.2565    7.3799     10.8395
12.3342    7.4083     10.9766
12.373     7.4238     11.099
12.3906    7.4319     11.2113
12.4409    7.4351     11.3518
12.4707    7.4503     11.4923
12.519     7.4841     11.6471
12.4365    7.4966     11.831
12.3656    7.4327     12.0399
12.2756    7.4491     12.1819
12.1523    7.4765     12.306
12.0169    7.4905     12.4207
11.8408    7.4963     12.5552
11.6786    7.5397     12.6251
11.5552    7.5484     12.6973
11.3786    7.6126     12.7263
11.1684    7.6798     12.7888
11.0392    7.7655     12.7498
10.8993    7.8556     12.7685
10.7017    8.0168     12.7034
10.6468    8.0725     12.6953
10.5132    8.1714     12.6878
10.4815    8.2488     12.6172
10.4152    8.3338     12.7208
10.2132    8.384      12.7686
10.0681    8.4628     12.7528
9.9908     8.5794     12.5696
9.9608     8.6385     12.4288
9.9279     8.7096     12.2775
9.8506     8.7231     12.1533
9.7572     8.7198     12.0599
9.6886     8.7363     11.9235
9.706      8.7665     11.8136
9.6631     8.7618     11.6991
9.6605     8.755      11.5747
9.6439     8.7465     11.5377
9.641      8.7317     11.4049



























































































































































7.529      12.2564    11.6809    RTEMFOS
7.4657     12.243     11.4986
7.4037     12.2487    11.2374
7.3695     12.2272    11.1155
7.3092     12.2039    10.984
7.2838     12.1754    10.8002
7.1606     12.1307    10.6309
7.1541     12.1024    10.4709
7.0848     12.057     10.2618
7.0319     12.0042    10.0573
