NMNH       337253     Phu39
10.6392    8.9634     8.6526
10.5685    8.8275     8.415
10.5928    8.7098     8.2635
10.5947    8.5969     8.0744
10.5543    8.4964     7.8226
10.5705    8.4199     7.6855
10.6096    8.3592     7.5516
10.6593    8.2681     7.4232
10.7383    8.2057     7.2379
10.7331    8.1535     7.0382
10.7538    8.0695     6.7889
10.8183    7.9725     6.6302
10.8469    7.9238     6.4678
10.8507    7.8803     6.3517
10.8975    7.9532     6.1782
10.804     7.9533     6.0743
10.7505    8.1598     5.7868














































































































































































10.257     13.0123    6.4655     ROSTRUM
10.2024    12.923     6.6815
10.1892    12.907     6.7852
10.1359    12.8561    6.9723
10.1671    12.7458    7.2132
10.2477    12.5997    7.4272
10.2804    12.5082    7.5681
10.324     12.3999    7.7978
10.3513    12.3764    7.9369
10.3357    12.3045    8.0968
10.295     12.2332    8.2628
10.2774    12.1934    8.3699
10.2357    12.0796    8.571
10.1709    12.045     8.7222
10.1596    12.0426    8.8925
10.0741    12.0509    9.0194
9.8992     12.0372    9.0933
9.6823     11.9464    9.3557
9.7059     11.8593    9.5274
9.8568     11.7092    9.7614
9.9877     11.5561    9.757
10.0952    11.3705    9.8322
10.2862    11.2075    9.8246
10.3589    11.0783    9.9004
10.4476    10.8296    10.0223
10.4908    10.7679    10.1323
10.5835    10.581     10.359
10.6997    10.4327    10.2909
10.838     10.3458    10.1922
11.0475    10.3604    10.1224
11.2169    10.2254    10.0337
11.3372    10.1451    10.0128
11.4573    9.9975     9.9873
11.6043    9.8729     9.9987
11.7151    9.8002     9.9894
11.8578    9.6888     9.9898
12.0112    9.5944     9.8998
12.1717    9.5952     9.7692
12.3246    9.7034     9.6054
12.4117    9.8277     9.4338
12.4803    10.0492    9.3655
12.6012    10.1298    8.9815
12.7034    10.1681    8.8171
12.7367    10.1587    8.6459
12.791     10.1423    8.4617
12.9472    10.1211    8.2533
13.0769    10.0699    8.1022
13.2289    9.9565     8.0136
13.3149    9.7715     7.9232
13.4856    9.6389     7.9336
13.5658    9.6359     7.8163
13.6014    9.6011     7.6766
13.7106    9.6078     7.5249
13.7735    9.6666     7.3356
13.8829    9.6704     7.155

















































































































































9.7988     15.2039    12.6342    SUPORB
9.7596     15.1549    12.8951
9.6954     15.0676    13.1485
9.6878     14.9399    13.3948
9.7153     14.757     13.6275
9.6854     14.5214    13.7897
9.6928     14.3       13.8884
9.8007     14.0019    14.0144
9.9331     13.7803    14.1394
10.1115    13.6786    14.2696
10.2483    13.5915    14.3669
10.3867    13.4974    14.4544
10.4591    13.3478    14.4717
10.5213    13.1553    14.4779
10.625     12.9908    14.4974
10.7766    12.8253    14.5378
10.9025    12.5207    14.511
10.9177    12.3042    14.4409
10.9453    12.0988    14.3776
10.9468    11.936     14.3274
10.9537    11.822     14.309
10.9733    11.6912    14.2567
11.0189    11.5339    14.2125
11.2301    11.4875    14.2773
11.4536    11.354     14.3711
11.6404    11.3079    14.4364
11.8043    11.2674    14.5078
11.9844    11.2149    14.5735
12.1777    11.1768    14.6522
12.4       11.1259    14.7245
12.6304    11.1839    14.8231
12.7861    11.0434    14.8382
12.9283    10.8911    14.7886
13.0355    10.7338    14.7475
13.2184    10.5578    14.657
13.4062    10.3861    14.5949
13.6419    10.3121    14.5692
13.8613    10.2027    14.4895
14.1087    10.0424    14.3343
14.3304    10.0009    14.179
14.515     9.971      14.0028
14.6317    9.9675     13.7873
14.7634    10.0044    13.617
14.8508    10.0373    13.4663
14.8744    9.966      13.2788
14.9401    9.9254     13.0308


























































































































































10.366     12.9691    11.0421    RORBIT
10.1456    13.2749    11.0796
10.0765    13.441     11.1688
10.0222    13.6203    11.2651
9.981      13.7656    11.3525
9.9259     13.9005    11.4574
9.8515     14.0631    11.6216
9.8067     14.1792    11.7527
9.7819     14.2749    11.9163
9.715      14.3635    12.1941
9.6687     14.3834    12.2155
9.5895     14.4194    12.4428
9.4389     14.2998    12.8021
9.4118     14.189     12.9303
9.3867     13.9563    13.0892
9.4794     13.6043    13.2508
9.462      13.433     13.3203
9.4369     13.2104    13.4253
9.5874     13.0826    13.3614
9.6974     12.9246    13.3264
9.8366     12.7423    13.3329
9.9604     12.6708    13.3319
10.0982    12.5384    13.3323
10.266     12.3076    13.3558
10.3505    12.1171    13.4766
10.3948    11.9286    13.5276
10.569     11.7681    13.3532
10.6563    11.699     13.1651
10.7514    11.6439    12.9288
10.8203    11.6096    12.8016
10.9043    11.6193    12.6406
10.9888    11.655     12.4621
11.0203    11.6875    12.3463
11.0497    11.7934    12.2271
11.056     11.8247    12.0988
11.0393    11.9167    11.9406




































































































































































13.0352    10.339     11.4536    LORBIT
13.221     10.2529    11.5234
13.3776    10.165     11.6364
13.4867    10.119     11.7127
13.6506    10.0568    11.866
13.7508    10.0304    11.9617
13.8218    9.9874     12.0769
13.9442    9.9604     12.2596
14.0101    9.968      12.3699
14.0484    9.9616     12.4799
14.0789    9.9424     12.6346
14.0984    9.8799     12.7927
14.0669    9.8394     13.0089
13.9928    9.8201     13.2589
13.8645    9.7731     13.4034
13.7429    9.7377     13.5232
13.5742    9.7315     13.6414
13.463     9.7713     13.6613
13.315     9.7963     13.7358
13.1315    9.8327     13.7627
12.9465    9.8799     13.8012
12.6919    9.9464     13.8095
12.4266    10.0424    13.8031
12.2501    10.2046    13.6993
12.1328    10.3666    13.644
11.9899    10.5174    13.5991
11.9216    10.6049    13.627
11.7718    10.6776    13.6618
11.4201    10.8743    13.6384
11.3262    10.978     13.4547
11.4116    11.0937    13.2054
11.49      11.1898    12.9846
11.5331    11.2709    12.7436
11.5818    11.3094    12.6304
11.6304    11.298     12.4627
11.6589    11.2952    12.3537
11.6851    11.2615    12.2095



































































































































































9.7387     15.1934    12.5417    RTEMFOS
9.7675     15.2667    12.3396
9.7474     15.2948    12.0949
9.7038     15.2411    11.7385
9.6952     15.2013    11.5451
9.7494     15.2171    11.2964
9.7308     15.1635    11.1004
9.7185     15.1094    10.9197
9.65       14.9997    10.7444
9.6599     14.9902    10.5761
9.6625     14.9703    10.3821
9.6788     15.0189    10.1759
9.7257     15.1377    9.95
9.6745     15.2842    9.7818
9.7432     15.4423    9.7605
9.827      15.6072    9.7983
9.9618     15.7981    9.8896
10.0514    15.8916    9.9762
10.1669    15.9694    10.0784





















































































































































































14.9093    10.0409    13.329     LTEMFOS
14.9533    9.9868     13.1079
14.9564    9.9009     12.8703
15.0117    9.9152     12.7121
15.0325    9.8723     12.4397
14.989     9.796      12.1965
14.9749    9.7562     12.0314
14.9713    9.7294     11.8584
14.975     9.7303     11.6586
14.9828    9.7172     11.505
14.9898    9.691      11.2839
15.0149    9.6466     11.1184
15.0378    9.5969     10.963
15.1418    9.5274     10.7676
15.3245    9.5599     10.6637
15.5488    9.6267     10.659
15.7028    9.7432     10.6921
15.8381    9.829      10.7634
15.9164    9.9625     10.8682
16.0305    10.1023    11.0051




















































































































































































9.9862     7.7247     12.428     OP
11.2433    9.3214     12.6115    BA
13.9256    12.8175    12.3457    ST
16.5725    16.3585    12.4319    IV
8.2946     11.433     11.3739    R_PG
8.6974     13.5775    10.7367    R_ZTI
12.3081    13.8994    12.9438    R_M3D
13.3649    16.1316    13.0059    R_M12
14.9219    17.5619    12.8957    R_MP3
16.1442    18.0972    12.6773    R_PMI
14.1295    7.0034     11.6916    L_PG
16.0248    7.9549     11.1724    L_ZTI
15.5314    11.6859    13.1288    L_M3D
17.1968    13.2631    13.2444    L_M12
18.1872    15.2328    13.0155    L_MP3
18.3793    16.5608    12.7766    L_PMI
18.6637    16.9779    12.6118    O1
10.848     12.7345    6.6498     O2
15.9473    7.877      10.5154    O3
9.8752     5.1902     10.3824    O4




















































































































































































11.5886    14.9394    11.6041    RZYGINF
11.466     14.9006    11.4598
11.2749    14.9165    11.2927
11.1024    14.9185    11.1994
10.9379    14.9191    11.1821
10.6928    14.887     11.2223
10.4544    14.7256    11.258
10.2415    14.577     11.2733
10.1479    14.516     11.2582
9.9543     14.3141    11.1855
9.7995     14.1697    11.1687
9.6628     14.0636    11.1249
9.6095     13.9722    11.0837
9.4784     13.8653    11.0308
9.4233     13.831     11.0122
9.2791     13.6805    10.9685
9.1844     13.6039    10.9637
9.0342     13.5573    10.9421
8.8781     13.5327    10.8967
8.7287     13.5382    10.8293
8.6712     13.4763    10.7897



















































































































































































16.7343    11.1053    11.7842    LZYGINF
16.7636    10.9929    11.6706
16.7996    10.8232    11.5918
16.8837    10.6595    11.5389
16.9046    10.3593    11.5816
16.9117    10.1908    11.5794
16.8233    10.01      11.6036
16.7414    9.7994     11.6296
16.6712    9.5792     11.6417
16.6946    9.4003     11.6473
16.699     9.2888     11.6071
16.6441    9.1108     11.5398
16.5811    9.0299     11.5158
16.4511    8.8879     11.4871
16.3919    8.7067     11.4262
16.3022    8.5892     11.3723
16.2376    8.4208     11.3209
16.17      8.1745     11.2481
16.0884    8.051      11.2191
15.9842    7.971      11.2126




















































































































































































12.3052    13.9644    12.9361    R-ALV
12.2659    14.2905    12.942
12.2634    14.4679    12.9756
12.2984    14.6935    12.962
12.3637    14.9153    12.9859
12.4841    15.0704    13.0333
12.5952    15.2182    13.0263
12.6872    15.3775    12.9851
12.8109    15.594     12.9733
12.9183    15.746     13.0133
13.0329    15.9529    13.0113
13.3758    16.1625    13.0287
13.5532    16.2771    13.0582
13.776     16.465     13.0577
13.9609    16.7217    12.9799
14.2186    16.8253    12.9532
14.392     17.0421    12.9205
14.5557    17.2055    12.9317
14.6944    17.4035    12.9017
14.9057    17.6098    12.794




















































































































































































15.4848    11.6551    13.0982    L-ALV
15.8462    11.745     13.0912
16.1161    11.8953    13.1219
16.3755    12.0949    13.1592
16.5871    12.3233    13.1691
16.7758    12.5041    13.1846
16.9834    12.701     13.267
17.1356    12.8892    13.254
17.243     13.1243    13.1617
17.2864    13.3632    13.1509
17.4509    13.6742    13.1254
17.6121    13.9471    13.0723
17.6768    14.2069    13.0654
17.7807    14.418     12.9969
17.8699    14.6007    13.0609
18.085     14.8854    13.0384
18.2474    15.1449    12.9103
