NMNH       477330      Prv3stv
-3.7455    3.5384     5.1805
-3.7335    3.483      5.0245
-3.7349    3.4213     4.836
-3.7479    3.395      4.6726
-3.7617    3.4074     4.505
-3.8044    3.4191     4.2469
-3.8667    3.5497     4.0162
-3.888     3.6561     3.919
-3.9016    3.7615     3.874
-3.9385    3.8939     3.8368
-3.9898    4.0226     3.8189
-4.0206    4.1144     3.8206
-4.0286    4.2302     3.8259
-4.0652    4.3686     3.8386
























































































































































































1.919      3.4846     5.6602     LTEMFOS
1.964      3.4808     5.4674
2.0264     3.4277     5.3164
2.0417     3.3913     5.1911
2.063      3.3588     5.0274
2.1044     3.3317     4.8575
2.1704     3.3121     4.6799
2.2288     3.35       4.4742
2.3241     3.4965     4.3209
2.4013     3.6755     4.227
2.4501     3.9158     4.1959
2.4851     4.0858     4.2328
2.517      4.188      4.2422
2.5692     4.321      4.2753


























































































































































































-0.4099    1.5955     6.1465     OP
-0.5229    2.9278     6.2597     BA
-0.7754    6.018      5.4944     ST
-0.996     8.0918     5.1467     IV
-3.2904    3.421      6.1009     R_PG
-4.1448    4.7373     5.4571     R_ZTI
-2.0536    6.0703     5.9526     R_M3D
-2.3931    7.1352     5.7801     R_M12
-2.4009    8.2277     5.3316     R_MP3
-1.7908    8.78       5.0946     R_PMI
2.0888     3.894      6.0636     L_PG
2.7351     5.3853     5.4147     L_ZTI
0.3355     6.1955     5.9573     L_M3D
0.4998     7.392      5.8664     L_M12
0.3328     8.5494     5.4226     L_MP3
-0.2009    8.9073     5.1304     L_PMI
-1.4279    8.9991     4.6184     O1
-2.9056    5.8529     2.1895     O2
2.8728     4.9684     5.0667     O3
-1.2348    0.4665     4.8918     O4




















































































































































































-3.1191    6.8341     4.9258     RZYGINF
-3.2868    6.7526     4.9035
-3.4521    6.6865     4.88
-3.6036    6.6229     4.9124
-3.8006    6.4851     4.9998
-3.9108    6.3877     5.0495
-3.9679    6.2104     5.136
-4.0029    6.0609     5.196
-4.0463    5.8066     5.2343
-4.0857    5.671      5.2507
-4.1867    5.4149     5.3177
-4.1797    5.2924     5.341
-4.1787    5.146      5.3666
-4.2118    4.9728     5.3848
-4.2012    4.8564     5.4197
-4.2192    4.7909     5.424
-4.2286    4.6942     5.4578























































































































































































1.2571     7.1968     5.0474     LZYGINF
1.4008     7.1463     4.9864
1.5796     7.0354     4.9548
1.891      7.0258     5.0248
2.2417     6.8774     5.1629
2.2944     6.7119     5.1966
2.3687     6.5294     5.2344
2.4289     6.3845     5.2654
2.47       6.2774     5.2939
2.5152     6.1626     5.3047
2.5458     6.0413     5.3461
2.5699     5.8867     5.3804
2.6035     5.7436     5.3769
2.6542     5.6402     5.3706
2.6942     5.5405     5.3918
2.7112     5.4645     5.3986
2.7192     5.3587     5.4133























































































































































































-2.034     6.0871     5.9317     R-ALV
-2.1557    6.278      5.9837
-2.2372    6.4641     5.9199
-2.308     6.6578     5.9563
-2.3527    6.7991     5.9347
-2.4044    6.9359     5.8932
-2.4065    7.1111     5.8644
-2.4076    7.2447     5.8133
-2.4157    7.3687     5.7821
-2.4205    7.5722     5.7035
-2.4042    7.7433     5.6463
-2.4097    7.9389     5.5549
-2.4107    8.0136     5.5177
-2.4085    8.1325     5.4355
-2.3935    8.2287     5.3593
