UWMA       ZA 72      Phu61stv
















































































8.1703     5.45       12.8397    LORBIT
8.3494     5.3542     12.889
8.4615     5.2856     12.93
8.5852     5.2609     12.9698
8.7026     5.2109     13.0253
8.8137     5.2157     13.0786
8.9404     5.196      13.1179
9.0199     5.2191     13.1579
9.1771     5.2063     13.2292
9.3486     5.2482     13.3326
9.4963     5.2541     13.4561
9.6064     5.2533     13.57
9.7484     5.2509     13.803
9.8517     5.2255     14.0095
9.7694     5.3066     14.1175
9.6989     5.1982     14.3345
9.6011     5.2044     14.4571
9.402      5.0814     14.7916
9.1838     5.0907     14.927
8.9786     5.1202     15.025
8.7957     5.1229     15.1146
8.5598     5.1703     15.1596
8.3189     5.3161     15.1548
8.0485     5.4526     15.1589
7.8662     5.6226     15.0892
7.5992     5.7678     15.0925
7.4296     5.9837     15.1001
7.3614     6.0426     15.2224
7.231      6.1766     15.283
6.9237     6.3343     15.3107
6.8585     6.4515     14.9822
6.8268     6.5873     14.614
6.735      6.6205     14.3942
6.7095     6.6483     14.172
6.714      6.6467     14.0329
6.7519     6.5713     13.7892
6.782      6.5008     13.6473



































































































































































3.5397     11.2736    14.3261    RTEMFOS
3.5279     11.2292    14.072
3.3541     11.2507    14.0207
3.2403     11.2592    13.7893
3.1368     11.2711    13.4661
3.012      11.2119    13.3206
2.9739     11.1729    13.1812
2.9216     11.1486    13.0735
2.8673     11.1045    12.9395
2.7797     11.0187    12.7102
2.7053     10.9315    12.5433
2.6754     10.8676    12.3406
2.5241     10.7263    12.1474
2.4988     10.7264    11.981
2.4497     10.6668    11.8098
2.3782     10.635     11.5353
2.3586     10.6868    11.3668
2.3492     10.7243    11.1835
2.3128     10.8236    10.9926
2.3613     10.9703    10.8859
2.4554     11.0912    10.8042
2.5339     11.252     10.7174
2.6239     11.4916    10.6532
2.6892     11.6684    10.6118
2.7538     11.7653    10.6384
2.8243     11.9187    10.6462














































































































































































11.0324    5.4816     14.0534    LTEMFOS
11.0904    5.3429     13.8841
11.0998    5.2935     13.6357
11.1762    5.1521     13.5749
11.1778    5.1688     13.3509
11.1596    5.0033     13.1839
11.1223    4.9565     13.0249
11.0746    4.7997     12.8896
11.0705    4.7831     12.7747
10.9954    4.667      12.4989
10.9567    4.6571     12.3723
10.898     4.4906     12.1794
10.8599    4.4858     12.0228
10.8103    4.342      11.8478
10.7392    4.2558     11.7358
