UWMA       ZA 663     Phu87
9.8573     15.9613    14.9778
9.9376     15.7691    15.138
10.1033    15.5746    15.3118
10.22      15.3359    15.4134
10.3079    15.0894    15.4989
10.3651    14.9506    15.5331
10.4743    14.8552    15.6076
10.6521    14.7301    15.694
10.9288    14.7036    15.8176
11.1805    14.6094    15.8881
11.39      14.5387    15.929
11.4998    14.1531    15.9408
11.4977    13.9157    15.9185
11.5231    13.6911    15.8938
11.5836    13.524     15.8347
11.6399    13.3279    15.7732
11.7042    13.0401    15.6596
11.7432    12.7924    15.5026
11.8956    12.6188    15.4918
12.1226    12.6009    15.5787
12.3041    12.6341    15.6766
12.5652    12.6464    15.7662
12.7968    12.6757    15.8187
13.0239    12.6273    15.8609
13.3222    12.5552    15.8649
13.5066    12.4348    15.8539
13.6412    12.1718    15.7905
13.8454    11.9049    15.6395
13.924     11.7885    15.5766
14.1009    11.6593    15.4846
14.3452    11.6498    15.4401
14.5898    11.5499    15.3253
14.8722    11.4429    15.1802
15.0475    11.4258    15.0877
15.3127    11.3446    14.8445
15.5308    11.3674    14.6396
15.7097    11.4074    14.4294
15.7981    11.4131    14.239
15.8377    11.3351    13.9283
15.8197    11.2497    13.6803




























































































































































10.3076    13.6315    12.2957    RORBIT
10.0356    13.9135    12.3255
9.8382     14.1085    12.4184
9.6624     14.4063    12.5514
9.5858     14.5635    12.6356
9.5599     14.7635    12.7463
9.5218     14.9704    12.8603
9.5303     15.1169    12.9966
9.5645     15.2828    13.1665
9.5395     15.3623    13.3563
9.5524     15.4144    13.4968
9.5261     15.4821    13.6739
9.5397     15.4667    13.8637
9.5194     15.3568    14.0787
9.5784     15.1835    14.2465
9.6204     15.023     14.3937
9.7336     14.9076    14.4455
9.7888     14.7343    14.5367
9.8602     14.5085    14.6143
10.0201    14.2895    14.6661
10.1923    14.1322    14.6573
10.3951    14.0067    14.6537
10.5951    13.8515    14.6872
10.7684    13.6667    14.7077
10.8975    13.55      14.6514
11.0364    13.4112    14.6843
11.173     13.2742    14.6556
11.2162    13.2117    14.5952
11.2372    13.0786    14.2674
11.3041    13.0879    14.0222
11.3216    13.0196    13.8721
11.3427    12.9905    13.571
11.3163    12.9577    13.3711
11.2776    12.9621    13.2196
11.2084    12.9074    13.0578





































































































































































13.1693    11.3297    12.2935    LORBIT
13.3416    11.1705    12.3331
13.5828    11.0665    12.4138
13.8796    10.985     12.519
14.0213    10.9738    12.5861
14.2025    10.9865    12.6705
14.4278    10.9734    12.8022
14.625     11.0251    12.9493
