TMP        CO 100     Phg5stv
13.2212    8.5875     9.5398
13.2604    8.6399     9.5594
12.9649    8.7226     9.7688
12.7249    8.7387     9.7723
12.5819    8.7612     9.7631
































































































































































12.4021    5.6006     7.9319     NASP-PR
12.3918    5.3489     7.8354
12.3986    5.2151     7.6832
12.3717    5.1472     7.5708
12.3562    5.1105     7.4444
12.3558    5.0396     7.3676
12.3564    5.0195     7.2051

































































































































































































12.0366    9.6044     9.6224     R-PM/MAX
11.8904    9.2999     9.5436
11.7487    8.9497     9.4494
11.6078    8.6072     9.344
11.4766    8.3335     9.2273
11.3558    8.0938     9.1144
11.2278    7.857      8.9601
11.1912    7.7274     8.8955
11.0701    7.449      8.7146
11.0342    7.2729     8.5862
10.9715    7.1097     8.4065
10.9334    6.9197     8.2245
10.9164    6.7193     8.062
10.839     6.4991     7.8152
10.7824    6.3529     7.6801
10.7922    6.0111     7.2886
10.9431    5.9741     7.0825























































































































































































13.3312    9.5549     9.686      L-PM/MAX
13.3934    9.206      9.6087
13.4218    8.8511     9.496
13.5969    8.4459     9.361
13.6793    8.0321     9.2171
13.7247    7.7648     9.1028
13.7959    7.4135     8.9129
13.807     7.177      8.7121
13.8532    6.9988     8.5471
13.9482    6.7208     8.3583
13.9929    6.45       8.0894
14.2067    6.201      7.7954
14.1483    6.0094     7.6029
14.0567    5.8951     7.3567
13.8803    5.86       7.1687

























































































































































































10.4362    9.5594     6.0359     ROSTRUM
10.463     9.6961     6.2702
10.5102    9.7409     6.5099
10.6285    9.7331     6.71
10.7627    9.7556     6.9141
10.932     9.8297     7.1732
11.0403    9.9101     7.439
11.0749    10.015     7.8051
11.0773    10.0533    8.024
11.0531    10.0823    8.264
11.0335    10.1488    8.5343
10.9662    10.1653    8.7473
10.9206    10.2345    8.9916
10.9334    10.2089    9.2775
11.1105    10.2678    9.3968
11.3096    10.2639    9.5285
11.5088    10.1667    9.5872
11.7515    10.1612    9.5975
11.9623    10.1879    9.643
12.1371    10.1454    9.7549
12.2457    10.1368    9.8123
12.3935    10.1055    9.9125
12.5568    10.1165    9.9637
12.7025    10.108     9.9971
12.8275    10.1011    10.0069
13.0036    10.1022    9.9879
13.1453    10.1151    9.8685
13.2571    10.1009    9.7689
13.3985    10.0729    9.708
13.5728    10.0921    9.6396
13.8071    10.0759    9.6243
13.9759    10.0329    9.6152
14.1547    10.0445    9.5422
14.2563    9.9884     9.4953
14.3688    9.9909     9.4136
14.4625    10.0398    9.3161
14.4956    10.0449    9.1433
14.5017    10.0491    9.0017
14.4994    10.0235    8.9055
14.468     9.9548     8.7166
14.411     9.9214     8.4652
14.411     9.8982     8.2682
14.3995    9.8457     8.1224
14.4057    9.7989     7.8995
14.3901    9.7948     7.6506
14.4105    9.7877     7.4875
14.4586    9.7265     7.3592
14.5902    9.6243     7.1798
14.7316    9.4948     7.025
14.9149    9.3467     6.8602
15.0707    9.1901     6.6229
15.1407    9.194      6.391
15.1716    9.1307     6.2548
15.1806    9.1018     6.1223


















































































































































9.2842     14.4577    10.3007    SUPORB
9.327      14.5606    10.4746
9.4015     14.6545    10.6589
9.5172     14.7512    10.8776
9.7175     14.8052    11.1299
9.8925     14.8432    11.328
10.1052    14.8673    11.4823
10.3492    14.7965    11.6533
10.5757    14.7326    11.7722
10.8767    14.6219    11.9302
11.0529    14.4868    12.0248
11.3149    14.3588    12.1246
11.4711    14.4121    12.1638
11.665     14.4585    12.215
11.9892    14.4278    12.2558
12.1949    14.317     12.3013
12.3963    14.0946    12.3444
12.6096    13.9384    12.3296
12.7148    13.8241    12.343
12.8197    13.774     12.367
12.8993    13.6919    12.3759
9999       9999       9999


















































































































































































11.2056    12.5787    9.8234     RORBIT
10.9655    12.6247    9.7737
10.7559    12.6979    9.7389
10.5731    12.9279    9.7256
10.339     13.072     9.7376
10.1624    13.2341    9.801
9.9724     13.4776    9.9304
9.8695     13.5624    10.0329
9.8106     13.7437    10.1438
9.7816     13.8361    10.3002
9.7724     13.8858    10.4733
9.795      13.9897    10.7403
9.8731     14.0198    10.9235
10.0613    14.0104    11.0319
10.202     14.0195    11.2077
10.3667    13.9634    11.3878
10.6043    13.9201    11.5038
10.8065    13.8164    11.6517
11.0157    13.765     11.6824
11.2304    13.6661    11.73
11.4138    13.6516    11.814
11.6493    13.6523    11.7931
11.807     13.6395    11.8036
11.9046    13.585     11.8611
12.2027    13.4556    11.8366
12.3075    13.4078    11.6313
12.3976    13.3225    11.4534
12.471     13.2058    11.2545
12.5449    13.1091    11.0046
12.5379    13.0542    10.9156
12.5367    12.9843    10.8195
12.4985    12.8241    10.6965








































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
14.3554    12.1998    11.4524    BA
14.6742    16.1683    8.9163     ST
14.9655    20.6053    7.181      IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
12.6313    17.212     9.7129     R_M3D
12.5407    19.5209    8.9782     R_M12
12.8991    21.4237    7.9509     R_MP3
13.6015    22.2973    7.2242     R_PMI
17.994     11.5209    10.6912    L_PG
9999       9999       9999       L_ZTI
16.6325    16.9003    9.7609     L_M3D
17.0803    19.0868    8.9774     L_M12
17.0013    21.0789    7.8814     L_MP3
16.4467    22.1372    7.084      L_PMI
17.1542    22.9389    9.01       O1
11.4803    12.841     4.733      O2
18.9035    11.0819    9.7737     O3
11.411     8.3888     8.1622     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































12.6939    17.221     9.7693     R-ALV
12.5531    17.4738    9.6672
12.448     17.7564    9.6126
12.4414    17.9579    9.5116
12.4108    18.216     9.4638
12.4087    18.4005    9.3813
12.4126    18.6294    9.3234
12.4216    18.791     9.2913
12.4249    18.9606    9.1685
12.4197    19.0797    9.166
12.4549    19.2703    8.9961
12.53      19.5042    8.9009
12.5506    19.668     8.8557
12.588     19.9662    8.73
12.6717    20.1058    8.6048
12.7326    20.3252    8.4959
12.7644    20.4886    8.4553
12.7904    20.7527    8.3499
12.7759    20.9645    8.1455
12.8091    21.1175    8.0931
12.8304    21.2075    8.0201
12.8669    21.2995    7.9449
12.8829    21.3583    7.9015

















































































































































































16.7274    16.9379    9.6976     L-ALV
16.8601    17.1329    9.6146
17.0269    17.4061    9.4807
17.1022    17.7038    9.3914
17.1663    18.0097    9.2758
17.2095    18.2568    9.2114
17.2518    18.5097    9.0606
17.3199    18.7495    8.9359
17.1891    19.0574    8.8337
17.2083    19.2819    8.7274
17.2505    19.4636    8.6331
17.2213    19.6098    8.5889
17.1434    19.9217    8.3767
17.1106    20.1342    8.3594
17.1469    20.266     8.2075
17.1428    20.4824    8.127
17.1545    20.7067    7.9252
17.1224    20.8774    7.8882
17.1222    21.0863    7.7373
17.1246    21.2319    7.7614
