FSM        16665      Tg41stv




























































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































-2.4131    9.4691     13.5266    RTEMFOS
-2.5614    9.6365     13.374
-2.6345    9.7177     13.1749
-2.7107    9.682      12.9537
-2.771     9.6026     12.7835
-2.8371    9.6092     12.5757
-2.8893    9.5307     12.4392
-2.9275    9.528      12.2758
-2.9821    9.5183     12.0262
-3.0654    9.4623     11.7936
-3.1181    9.4041     11.542
-3.1817    9.2881     11.3184
-3.2363    9.2613     11.1167
-3.3435    9.3086     10.8438
-3.4616    9.3169     10.5918
-3.6303    9.3742     10.4065
-3.8106    9.4987     10.2449
-3.9003    9.6731     10.1776
-4.0056    9.8467     10.1321
-4.0973    10.023     10.126
-4.1499    10.2007    10.1489
-4.1906    10.3472    10.1769
-4.2482    10.5375    10.1731

















































































































































































3.2905     9.5483     13.3926    LTEMFOS
3.3826     9.6374     13.2597
3.4589     9.61       13.0976
3.5317     9.6315     12.825
3.6349     9.5556     12.6227
3.7122     9.4983     12.3903
3.7807     9.4926     12.1692
3.8282     9.4953     11.9079
3.8619     9.4141     11.6962
3.9175     9.312      11.4559
3.9343     9.3213     11.2449
4.034      9.24       11.0275
4.1384     9.2741     10.7937
4.313      9.3543     10.4919
4.5488     9.4785     10.2329
4.7094     9.6724     10.0893
4.8456     9.8546     10.0552
4.9026     10.1601    10.0756
4.9374     10.2994    10.0969
4.9799     10.4191    10.1337




















































































































































































0.9451     5.7185     11.8174    OP
0.8608     7.5745     11.8604    BA
0.639      11.8126    10.9541    ST
0.4949     16.4972    10.6419    IV
