NMNH       481082     Prv2stv
-0.7264    2.6038     6.4874
-0.4905    2.6577     6.5211
-0.2622    2.6942     6.5482
-0.0292    2.6935     6.5485
0.1804     2.751      6.5745
0.4131     2.8422     6.5422
0.6029     2.9215     6.5398
0.7836     2.9921     6.4874
0.9755     3.0862     6.4255
1.1348     3.1164     6.3454
1.4049     3.2292     6.027
1.4989     3.2406     5.8703
1.5542     3.237      5.6963







































































































































































-2.6774    2.4725     4.3598     RORBIT
-2.8512    2.5369     4.3756
-2.9715    2.5838     4.41
-3.0826    2.6542     4.4562
-3.2273    2.7496     4.5512
-3.2943    2.832      4.652
-3.3526    2.9139     4.7755
-3.4626    2.9847     4.972
-3.4503    3.0661     5.11
-3.4652    3.0795     5.316
-3.3815    3.0895     5.4974
-3.2467    3.0505     5.7965
-2.9782    2.9471     6.017
-2.7896    2.8761     6.1142
-2.5394    2.8188     6.1971
-2.3158    2.8052     6.2514
-2.0963    2.7787     6.2501
-1.8762    2.6863     6.2478
-1.6793    2.6825     6.0843
-1.6016    2.6643     5.9471
-1.5306    2.7007     5.7666
-1.5102    2.8166     5.467


















































































































































































0.4282     2.3518     4.3264     LORBIT
0.6444     2.3728     4.3384
0.8133     2.4312     4.389
0.9655     2.5032     4.4684
1.1032     2.5232     4.5923
1.1776     2.6346     4.7508
1.2376     2.7335     4.8927
1.3179     2.7945     5.0806
1.371      2.7957     5.2352
1.3483     2.8314     5.3783
1.3176     2.8292     5.5632
1.2206     2.837      5.7194
1.149      2.8057     5.9096
0.9293     2.7624     6.0851
0.7581     2.7345     6.131
0.5619     2.7232     6.1548
0.3015     2.6748     6.2354
0.1622     2.6726     6.2545
0.0138     2.6236     6.3283
-0.3328    2.5944     6.2531
-0.5441    2.5192     6.1684
-0.6744    2.6197     5.6414
-0.6337    2.6977     5.5187

















































































































































































-3.8473    3.5283     5.4392     RTEMFOS
-3.9119    3.4234     5.2892
-3.9306    3.4006     5.1864
-3.9714    3.385      5.0525
-3.9694    3.3689     4.8842
-3.9859    3.3194     4.7403
-3.9864    3.3647     4.5842
-3.9979    3.4359     4.4205
-4.025     3.5009     4.3034
-4.0788    3.6717     4.1751
-4.1238    3.7996     4.0995
-4.1447    3.9588     4.0657
-4.172     4.1095     4.0522
-4.2062    4.2353     4.0891
-4.2007    4.3445     4.0956
-4.1953    4.4538     4.1024
























































































































































































1.5717     3.1711     5.6545     LTEMFOS
1.7199     3.1732     5.4934
1.7748     3.1629     5.3451
1.8103     3.1184     5.2224
1.8386     3.0902     5.0323
1.8169     3.0648     4.8934
1.847      3.0776     4.7802
1.8377     3.0726     4.6667
1.8713     3.1119     4.4835
1.9305     3.2492     4.2625
2.0088     3.3951     4.1496
2.0512     3.6272     4.1426
2.1129     3.767      4.1519
2.1532     3.8793     4.1637
2.1844     4.0447     4.2032

























































































































































































-1.1554    0.9704     6.1737     OP
-1.1041    2.3936     6.2452     BA
-1.0505    5.2067     5.3355     ST
-0.9675    6.986      4.9407     IV
-3.4084    2.9461     5.9712     R_PG
-4.475     4.4857     5.3177     R_ZTI
-2.2142    5.0208     5.6142     R_M3D
-2.5093    5.9132     5.7092     R_M12
-2.3631    7.2166     5.2814     R_MP3
-1.7252    7.7947     5.0172     R_PMI
1.1761     2.8345     6.1022     L_PG
2.298      4.3663     5.5966     L_ZTI
0.0035     4.9408     5.6924     L_M3D
0.362      5.871      5.7782     L_M12
0.3336     7.1872     5.4411     L_MP3
-0.2341    7.7661     5.0951     L_PMI
-1.4545    7.9508     4.6604     O1
-2.9943    5.238      2.2176     O2
2.3624     3.9872     5.4929     O3
-1.8623    -0.2329    4.4559     O4




















































































































































































-3.2388    6.2906     4.7112     RZYGINF
-3.4438    6.3047     4.6202
-3.6626    6.1438     4.6508
-3.7921    6.0106     4.7518
-3.9599    5.8247     4.8408
-4.0473    5.6533     4.9232
-4.1076    5.4754     5.0068
-4.1468    5.2435     5.0974
-4.145     5.0821     5.1593
-4.2074    4.9324     5.222
-4.2552    4.8065     5.2709
-4.2806    4.6067     5.3047
-4.442     4.4224     5.3564



























































































































































































1.1995     6.2489     4.9464     LZYGINF
1.5072     6.1693     4.8952
1.6951     6.0642     4.9418
1.7868     5.9059     5.0286
1.8759     5.7826     5.0883
1.9404     5.6218     5.1558
2.0077     5.3467     5.2858
2.0422     5.082      5.3814
2.0638     4.8944     5.4517
2.1254     4.7517     5.4969
2.1713     4.6055     5.5444
2.2296     4.4578     5.5933
2.2501     4.309      5.6426



























































































































































































-2.2046    5.0119     5.6042     R-ALV
-2.2985    5.1958     5.6274
-2.3837    5.3739     5.6617
-2.4515    5.5841     5.6912
-2.4938    5.7206     5.6952
-2.4997    5.9216     5.7312
-2.5328    6.0833     5.6844
-2.5255    6.194      5.628
-2.5368    6.3798     5.4965
-2.4346    6.5549     5.4583
-2.4       6.7843     5.4675
-2.3687    6.9776     5.4173
-2.3746    7.1583     5.3007



























































































































































































-0.0023    4.9412     5.7193     L-ALV
0.0816     5.086      5.7702
0.1832     5.3044     5.7414
0.2132     5.36       5.7959
0.2662     5.5483     5.7916
0.331      5.7666     5.7663
0.3814     6.0055     5.7317
0.3766     6.1789     5.6953
0.3515     6.4321     5.6083
0.3128     6.5541     5.572
0.3136     6.7495     5.5616
0.3136     6.8992     5.5108
0.3406     7.1341     5.43
