AMNH       169432     Tap3-5
15.093     12.9511    15.2112
15.062     12.9931    14.9089
15.1017    13.0238    14.5935



















































































































































































9.7789     14.4419    14.5275    RTEMFOS
9.7499     14.3321    14.2501
9.7402     14.2377    13.9842
9.7694     14.1668    13.6939
9.7385     14.0079    13.2546
9.7813     13.9454    12.7913
9.7123     13.8486    12.2968
9.5839     13.7557    11.8195
9.5027     13.8777    11.3534
9.3641     13.9063    11.131
9.3603     13.8969    11.128
9.1985     14.0379    10.9389
9.0787     14.3155    10.9179
8.9932     14.5738    10.9131
8.9156     14.6847    10.9219
8.8491     14.941     10.9673
8.8663     15.2764    11.1279
8.8962     15.3729    11.2064






















































































































































































19.305     14.8064    14.5861    LTEMFOS
19.3178    14.7001    14.3237
19.3904    14.5791    14.1381
19.4098    14.5141    13.8853
19.421     14.4387    13.6226
19.4088    14.3373    13.3224
19.4335    14.2745    13.1016
19.3994    14.1742    12.6949
19.3827    14.1274    12.2999
19.4365    14.0363    11.9333
19.5245    14.0626    11.5716
19.6142    14.0884    11.3048
19.7151    14.2775    11.0593
19.8445    14.5517    10.9921
19.9981    14.8297    11.0666
20.0426    15.0845    11.1472
20.0313    15.2378    11.2173























































































































































































15.406     22.3643    12.8634    OP
15.4542    20.1833    12.3715    BA
15.3185    14.3574    9.5866     ST
15.1915    7.661      8.0384     IV
9999       9999       9999       R_PG
21.3247    17.7416    9.8961     R_ZTI
17.7762    13.023     11.1753    R_M3D
17.7959    10.4983    10.353     R_M12
17.5462    7.9338     9.3598     R_MP3
17.0666    6.4046     8.1001     R_PMI
11.0861    20.4242    11.7297    L_PG
9.5796     18.1524    9.5649     L_ZTI
12.766     13.2468    11.0027    L_M3D
12.3976    10.6544    10.0979    L_M12
12.6942    8.1619     9.0442     L_MP3
13.1958    6.5975     7.8878     L_PMI
15.6683    4.4484     7.6676     O1
18.292     19.8403    3.9369     O2
21.4152    18.8682    9.8355     O3
16.483     25.6048    9.8505     O4




















































































































































































19.2339    14.1007    9.0003     RZYGINF
19.4722    14.3507    8.956
19.8542    14.7586    8.8215
20.2535    15.1395    9.0178
20.4168    15.5961    9.3926
20.553     16.0838    9.7497
20.6744    16.4099    9.8724
20.9758    16.8395    9.9581
21.2637    17.2782    9.9923
21.3744    17.4978    9.9307
21.3927    17.7482    9.8315





























































































































































































11.417     14.5151    8.6676     LZYGINF
11.2391    14.7482    8.5308
11.0627    14.9504    8.4528
11.0035    15.0086    8.4489
10.7082    15.3246    8.5035
10.4082    15.6023    8.7028
10.3091    15.9126    8.977
10.2234    16.3239    9.2561
10.1276    16.677     9.4339
10.0482    16.8973    9.5104
9.9618     17.1443    9.5982
9.8244     17.4749    9.6353
9.6797     17.7689    9.626
9.5058     18.0445    9.5473


























































































































































































17.795     13.0518    11.1708    R-ALV
17.8272    12.8197    11.1405
17.8255    12.7694    11.126
17.8525    12.5739    11.0695
17.9649    12.2241    10.964
17.9461    12.1183    10.9316
17.8302    11.853     10.8542
17.8315    11.7927    10.8436
17.9428    11.4933    10.7366
17.9073    11.2519    10.6724
18.0196    10.9219    10.4731
17.8707    10.6921    10.4099
17.7919    10.4961    10.3614
17.8018    10.4468    10.3479
17.8818    10.1209    10.189
17.7732    9.9073     10.1855
17.7795    9.5421     9.9475
17.5373    9.2802     9.9763
17.5656    8.9739     9.7826
17.4257    8.5578     9.8486
17.4344    8.5401     9.8169
17.4722    8.2504     9.6676
17.4523    8.277      9.6804
17.464     7.9405     9.3936
















































































































































































12.697     13.1812    11.0048    L-ALV
12.5594    12.9542    10.9042
12.5316    12.741     10.8482
12.3735    12.4931    10.7554
12.4841    12.0737    10.6123
12.4872    11.8888    10.546
12.335     11.6972    10.4624
12.3204    11.3545    10.3617
12.2074    11.1595    10.203
12.3516    10.8834    10.1233
12.4068    10.6841    10.089
12.398     10.5115    10.0114
12.3328    10.3731    9.9203
12.4081    10.0774    9.9224
12.3358    9.8901     9.7275
12.5092    9.6532     9.7318
12.6017    9.4446     9.6988
12.5861    9.2677     9.5059
12.6348    9.0099     9.4295
12.7244    8.7952     9.4552
12.7026    8.479      9.3132
12.699     8.1942     9.0977
