FSM        77242      Phu197sf
-2.8307    13.5759    15.7416
-2.6766    13.644     15.9962
-2.4422    13.5405    16.2819
-2.1288    13.4424    16.5575
-1.8974    13.2817    16.7398
-1.524     13.1765    16.9326
-1.2827    13.204     17.0415
-1.1101    13.2657    17.1078
-0.9415    13.2968    17.1834
-0.7721    13.3369    17.2498
-0.5281    13.3191    17.3337
-0.2402    13.2263    17.4087
0.0325     13.0536    17.4426
0.154      12.9963    17.4545
0.4067     12.8875    17.4583
0.6411     12.7675    17.4384
0.9494     12.4973    17.3895
1.1974     12.341     17.3139
1.3685     12.259     17.278
1.6034     12.347     17.2994
1.8309     12.4485    17.3435
2.0128     12.589     17.3841
2.3328     12.7676    17.4287
2.5756     12.9346    17.4184
2.8808     13.0617    17.4152
3.1054     13.1409    17.3702
3.4175     13.1673    17.2918
3.8862     12.9786    17.1188
4.3044     13.0364    16.9421
4.5667     13.1775    16.8088
4.9036     13.3369    16.6036
5.0637     13.4707    16.4562
5.3392     13.5037    16.1968
5.5067     13.4461    15.9671
5.6809     13.4121    15.7209
5.771      13.4143    15.5358
5.8122     13.3729    15.4125
5.8531     13.3659    15.0485
































































































































































-0.5425    11.5926    13.5925    RORBIT
-0.7943    11.5551    13.5937
-1.109     11.523     13.6282
-1.3891    11.6484    13.7229
-1.7601    11.816     13.875
-1.9783    12.055     14.0973
-2.1582    12.3121    14.3876
-2.2546    12.4381    14.6051
-2.322     12.5515    14.9219
-2.3202    12.581     15.3082
-2.1813    12.5316    15.6217
-1.9067    12.4181    15.948
-1.6887    12.2887    16.1513
-1.426     12.1506    16.2773
-1.1044    12.0647    16.2847
-0.7517    11.9827    16.302
-0.5147    11.9443    16.3044
-0.3391    11.915     16.313
0.0364     11.9642    16.398
0.4779     11.9346    16.43
