LSZT       R28        Phu173sf











-4.065     10.5138    14.4062    SUPORB
-4.0037    10.5456    14.6605
-3.8965    10.5425    14.9342
-3.758     10.524     15.2493
-3.5568    10.4115    15.5495
-3.3079    10.317     15.7502
-2.9832    10.1476    15.961
-2.7691    10.0494    16.0683
-2.5049    9.9081     16.1577
-2.1553    9.7501     16.2488
-1.8082    9.7614     16.3638
-1.4774    9.8066     16.5019
-1.2952    9.8706     16.5899
-1.0356    9.8901     16.6573
-0.8256    9.9343     16.7373
-0.582     9.9146     16.763
-0.268     9.7956     16.7421
-0.1155    9.5518     16.7124
0.1275     9.4087     16.6652
0.3143     9.2347     16.5777
0.4311     9.0354     16.4514
0.6346     8.999      16.3912
0.8002     9.0126     16.3694
1.061      9.1789     16.486
1.2129     9.2988     16.5795
1.3846     9.5085     16.668
1.6421     9.7269     16.7073
1.9268     9.9202     16.7181
2.283      9.9642     16.6651
2.6706     9.9633     16.5313
2.9028     10.022     16.4664
3.1795     10.0825    16.3516
3.4837     10.1162    16.2335
3.7684     10.2666    16.1271
3.8463     10.3471    16.1035
4.0369     10.4634    16.0314
4.2583     10.6384    15.9302
4.5765     10.739     15.7442
4.7396     10.8468    15.5916
4.8792     10.9463    15.4399
4.9652     11.0714    15.1917
5.0851     11.0838    14.9588
5.1661     11.1073    14.7339
5.25       11.0609    14.4688
5.3038     10.9569    14.1158



























































































































































-1.2325    8.9361     13.0744    RORBIT
-1.5158    8.9247     13.0403
-1.7658    8.9055     13.0289
-2.0709    8.9457     13.0612
-2.3349    9.0785     13.1281
-2.5915    9.1775     13.2313
-2.8944    9.3431     13.3963
-3.0562    9.4806     13.5971
-3.1913    9.6896     13.8874
-3.2272    9.7595     14.0687
-3.2385    9.7996     14.2456
-3.2509    9.7895     14.5441
-3.0719    9.6581     14.8676
-2.7931    9.4563     15.2305
-2.572     9.3813     15.3578
-2.38      9.288      15.5011
-2.0478    9.1091     15.5993
-1.791     9.0817     15.5891
-1.5806    8.9888     15.5974
-1.2281    8.8662     15.5962
-1.0282    8.9249     15.5219
-0.6938    8.908      15.5119
-0.429     8.9483     15.5319
-0.1977    8.9973     15.5352
-0.0055    9.0206     15.2579
0.093      9.0444     14.8855
0.1583     9.0578     14.6386
0.2276     8.9958     14.5098
0.2604     8.9315     14.3994
0.219      8.8702     14.2649
0.2084     8.8365     14.1671









































































































































































2.6427     9.1582     12.967     LORBIT
2.8576     9.1962     12.9355
3.1181     9.2568     12.9143
3.3411     9.3016     12.927
3.6034     9.3816     12.9851
