UWMA       ZA 127     Phu67





























































































7.4851     8.5278     6.6154     NASP-PR
7.3955     8.378      6.4948
7.306      8.2626     6.3746
7.2241     8.2175     6.2188
7.1996     8.1676     6.1121
7.163      8.128      6.0248
7.1451     8.0933     5.9197
7.134      8.0663     5.8001
7.1175     8.0817     5.5956































































































































































































9.216      11.3084    9.8262     R-PM/MAX
9.1344     11.2414    9.7262
9.0141     11.1223    9.6249
8.9302     11.0565    9.5304
8.8312     10.997     9.4341
8.737      10.9358    9.3716
8.6294     10.9026    9.2441
8.5521     10.8498    9.1682
8.4456     10.8048    9.0592
8.3606     10.7502    8.9573
8.2577     10.6939    8.839
8.1636     10.621     8.752
8.049      10.5679    8.6144
7.9614     10.5431    8.5316
7.8505     10.4686    8.4211
7.7756     10.4182    8.2934
7.6993     10.3953    8.2005
7.6054     10.3202    8.0819
7.5131     10.2526    7.953
7.472      10.2103    7.8284
7.3823     10.1582    7.6136
7.2874     10.112     7.3958
7.213      10.1382    7.1598
7.1372     10.1917    6.9722
7.0489     10.2146    6.7512
6.984      10.2467    6.6262
6.8788     10.2562    6.4455
6.822      10.2211    6.3454
6.748      10.1646    6.0642
6.7311     10.1574    5.9774
6.8649     10.1095    5.8091









































































































































































10.0512    10.751     9.9652     L-PM/MAX
9.945      10.6188    9.8514
9.9008     10.4751    9.7283
9.8424     10.3487    9.623
9.7939     10.2233    9.4962
9.7771     10.1135    9.3744
9.7203     9.9159     9.2309
9.652      9.8032     9.1642
9.5799     9.6526     9.0343
9.5592     9.5147     8.9303
9.4855     9.413      8.832
9.4776     9.29       8.7541
9.4205     9.1153     8.5879
9.3562     8.9691     8.4592
9.3098     8.851      8.3235
9.2737     8.753      8.2244
9.2006     8.6476     8.0386
9.1479     8.516      7.8384
9.133      8.4699     7.7384
9.1607     8.3524     7.5809
9.1588     8.2674     7.3982
9.2278     8.2033     7.2646
9.243      8.1154     7.089
9.2851     8.0101     6.9344
9.3321     7.9159     6.7789
9.3245     7.817      6.61
9.3028     7.7458     6.4877
9.2392     7.6929     6.3357
9.1638     7.6769     6.0296
9.1781     7.7147     5.8714
9.2077     7.8149     5.6775









































































































































































8.6343     13.0232    6.348      ROSTRUM
8.65       12.9677    6.5073
8.623      12.944     6.6897
8.5867     12.9237    6.8881
8.6047     12.8169    7.0325
8.676      12.6928    7.1746
8.6953     12.5994    7.3092
8.73       12.5139    7.4873
8.7489     12.5064    7.6558
8.6988     12.442     7.8889
8.6826     12.4296    8.0257
8.6437     12.3745    8.2013
8.6077     12.3714    8.3745
8.568      12.3179    8.5496
8.5472     12.2636    8.6766
8.5271     12.2646    8.8272
8.5166     12.203     9.0314
8.5979     12.0829    9.2086
8.7053     11.9116    9.2954
8.8286     11.8245    9.404
8.9823     11.6319    9.5365
9.062      11.5356    9.5994
9.1457     11.4259    9.6845
9.1858     11.3292    9.7811
9.2733     11.2113    9.8875
9.4027     11.0897    9.9658
9.4672     11.0169    9.9964
9.6218     10.8693    10.0056
9.7664     10.7774    9.9956
9.9097     10.6701    9.9168
10.0265    10.6109    9.8469
10.1575    10.56      9.7665
10.2865    10.4601    9.6755
10.3624    10.4291    9.6354
10.5153    10.3376    9.6141
10.5739    10.2769    9.5911
10.6974    10.1937    9.5585
10.817     10.103     9.4823
10.9399    9.9757     9.3399
11.0101    9.9804     8.9238
11.1352    9.9875     8.6116
11.1763    9.9926     8.3692
11.2402    9.9974     8.1347
11.364     10.007     7.8588
11.4915    9.9593     7.6701
11.5317    9.8622     7.5329
11.6354    9.8129     7.3966
11.7331    9.7416     7.2746
11.7755    9.7077     7.0924
11.8172    9.6944     6.9011
11.8619    9.6715     6.7172





















































































































































9999       9999       9999       SUPORB







































































































































































































9.7145     14.0745    11.0448    RORBIT
9.5252     14.2935    11.0731
9.3496     14.5278    11.1286
9.2765     14.7112    11.2071
9.2295     14.9284    11.3009
9.1947     15.128     11.4406
9.1738     15.2948    11.5466
9.1783     15.436     11.684
9.1554     15.5762    11.8634
9.2132     15.7422    12.109
9.1828     15.7619    12.2623
9.1591     15.7337    12.5249
9.1198     15.6125    12.7973
9.1521     15.3772    13.0958
9.2076     15.0917    13.3025
9.2947     14.8635    13.3821
9.3591     14.6223    13.505
9.4796     14.4642    13.4197
9.6062     14.3174    13.4188
9.7034     14.1462    13.451
9.859      14.0512    13.5021
10.0152    13.9864    13.5061
10.0957    13.8006    13.576
10.2056    13.68      13.6403
10.3657    13.5108    13.6439
10.4436    13.3592    13.6214
10.5243    13.2481    13.4059
10.5692    13.1874    13.0483
10.671     13.094     12.8227
10.7102    13.041     12.5843
10.6988    13.1009    12.4573
10.6391    13.1038    12.2517








































































































































































12.3537    11.6044    11.2433    LORBIT
12.4698    11.4455    11.2959
12.615     11.3414    11.3482
12.7264    11.2412    11.3992
12.9188    11.1623    11.4721
13.0257    11.1026    11.543
13.1902    11.0404    11.6252
13.3123    11.0733    11.7208
13.493     11.0661    11.8574
13.6344    11.0367    11.9561
13.7004    11.1014    12.0655
13.783     11.1357    12.1918
13.8683    11.1873    12.3472
13.8908    11.2267    12.4867
13.9454    11.2912    12.6962
13.8714    11.2695    12.8726
13.7763    11.2898    13.0366
13.686     11.3101    13.1804
13.6097    11.2282    13.3278
13.5064    11.2519    13.3973
13.3771    11.2787    13.5431
13.2895    11.3938    13.5363
12.7168    11.5616    13.7238
12.2639    11.7402    13.6452
12.036     11.9496    13.6512
11.9484    12.0447    13.6476
11.7949    12.2132    13.6636
11.7108    12.3337    13.6536
11.5541    12.4892    13.6415
11.4381    12.5843    13.4005
11.3452    12.6014    13.1968
11.2965    12.6251    12.8989
11.2648    12.6539    12.7825
11.2827    12.6694    12.6299
11.3317    12.6298    12.4272
11.3554    12.5676    12.3002




































































































































































9.2663     16.6583    11.826     RTEMFOS
9.2215     16.6625    11.5608
9.1637     16.5793    11.285
9.0929     16.5148    11.1975
9.058      16.4652    11.0638
8.9747     16.385     10.8961
8.9391     16.2929    10.7603
8.9079     16.2037    10.6436
8.8452     16.0877    10.4673
8.8227     16.0198    10.3081
8.7302     15.924     10.2311
8.7357     15.8309    10.0799
8.6778     15.7726    9.9909
8.5596     15.6883    9.8769
8.5289     15.705     9.6865
8.5368     15.8041    9.4791
8.5044     15.9784    9.3105
8.5814     16.1379    9.2518
8.6473     16.3281    9.2255
8.7707     16.4806    9.2358
8.8654     16.6099    9.2408
8.9537     16.7375    9.2697


















































































































































































14.9057    11.3991    12.4352    LTEMFOS
14.8835    11.3125    12.2633
14.8536    11.1954    12.1183
14.8063    11.0963    11.9179
14.7494    11.0108    11.7498
14.6718    10.9286    11.6294
14.6528    10.8705    11.4636
14.6252    10.827     11.3435
14.5131    10.7495    11.1919
14.5062    10.7101    11.0489
14.4361    10.6386    10.9006
14.3655    10.5763    10.7745
14.298     10.4928    10.6264
14.32      10.4162    10.4534
14.3783    10.3078    10.261
14.5302    10.2999    10.1337
14.7064    10.2971    10.0259
14.8993    10.3288    9.9583
15.0823    10.4656    9.9597
15.1695    10.575     9.949
15.3102    10.6249    9.9421
15.3484    10.7615    9.9629


















































































































































































9.1811     10.9088    10.8949    OP
10.7769    12.5913    10.9418    BA
13.8331    15.6415    10.7456    ST
17.3747    19.1222    11.2273    IV
8.2419     15.3789    10.4967    R_PG
9.0823     17.5718    9.9604     R_ZTI
12.6508    17.2855    11.4495    R_M3D
14.33      19.3407    11.7607    R_M12
16.3477    20.8628    11.9186    R_MP3
17.1365    21.0866    11.7746    R_PMI
13.8455    10.1664    10.8823    L_PG
15.9215    10.9362    10.4122    L_ZTI
15.8155    14.6043    11.5037    L_M3D
17.8027    16.3232    11.9256    L_M12
19.2611    18.2381    12.1714    L_MP3
19.6711    19.2458    12.2434    L_PMI
19.4913    19.874     11.0931    O1
10.6039    17.0251    5.7023     O2
15.5383    10.3246    9.9873     O3
8.2941     8.9695     10.1955    O4




















































































































































































12.4015    18.5996    9.7302     RZYGINF
12.1937    18.6922    9.5205
12.0233    18.6802    9.4693
11.7691    18.7254    9.4263
11.4616    18.8308    9.4571
11.286     18.8817    9.4906
11.1512    18.8335    9.5467
10.995     18.7795    9.5614
10.8229    18.7167    9.6139
10.647     18.6479    9.673
10.5091    18.5037    9.7586
10.4021    18.3929    9.8073
10.3319    18.3368    9.8481
10.2598    18.1796    9.9026
10.152     18.0423    9.9624
9.9731     17.8956    10.0198
9.8316     17.8125    10.0577
9.6825     17.7359    10.0629
9.508      17.6772    10.0476
9.4054     17.6223    10.0502
9.3097     17.5891    10.0341
9.1913     17.5494    10.0044
9.0497     17.5352    9.9645

















































































































































































17.0138    14.0521    9.9646     LZYGINF
17.0818    13.8689    9.8325
17.2007    13.6886    9.741
17.3793    13.6017    9.6996
17.4217    13.3629    9.6998
17.3556    13.1718    9.7276
17.2733    13.0118    9.7688
17.2341    12.8078    9.8389
17.1018    12.6466    9.9338
16.9692    12.4681    10.0067
16.8189    12.3571    10.079
16.7034    12.2392    10.1486
16.5696    12.1537    10.1799
16.4343    12.0098    10.24
16.3002    11.8117    10.3172
16.2005    11.6226    10.3949
16.1136    11.4734    10.4173
16.0093    11.2348    10.4247
15.9535    11.0866    10.4287
15.9155    10.9641    10.3833




















































































































































































12.6528    17.327     11.4468    R-ALV
12.7476    17.6645    11.5059
12.8425    17.9604    11.5281
12.8643    18.151     11.5015
13.0513    18.3605    11.5397
13.2218    18.505     11.5817
13.3818    18.6662    11.6207
13.6475    18.896     11.6198
13.8277    19.1037    11.587
14.0234    19.2551    11.6297
14.2706    19.3315    11.598
14.4179    19.4366    11.6381
14.5866    19.5746    11.6706
14.7216    19.6943    11.7107
14.8905    19.8462    11.6545
15.124     19.9432    11.7366
15.3044    20.0004    11.7967
15.4934    20.1136    11.7846
15.6425    20.2375    11.7728
15.7662    20.3763    11.7911
15.9092    20.5495    11.8044
16.0817    20.6963    11.8193
16.2377    20.7951    11.8821

















































































































































































15.6334    14.5899    11.5221    L-ALV
16.0407    14.6363    11.5362
16.2482    14.7274    11.5963
16.4581    14.805     11.6463
16.6994    14.9346    11.7218
16.7083    15.0046    11.7841
16.8861    15.1264    11.8031
17.0822    15.323     11.8297
17.1578    15.4298    11.8528
17.3392    15.6421    11.8515
17.3984    15.7887    11.8486
17.6153    15.9448    11.906
17.6717    16.0794    11.9122
17.7902    16.2437    11.9391
17.9066    16.4235    11.9044
18.0295    16.6026    11.9763
18.1289    16.7106    11.9472
18.1773    16.7664    11.9814
18.2984    16.9636    12.007
18.43      17.2589    12.0374
18.6044    17.4475    12.0226
18.815     17.6417    12.0585
18.9982    17.8198    12.0668
19.1798    18.0078    12.082
19.2993    18.1701    12.092
19.3251    18.2972    12.1406
