TMP        STS 254a   Ppb10stv
13.4066    15.5312    9.8215
13.5574    15.4675    10.0221
13.7013    15.4465    10.1753
13.8598    15.3755    10.319
13.9987    15.3124    10.4411
14.1545    15.2438    10.5326
14.3175    15.1536    10.6249
14.499     15.0595    10.6843
14.6264    14.941     10.7401
14.884     14.8053    10.8122
15.0685    14.728     10.845
15.2875    14.6184    10.8578
15.5592    14.5515    10.8954
15.5611    14.5546    10.8873
15.6858    14.4709    10.9037
15.872     14.397     10.9003
16.0634    14.3574    10.8898
16.2054    14.2708    10.8611
16.3307    14.217     10.8305
16.4292    14.1669    10.8141
16.5309    14.104     10.7826
9999       9999       9999















































































































































































14.7365    13.659     8.1888     RORBIT
14.5671    13.7193    8.2205
14.3406    13.8074    8.2391
14.1423    13.9279    8.2854
13.9469    14.0863    8.4249
13.7923    14.2515    8.5682
13.7412    14.4213    8.7416
13.7189    14.6002    8.944
13.6474    14.7246    9.1789
13.6871    14.8103    9.3765
13.7241    14.8311    9.6068
13.8544    14.8127    9.8685
14.0197    14.7739    10.1538
14.1928    14.7477    10.2786
14.4285    14.7086    10.3642
14.684     14.5915    10.4334
14.9007    14.4239    10.5277
15.075     14.3552    10.5369
15.2935    14.3184    10.5078
15.5113    14.2637    10.539
15.7718    14.2156    10.5038
15.9026    14.2046    10.4522
16.0031    14.1097    10.3531
16.0761    13.9486    10.0366
16.0938    13.8999    9.8888
16.0795    13.784     9.6783
16.0473    13.7059    9.4754
16.0073    13.6909    9.377
15.9873    13.6569    9.2814
15.9292    13.5497    9.2051










































































































































































9999       9999       9999       LORBIT







































































































































































































13.1893    15.4479    9.0469     RTEMFOS
13.1755    15.3855    8.8148
13.1228    15.2943    8.632
13.1083    15.1327    8.5023
13.0985    14.9983    8.3422
13.0659    14.8681    8.1344
13.0538    14.7546    7.9192
13.033     14.6687    7.7122
12.9973    14.6367    7.5271
12.9486    14.5519    7.3466
12.8578    14.6272    7.1013
12.7737    14.7613    6.9635
12.7026    14.9351    6.8417
12.6504    15.2065    6.7957
12.6462    15.3828    6.8087
12.6475    15.511     6.7933
12.6372    15.6283    6.7829
12.6341    15.7125    6.7879






















































































































































































9999       9999       9999       LTEMFOS









































































































