AMNH       169141     Phu6stv




































































































7.498      12.2939    11.5308    SUPORB
7.5207     12.236     11.7863
7.5528     12.1296    12.083
7.5533     12.0115    12.3167
7.6019     11.9099    12.5156
7.6591     11.7381    12.7682
7.73       11.6621    12.8905
7.733      11.4327    13.0488
7.7823     11.2746    13.1474
7.8259     11.0332    13.2599
7.9055     10.8592    13.3329
7.995      10.6702    13.4001
8.1498     10.5689    13.507
8.283      10.454     13.5911
8.4777     10.3821    13.6724
8.642      10.2322    13.7437
8.7686     10.1324    13.777
8.9679     9.9712     13.792
9.0358     9.7217     13.7675
9.1113     9.5243     13.6869
9.1895     9.33       13.5904
9.3172     9.1389     13.5296
9.4254     8.9005     13.4644
9.5024     8.7673     13.4345
9.6319     8.6233     13.394
9.7842     8.5324     13.4051
9.9141     8.485      13.4553
10.1255    8.4578     13.5449
10.3204    8.4614     13.5951
10.5443    8.4261     13.6401
10.8462    8.4059     13.6894
11.0296    8.3612     13.6647
11.1685    8.362      13.6672
11.3038    8.2832     13.6398
11.4938    8.169      13.5603
11.6405    8.0286     13.4506
11.8424    7.8834     13.3111
11.993     7.8121     13.212
12.203     7.7001     13.0736
12.4006    7.7588     12.9943
12.7013    7.7053     12.7873
12.8338    7.8241     12.7115
12.9673    7.8996     12.6431
13.0833    7.9571     12.5698
13.2256    8.0377     12.5089
13.3004    8.0292     12.2841
13.2577    8.0896     11.9405
13.2213    8.1207     11.7394
13.3032    7.9967     11.529
13.329     7.9164     11.2673






















































































































































8.099      10.1641    10.4302    RORBIT
7.9814     10.2448    10.4698
7.8783     10.3463    10.5037
7.7983     10.4361    10.5631
7.7372     10.5558    10.6316
7.6807     10.6375    10.7038
7.6277     10.7738    10.8178
7.6037     10.876     10.908
7.5852     10.997     11.0242
7.5586     11.1136    11.146
7.5988     11.2263    11.2629
7.6137     11.2936    11.3949
7.6193     11.3373    11.4731
7.6043     11.4278    11.6264
7.5693     11.4847    11.7638
7.5263     11.4765    11.9193
7.4941     11.4204    12.0649
7.4784     11.294     12.2786
7.4934     11.1472    12.4742
7.5598     10.9868    12.589
7.5982     10.7283    12.7245
7.7157     10.5044    12.7909
7.798      10.2906    12.8394
7.9356     10.0819    12.8294
8.0559     9.9504     12.8343
8.14       9.8343     12.8359
8.256      9.7405     12.8598
8.3498     9.6839     12.8513
8.4723     9.6476     12.838
8.5703     9.5372     12.901
8.7259     9.4825     12.8588
8.9174     9.3635     12.8026
9.0527     9.2858     12.6328
9.1087     9.1847     12.4679
9.1131     9.0841     12.3178
9.1363     9.051      12.1311
9.1538     9.0428     12.0234
9.1516     8.9607     11.9051
9.1514     8.9174     11.7957
9.1486     8.8609     11.7147
9.1334     8.8493     11.5804
