FMNH       27233      Tg16stv
8.4243     9.9938     8.9882
8.3585     9.9674     9.1778
8.3049     9.9639     9.3482
8.2527     9.8193     9.6935
8.2982     9.6896     9.8579
8.3522     9.5932     9.9696
8.4204     9.4928     10.1109
8.4825     9.3836     10.1931
8.5111     9.3413     10.2502
8.5999     9.2164     10.3567
8.6406     9.1348     10.4541
8.7506     9.0121     10.5526
8.8107     8.9475     10.596
8.9002     8.8559     10.6165
9.0852     8.8027     10.6071
9.1764     8.7232     10.5243
9.2548     8.6758     10.4576
9.3665     8.6314     10.3219
9.4729     8.5484     10.2329
9.5612     8.5021     10.2215
9.6463     8.467      10.1672
9.8067     8.3762     10.0942
9.8892     8.2971     9.9835
9.9925     8.2112     9.8179
10.0721    8.1798     9.6828
10.1744    8.1897     9.4873
10.2477    8.2282     9.2421
10.2735    8.2498     9.0176
10.3259    8.2494     8.7583
10.4342    8.243      8.4667
10.486     8.2358     8.2559
10.5205    8.2313     8.1336
10.5602    8.2042     7.9177
10.6543    8.1365     7.7086
10.7302    8.0847     7.5778
10.8768    7.9947     7.4933
11.0276    7.8867     7.4243
11.1826    7.7627     7.3392
11.2881    7.6866     7.2578
11.3894    7.6176     7.1628
11.5008    7.6306     7.0091
11.5446    7.6355     6.8353
11.581     7.6675     6.6696
11.5945    7.7245     6.569
11.5913    7.7382     6.4593












































































































































7.6383     12.73      14.2975    SUPORB
7.6883     12.565     14.5023
7.7098     12.3271    14.7537
7.8041     12.1739    14.9362
7.8831     11.972     15.0751
7.9389     11.7906    15.1272
7.9825     11.5329    15.0974
7.9557     11.3186    15.0466
7.8962     11.1426    15.0229
7.8888     10.9638    15.0137
7.8839     10.7129    14.9933
7.9299     10.5135    14.9849
7.9503     10.4082    14.9736
7.9734     10.1729    14.9371
8.0456     9.9804     14.8885
8.1086     9.7072     14.8232
8.2104     9.4905     14.7495
8.3335     9.3298     14.7268
8.509      9.0916     14.702
8.5852     8.9578     14.6838
8.6968     8.882      14.7015
8.7799     8.7901     14.6829
8.8331     8.7199     14.6643
9.018      8.6056     14.6933
9.1804     8.4067     14.7259
9.3476     8.2859     14.7758
9.5914     8.1531     14.8596
9.795      8.0692     14.918
10.0479    7.9676     15.0147
10.2925    7.9677     15.1104
10.5703    7.9911     15.1813
10.7666    7.9731     15.2038
10.9554    7.9761     15.2177
11.1117    8.0212     15.2516
11.3479    8.086      15.3034
11.5557    8.0602     15.3079
11.9044    7.9479     15.2541
12.0483    7.9022     15.1863
12.1747    7.8315     15.1185
12.2786    7.7753     15.0201
12.5733    7.8198     14.6847
12.6831    7.7904     14.5618
12.7327    7.7332     14.4973





























































































































































8.4478     10.8867    12.2187    RORBIT
8.3314     11.0747    12.2438
8.2254     11.2044    12.289
8.0848     11.4174    12.3654
8.055      11.5281    12.4675
8.0003     11.649     12.5798
7.9268     11.8137    12.7416
7.9175     11.8983    12.8765
7.8637     12.0108    13.0604
7.8351     12.0806    13.2467
7.8158     12.0919    13.4216
7.7173     12.0909    13.6416
7.5261     11.9688    13.8998
7.3456     11.7132    14.0092
7.2915     11.4916    14.0363
7.2615     11.29      14.0564
7.2798     11.1522    14.0432
7.2946     10.9503    14.0469
7.2654     10.7564    14.0594
7.2901     10.5915    14.0682
7.3283     10.412     14.0507
7.3915     10.2926    14.0346
7.5254     10.127     13.9663
7.5424     10.0466    13.9732
7.6169     9.9763     13.9399
7.7131     9.8975     13.9265
7.8794     9.7026     13.9487
8.0663     9.6243     13.9712
8.1892     9.5008     13.9936
8.3362     9.4313     14.0058
8.421      9.4319     13.9965
8.5725     9.3359     13.9636
8.7061     9.4145     13.8351
8.8286     9.4908     13.7122
8.9007     9.5857     13.5959
8.9837     9.6115     13.4574
9.0521     9.6307     13.3423
9.0791     9.6242     13.2576
9.075      9.6951     13.1149
9.0818     9.7162     12.9496
































































































































































10.8888    8.5286     12.3968    LORBIT
11.0578    8.3616     12.388
11.2374    8.2471     12.4623
11.4257    8.1399     12.5316
11.5377    8.0471     12.6029
11.691     7.9956     12.7375
11.8239    7.941      12.901
