UCMVZ      117244     Phu47stv
7.1536     2.7114     5.4462
7.1466     2.6486     5.2931
7.1273     2.5911     5.082
7.109      2.5868     4.9283
7.0824     2.5665     4.8183
7.0484     2.5576     4.6482
7.041      2.5798     4.5447
7.0044     2.5917     4.4108
6.9835     2.6302     4.2432
6.9898     2.6967     4.0874



























































































































































7.0857     9.4339     5.9993     ROSTRUM
7.0176     9.3492     6.3108
6.9967     9.2589     6.5723
7.0101     9.1393     6.8171
7.0249     9.0059     7.0283
7.0541     8.8859     7.223
7.0713     8.745      7.4488
7.0702     8.6325     7.62
7.0671     8.5093     7.8482
7.0299     8.4382     8.0332
6.9649     8.356      8.2221
6.9159     8.2514     8.437
6.9145     8.2219     8.5693
6.8581     8.2021     8.8149
6.7373     8.2144     9.0057
6.5991     8.237      9.1185
6.4265     8.2484     9.2899
6.3969     8.1922     9.4353
6.2494     8.227      9.7104
6.1919     8.1746     9.9087
6.2085     8.0146     10.0093
6.309      7.8707     10.0747
6.3984     7.7824     10.1422
6.512      7.6417     10.124
6.6069     7.5352     10.1147
6.6753     7.4327     10.1525
6.931      7.2357     10.164
7.089      7.1088     10.0461
7.2107     7.0535     10.0668
7.2948     6.9042     10.0803
7.3448     6.7688     10.1244
7.4582     6.5947     10.2303
7.5144     6.4877     10.263
7.619      6.3416     10.3221
7.7245     6.212      10.371
7.8245     6.0794     10.3439
7.96       5.9602     10.3533
8.0565     5.924      10.2724
8.1276     5.8683     10.2649
8.2702     5.7041     10.1996
8.404      5.5959     10.0711
8.5275     5.4808     10.0502
8.6796     5.2732     10.0191
8.7591     5.1514     10.066
8.8497     4.9903     10.1015
8.9311     4.8644     10.1335
9.0052     4.7328     10.199
9.143      4.6589     10.1686
9.2813     4.4695     10.1343
9.5828     4.5072     9.8594
9.6392     4.6418     9.5996
9.7395     4.755      9.4697
9.7938     4.9001     9.2666
9.8071     5.0429     9.055
9.7426     5.1684     8.7382
9.8366     5.2289     8.4365
9.9332     5.2789     8.1396
9.9717     5.3374     7.8798
10.0554    5.3473     7.6862
10.1006    5.3172     7.4531
10.2055    5.2998     7.2914
10.3016    5.2418     7.1306
10.4156    5.1841     7.0394
10.5063    5.1279     6.9422
10.5773    5.0119     6.7479
10.6655    4.9562     6.5265
10.7591    4.9596     6.3489
10.7657    4.9647     6.1712
10.8405    5.019      5.9961
10.87      5.0319     5.8696
10.9069    5.0729     5.719

































































































































9.8935     13.3123    15.9055    SUPORB
9.975      13.2177    16.1862
10.0117    13.0815    16.4894
10.0422    13.0313    16.6115
10.0254    12.9307    16.7554
10.0206    12.7431    17.0132
9.9764     12.5186    17.1772
10.0252    12.3487    17.3088
10.0771    12.1887    17.4237
10.1498    11.9682    17.5406
10.2039    11.8928    17.5995
10.2509    11.7207    17.7032
10.3149    11.5912    17.7562
10.3861    11.4788    17.7929
10.4261    11.3154    17.8585
10.5042    11.1358    17.9009
10.6589    10.9942    17.9537
10.8641    10.952     17.9725
10.9523    10.8848    17.9995
11.1022    10.7426    18.041
11.2086    10.642     18.0547
11.3293    10.5354    18.0606
11.4864    10.2763    18.0259
