AMNH        169432      phu1adr3
6.8834      15.481      -11.0509
6.9272      15.5599     -11.1786
6.9263      15.6128     -11.2881
6.8742      15.7295     -11.4243
6.9566      15.862      -11.5882
7.0456      15.9353     -11.636
7.158       16.0556     -11.7019
7.2645      16.1875     -11.7134
7.4753      16.2581     -11.651
7.6082      16.3566     -11.6303
7.6815      16.4572     -11.6588
7.7741      16.5968     -11.6932
7.8646      16.7432     -11.7495
7.9293      16.8645     -11.8263
7.9821      16.962      -11.8755
8.0468      17.064      -11.9231
8.0945      17.1271     -11.9563
8.0784      17.2384     -12.0642
8.1259      17.4287     -12.1774
8.1852      17.5581     -12.2753
8.2783      17.7089     -12.3205
8.3726      17.8265     -12.3575
8.483       17.9361     -12.3904
8.6061      18.0236     -12.3604
8.7617      18.0871     -12.3703
9.1043      18.1655     -12.2161
9.2482      18.1763     -12.1907
9.3611      18.1824     -12.0569
9.534       18.2393     -11.9578
9.6848      18.2822     -11.8683
9.8129      18.3578     -11.7983
9.9323      18.4087     -11.7264
10.0222     18.4628     -11.7174
10.1913     18.5829     -11.6921
10.2857     18.618      -11.642
10.3254     18.7365     -11.67
10.4444     18.8478     -11.7103
10.5031     18.9698     -11.6875
10.6562     19.0913     -11.6738
10.8325     19.1975     -11.5548
10.9673     19.193      -11.4288
11.0732     19.2202     -11.2934
11.2255     19.1944     -11.069
11.2321     19.2188     -10.9105
11.2572     19.1433     -10.7195
11.2714     19.1206     -10.601
11.23       18.9792     -10.3936
11.2097     18.8205     -10.2368
11.2147     18.7033     -10.0682
11.2029     18.6099     -9.8238
11.2146     18.5006     -9.6072
11.2948     18.3434     -9.331
11.3556     18.2927     -9.1373
11.4687     18.2514     -8.9477
11.5721     18.2499     -8.8267
11.7184     18.2556     -8.669
11.8492     18.2645     -8.5327
11.9966     18.2882     -8.3787
12.106      18.3183     -8.2647
12.2191     18.2859     -8.0334
12.269      18.2635     -7.8681
12.3299     18.2006     -7.6734
12.3347     18.091      -7.4762
12.3118     18.0594     -7.386














































































































8.1295      10.8607     -16.1991    SUPORB
8.1201      10.9141     -16.3106
8.1119      10.9637     -16.3987
8.0999      11.0161     -16.515
8.0939      11.0685     -16.6082
8.1168      11.1053     -16.7174
8.1286      11.1537     -16.8038
8.139       11.2087     -16.9185
8.1384      11.265      -17.0507
8.1497      11.3245     -17.1456
8.1559      11.4221     -17.3369
8.195       11.5347     -17.4907
8.2612      11.623      -17.6513
8.3981      11.7794     -17.8966
8.4737      11.923      -18.0035
8.5669      12.1092     -18.14
8.6818      12.2582     -18.2532
8.815       12.3504     -18.3299
8.9298      12.4931     -18.4089
9.0727      12.6251     -18.4793
9.1645      12.7273     -18.5372
9.262       12.8482     -18.5968
9.453       12.9994     -18.6719
9.5549      13.1097     -18.7158
9.6544      13.2041     -18.7487
9.8023      13.3818     -18.783
9.9549      13.6377     -18.8108
10.0898     13.7609     -18.8028
10.186      13.9022     -18.8035
10.2623     14.0545     -18.8002
10.3902     14.2308     -18.7819
10.4738     14.3953     -18.7617
10.6349     14.5661     -18.7098
10.7218     14.7284     -18.6626
10.8571     14.8788     -18.6031
11.0109     15.0389     -18.5466
11.124      15.181      -18.5757
11.2574     15.2397     -18.6089
11.435      15.2922     -18.6698
11.6201     15.3734     -18.7105
11.751      15.3965     -18.7379
12.0061     15.497      -18.7613
12.2018     15.596      -18.8001
12.3981     15.6811     -18.8098
12.5685     15.7997     -18.8107
12.7657     15.8816     -18.7927
12.9981     15.9983     -18.7699
13.0848     16.0865     -18.7311
13.2339     16.1763     -18.6914
13.4119     16.2678     -18.6441
13.5351     16.3809     -18.568
13.732      16.5043     -18.4945
13.8432     16.5689     -18.4339
14.0062     16.7033     -18.349
14.2623     16.7737     -18.2449
14.3778     16.8667     -18.1753
14.5148     16.8997     -18.0842
14.6748     16.9803     -17.937
14.8037     17.0131     -17.7838
14.9423     17.0344     -17.6015
15.0927     17.0449     -17.4057
15.202      17.0334     -17.2135
15.3557     16.9636     -16.9225
15.3692     16.9697     -16.8091
15.5767     16.9324     -16.615
15.6744     16.8484     -16.489






































































































































9.1879      13.6369     -15.099     RORBIT
9.1192      13.5186     -15.1223
8.99        13.418      -15.1314
8.8894      13.3196     -15.1817
8.815       13.1879     -15.2266
8.6945      13.0314     -15.3061
8.6304      12.8726     -15.3838
8.5808      12.7345     -15.4675
8.5524      12.6524     -15.555
8.509       12.5279     -15.6783
8.5164      12.4454     -15.7933
8.5221      12.3323     -15.9419
8.5257      12.3057     -16.0056
8.5602      12.252      -16.1677
8.512       12.1874     -16.3118
8.4832      12.1532     -16.4736
8.3909      12.2738     -16.7847
8.3942      12.3716     -16.9437
8.3376      12.5967     -17.148
8.3704      12.774      -17.2903
8.4029      12.9138     -17.3646
8.4309      13.0771     -17.4912
8.5214      13.2594     -17.5364
8.5724      13.3772     -17.5432
8.6755      13.4835     -17.5501
8.7437      13.5504     -17.5583
8.8924      13.6672     -17.5397
8.9485      13.8247     -17.5908
9.05        13.9016     -17.5872
9.1219      14.0293     -17.5667
9.2294      14.0757     -17.5237
9.3694      14.1203     -17.4693
9.546       14.2564     -17.4952
9.6999      14.2347     -17.4774
9.8373      14.1747     -17.4421
9.9325      14.3949     -17.6822
