FMNH       101803     Phu59stv
9.7053     8.5587     16.7478
9.9264     8.5561     16.843
10.1732    8.5326     16.8939
10.4967    8.3186     16.9378
10.7034    8.1393     16.9332
11.0153    8.0571     16.9392
11.2511    7.9514     16.8837
11.4708    7.8527     16.8246
11.7124    7.7553     16.7685
11.9789    7.677      16.6859
12.2029    7.558      16.5758
12.472     7.4577     16.477
12.6793    7.4691     16.4014
12.7991    7.5024     16.3394
12.9574    7.4941     16.261
13.0308    7.4986     16.151
13.2663    7.4674     15.8438
13.3877    7.5382     15.6999
13.4717    7.5678     15.536
13.5804    7.5172     15.2586
13.63      7.5058     15.1223
13.639     7.4797     14.9092
























































































































































8.024      10.2455    13.0982    RORBIT
7.7898     10.4013    13.1529
7.6817     10.5481    13.2
7.5346     10.703     13.2916
7.4721     10.8723    13.3898
7.4164     11.0209    13.5103
7.3502     11.1168    13.6197
7.3313     11.2277    13.7189
7.2797     11.3721    13.8902
7.2835     11.4955    14.0245
7.2542     11.6439    14.2127
7.2335     11.7135    14.4106
7.2019     11.7678    14.6749
7.1451     11.7734    14.8481
7.1076     11.6183    15.1887
7.0996     11.3489    15.393
7.1482     10.9987    15.5803
7.2302     10.6967    15.6656
7.2719     10.4488    15.692
7.3982     10.1798    15.7001
7.5243     9.9614     15.7139
7.7336     9.7429     15.734
8.0143     9.5668     15.7141
8.2026     9.3398     15.7597
8.4141     9.2338     15.7108
8.6048     9.1518     15.6526
8.7223     9.0744     15.5202
8.7916     8.9704     15.3841
8.9045     9.0078     15.0576
9.014      9.0411     14.7804
9.0626     9.1422     14.5799
9.0485     9.0704     14.4584
9.0374     9.1034     14.2652
9.0118     9.1227     14.2083






































































































































































10.9811    7.7414     13.2701    LORBIT
11.2097    7.535      13.3266
11.3571    7.5354     13.3913
11.642     7.3831     13.5075
11.9136    7.3179     13.6487
12.1709    7.2883     13.8369
12.3025    7.2936     13.9941
12.452     7.3279     14.1581
12.5348    7.2715     14.2659
12.5796    7.2725     14.3402
12.6941    7.232      14.5844
12.7031    7.222      14.7054
12.7119    7.2044     14.9381
12.6229    7.1282     15.1948
12.5515    7.0833     15.3584
12.4485    7.0461     15.4851
12.2886    6.9142     15.6134
12.0507    6.9291     15.6726
11.864     6.896      15.752
11.6321    6.8862     15.8057
11.5042    6.9097     15.7967
11.3028    7.0011     15.8141
11.1394    7.105      15.7478
10.7887    7.3        15.7131
10.7804    7.4961     15.6526
10.5507    7.5501     15.6524
10.2841    7.5881     15.7436
10.091     7.72       15.7584
9.933      7.974      15.7035
9.8581     8.2353     15.6131
9.6999     8.2624     15.4611
9.7257     8.3124     15.2321
9.7563     8.3854     15.0395
9.7682     8.4406     14.8666
9.7843     8.489      14.7491
9.7511     8.5055     14.6226
9.793      8.4817     14.5178
9.8018     8.4893     14.2906


































































































































































7.2054     12.6986    14.8685    RTEMFOS
7.1695     12.7392    14.6502
7.1293     12.746     14.3669
7.117      12.7284    14.0471
7.0696     12.6606    13.8837
7.0818     12.643     13.5302
7.0387     12.6203    13.3329
7.0063     12.6021    13.1174
6.9684     12.5638    12.9694
6.9458     12.5156    12.7915
6.9055     12.4932    12.4746
6.932      12.4844    12.3173
6.888      12.4707    12.1628
6.9458     12.4924    11.9858
6.8608     12.5127    11.7363
6.7469     12.6505    11.4453
6.7357     12.776     11.31
6.7808     12.9466    11.2218
6.8082     13.0457    11.1991
6.8518     13.2786    11.2099
6.9454     13.4777    11.2642
6.9731     13.6526    11.3165
7.0938     13.7672    11.3952
7.1215     13.8786    11.4364
















































































































































































13.6363    7.5067     15.0321    LTEMFOS
13.6523    7.4455     14.7
13.6742    7.446      14.5078
13.6615    7.4256     14.2975
13.6158    7.3961     14.1195
13.602     7.3488     13.9751
13.5704    7.2978     13.8286
13.5546    7.2679     13.6915
13.5474    7.2546     13.4793
13.5524    7.2214     13.1957
13.5286    7.1731     13.0594
13.5028    7.1075     12.8579
13.4906    7.0332     12.6632
13.4768    7.0252     12.5028
13.4905    7.006      12.3907
13.4788    6.9437     12.216
13.5298    6.9264     11.9366
13.5814    6.9159     11.758
13.7089    6.9507     11.5628
13.8442    6.9579     11.4876
14.007     7.0033     11.4402
