AMNH       81811      phu3ams3
0.2204     0.276      -0.2631






















































































































































































0.4829     0.3013     -0.2992    ROSTRUM
0.4826     0.2953     -0.3109
0.4795     0.2903     -0.3213
0.4743     0.2853     -0.3316
0.4637     0.2804     -0.3506
0.4559     0.2759     -0.3624
0.4526     0.273      -0.3682
0.446      0.2666     -0.3832
0.4458     0.2576     -0.3981
0.4426     0.2425     -0.4135
0.4376     0.2332     -0.4361
0.419      0.2352     -0.4496
0.4128     0.2365     -0.4509
0.4029     0.2409     -0.4512
0.3943     0.2512     -0.4483
0.3819     0.2591     -0.4444
0.3682     0.2637     -0.4521
0.3562     0.268      -0.4558
0.3373     0.2781     -0.4566
0.3302     0.284      -0.4582
0.3241     0.2912     -0.4563
0.316      0.3034     -0.449
0.3039     0.3103     -0.4474
0.2875     0.3137     -0.4543
0.2731     0.3225     -0.4552
0.2637     0.3304     -0.4524
0.2659     0.3499     -0.4301
0.2711     0.3582     -0.4265
0.2845     0.3661     -0.4094
0.2909     0.3772     -0.3922
0.2929     0.3867     -0.3797
0.2907     0.394      -0.3649
0.2891     0.3997     -0.3526
0.2883     0.4076     -0.3375
0.2939     0.4163     -0.3222
0.2973     0.4195     -0.3105
0.3065     0.4233     -0.3059



































































































































































0.6419     0.3686     -0.6602    SUPORB
0.641      0.3692     -0.67
0.6395     0.3685     -0.6853
0.634      0.3695     -0.7002
0.6278     0.3731     -0.715
0.6163     0.3752     -0.7298
0.6001     0.3794     -0.743
0.5831     0.3833     -0.7536
0.56       0.3868     -0.7613
0.5428     0.3937     -0.766
0.5374     0.3974     -0.7686
0.5148     0.4044     -0.7747
0.5051     0.4079     -0.7746
0.4924     0.4103     -0.774
0.4739     0.4124     -0.7689
0.4678     0.4113     -0.7662
0.4555     0.4084     -0.7576
0.4498     0.404      -0.7525
0.4432     0.4055     -0.7507
0.4377     0.4133     -0.753
0.4354     0.418      -0.7586
0.4354     0.4299     -0.7674
0.4313     0.4432     -0.7727
0.4312     0.4514     -0.7758
0.4247     0.4626     -0.7795
0.4105     0.4787     -0.7791
0.3947     0.4872     -0.776
0.3759     0.5053     -0.7705
0.3722     0.5176     -0.7683
0.3643     0.5332     -0.7628
0.3523     0.5481     -0.753
0.3454     0.557      -0.7448
0.3427     0.5652     -0.7359
0.3375     0.5731     -0.7214
0.3332     0.5773     -0.7107
0.3265     0.5778     -0.6999
0.328      0.5807     -0.6891
0.3258     0.5822     -0.6809
0.3226     0.5838     -0.6709

































































































































































0.4622     0.4097     -0.6631    RORBIT
0.4636     0.4083     -0.6713
0.4641     0.4072     -0.6798
0.4686     0.4038     -0.6923
0.4709     0.4015     -0.7003
0.4746     0.3962     -0.7114
0.4794     0.3915     -0.7149
0.4856     0.3833     -0.7184
0.4925     0.3804     -0.7184
0.5007     0.3754     -0.7172
0.5126     0.3664     -0.7185
0.5203     0.3662     -0.7177
0.5323     0.3609     -0.7199
0.5528     0.3539     -0.7169
0.5619     0.3509     -0.7146
0.5668     0.3517     -0.7112
0.5802     0.3525     -0.7027
0.586      0.3556     -0.6932
0.5912     0.3597     -0.6833
0.5904     0.365      -0.6719
0.5842     0.3693     -0.6559
0.5764     0.3661     -0.6457
0.5724     0.359      -0.6363
0.5556     0.3637     -0.6306
0.5476     0.3616     -0.6248
0.5367     0.3681     -0.6218
0.5307     0.3698     -0.6201
0.5238     0.3731     -0.618
0.5183     0.3775     -0.6173











































































































































































0.429      0.4318     -0.6663    LORBIT
0.4289     0.4319     -0.6689
0.4273     0.4313     -0.6805
0.4244     0.4327     -0.6967
0.4211     0.4328     -0.7031
0.4179     0.4335     -0.7106
0.4115     0.4386     -0.7173
0.4045     0.4428     -0.7155
0.3962     0.4465     -0.7166
0.3888     0.4502     -0.7169
0.3783     0.4622     -0.7215
0.3715     0.4705     -0.724
0.365      0.4764     -0.7256
0.3599     0.4834     -0.7281
0.3522     0.4978     -0.7288
0.3498     0.5055     -0.7246
0.3441     0.5122     -0.7211
0.3437     0.52       -0.7125
0.3372     0.5294     -0.7032
0.3368     0.5336     -0.6912
0.3407     0.5344     -0.6806
0.3427     0.5318     -0.6712
0.3431     0.5255     -0.6609
0.3446     0.5195     -0.6548
0.3468     0.5127     -0.6493
0.3472     0.5055     -0.6422
0.3525     0.4945     -0.6367
0.3587     0.4861     -0.6323
0.3671     0.4766     -0.6273
0.3699     0.4737     -0.6256










































































































































































0.6406     0.3698     -0.6656    RTEMFOS
0.6412     0.3688     -0.6623
0.6434     0.3656     -0.6524
0.6431     0.3652     -0.6413
0.642      0.3621     -0.6298
0.6413     0.362      -0.6173
0.6363     0.3564     -0.6044
0.6331     0.3525     -0.59
0.633      0.3524     -0.58
0.6322     0.3508     -0.5624
0.6334     0.3461     -0.5497
0.6367     0.3463     -0.5387
0.6432     0.3467     -0.5315
0.6513     0.3507     -0.5281
0.653      0.355      -0.5264
0.6672     0.3553     -0.5235
0.6708     0.3622     -0.5243
0.6755     0.3695     -0.5248
0.6791     0.37       -0.5256
0.6882     0.3708     -0.5258
0.6903     0.3723     -0.5258



















































































































































































0.3264     0.5826     -0.6752    LTEMFOS
0.3242     0.5848     -0.6673
0.3183     0.5818     -0.6511
0.315      0.5788     -0.6394
0.3146     0.58       -0.6268
0.3115     0.5779     -0.6171
0.3077     0.5734     -0.6089
0.3044     0.5706     -0.5963
0.302      0.5706     -0.5847
0.296      0.5702     -0.5697
0.2953     0.58       -0.5528
0.2956     0.5878     -0.547
0.2972     0.5999     -0.5447
0.3004     0.6097     -0.5452
0.3016     0.6182     -0.547
0.3024     0.6226     -0.5475
0.3016     0.6316     -0.5489























































































































































































0.2303     0.1652     -0.5656    OP
0.2881     0.2432     -0.5823    BA
0.4333     0.4383     -0.5744    ST
0.6307     0.689      -0.6284    IV
0.4522     0.1489     -0.5687    R_PG
0.5632     0.1975     -0.5219    R_ZTI
0.5623     0.4238     -0.6373    R_M3D
0.64       0.513      -0.6499    R_M12
0.6973     0.6057     -0.659     R_MP3
0.7359     0.6552     -0.6559    R_PMI
0.161      0.3627     -0.5945    L_PG
0.1699     0.4908     -0.5502    L_ZTI
0.4038     0.5456     -0.6489    L_M3D
0.4699     0.6465     -0.6609    L_M12
0.5486     0.7267     -0.6708    L_MP3
0.5917     0.779      -0.6562    L_PMI
0.702      0.8078     -0.6595    O1
0.3101     0.5905     -0.5159    O2
0.5385     0.1526     -0.5097    O3
0.1011     0.1917     -0.4885    O4




















































































































































































0.5942     0.3798     -0.5292    RZYGINF
0.5913     0.3727     -0.5234
0.5929     0.3634     -0.5156
0.5907     0.3553     -0.5107
0.5916     0.3453     -0.5068
0.5935     0.3288     -0.5084
0.5919     0.3108     -0.5128
0.5864     0.3027     -0.5163
0.5846     0.2848     -0.5201
0.5764     0.2754     -0.5231
0.5746     0.2648     -0.5219
0.5731     0.2519     -0.5266
0.5706     0.2347     -0.5248
0.5745     0.2167     -0.5213
0.5734     0.2063     -0.5156
0.5679     0.1968     -0.5105
























































































































































































0.3255     0.5739     -0.5547    LZYGINF
0.3184     0.573      -0.5488
0.3093     0.5661     -0.542
0.2998     0.5646     -0.5397
0.2882     0.5616     -0.5411
0.2686     0.5548     -0.5486
0.2589     0.5469     -0.5544
0.2509     0.5374     -0.5576
0.242      0.53       -0.5613
0.2339     0.5235     -0.5639
0.2234     0.5137     -0.5658
0.2124     0.5077     -0.5675
0.2002     0.5045     -0.5653
0.1894     0.5021     -0.5649
0.1738     0.4891     -0.56
0.169      0.488      -0.5582
0.1678     0.4862     -0.5558























































































































































































0.5672     0.4225     -0.6351    R-ALV
0.5786     0.4284     -0.635
0.5869     0.4295     -0.6314
0.6016     0.4395     -0.6292
0.6088     0.4527     -0.632
0.6179     0.4655     -0.6367
0.6239     0.4733     -0.6391
0.6332     0.4847     -0.6402
0.6435     0.5083     -0.6441
0.6456     0.516      -0.6466
0.6537     0.527      -0.6447
0.662      0.5358     -0.6478
0.6651     0.5485     -0.6476
0.6662     0.5559     -0.6505
0.6768     0.566      -0.6521
0.6848     0.5783     -0.6522
0.6921     0.5881     -0.6537
0.698      0.6011     -0.6528
0.6999     0.6035     -0.652





















































































































































































0.4022     0.5454     -0.6524    L-ALV
0.4023     0.5606     -0.6519
0.4047     0.5741     -0.6539
0.4102     0.5865     -0.6539
0.4214     0.5975     -0.6565
0.4311     0.6077     -0.6569
0.4412     0.6193     -0.6597
0.4484     0.6317     -0.6587
0.4654     0.6416     -0.6641
0.4769     0.6517     -0.6655
0.4869     0.6652     -0.6664
0.4985     0.6743     -0.6659
0.509      0.6844     -0.6666
0.5185     0.6955     -0.6702
0.526      0.7062     -0.6709
0.5366     0.7194     -0.6713
0.5436     0.7232     -0.6726
