UWMA       TP9        Ppa3stv
28.5293    1.4322     7.7605
28.653     1.4638     7.721
28.8185    1.4813     7.6148
28.9406    1.4408     7.5375
29.0929    1.4475     7.4411
29.223     1.4169     7.3528
29.3482    1.4465     7.3522
29.5353    1.4464     7.2229
29.6801    1.4706     7.1599
29.7954    1.4929     7.0946
29.9627    1.5082     6.9675
30.1111    1.5542     6.8977
30.2593    1.5361     6.7087
30.3763    1.5148     6.569
30.5365    1.5541     6.4745
30.6543    1.5637     6.3622
30.7939    1.5729     6.2325
30.9255    1.6091     6.1339
31.046     1.625      6.0134
31.191     1.6424     5.894
31.3298    1.6735     5.7782
31.4915    1.8084     5.664
31.5845    1.9324     5.4413
31.51      2.0264     5.3431










































































































































































27.1914    2.2921     8.3103     L-PM/MAX
27.3422    2.4348     8.2088
27.5481    2.5628     8.089
27.7362    2.7013     7.9775
27.9469    2.8129     7.8741
28.1122    2.9749     7.7292
28.2947    3.0734     7.6365
28.3909    3.1953     7.5467
28.5164    3.2984     7.4725
28.6511    3.4257     7.3733
28.834     3.5142     7.2828
28.992     3.6225     7.1734
29.1117    3.6823     7.0963
29.2634    3.8023     6.9719
29.4235    3.8694     6.8362
29.4846    3.9336     6.7598
29.5011    3.9931     6.6751
29.5968    4.0422     6.5733
29.699     4.1365     6.4625
29.793     4.2202     6.3254
29.9553    4.2552     6.2223
30.0261    4.3101     6.0876
30.1229    4.347      6.0386
30.2551    4.4121     5.9234
30.4182    4.4505     5.8108
30.5448    4.3829     5.6163
30.6436    4.4519     5.3603
30.6275    4.3638     5.2318












































































































































































28.9266    -0.0673    4.3986     ROSTRUM
28.9167    -0.063     4.7783
28.8668    -0.0318    5.0496
28.7601    0.0143     5.2651
28.7052    0.0796     5.485
28.6544    0.1537     5.7431
28.5729    0.1369     6.0847
28.5831    0.0958     6.3601
28.5434    0.0334     6.6406
28.5283    0.0291     6.8503
28.4535    0.1359     7.1094
28.2842    0.4043     7.3974
28.2148    0.5235     7.4656
28.1706    0.6875     7.5695
28.1018    0.8611     7.6671
27.9935    0.9937     7.7952
27.9338    1.1076     7.9385
27.7759    1.2532     8.1716
27.751     1.323      8.229
27.7462    1.4171     8.2854
27.7173    1.4993     8.3227
27.6402    1.5644     8.4398
27.5693    1.6963     8.487
27.5519    1.8074     8.5038
27.4587    2.0094     8.4584
27.4359    2.2155     8.3255
27.384     2.3378     8.2187
27.3445    2.5274     8.0554
27.2823    2.6941     7.8889
27.2695    2.8462     7.7732
27.2658    3.0208     7.642
27.221     3.1775     7.5567
27.1839    3.4126     7.4556
27.1699    3.6637     7.3169
27.1431    3.7909     7.1407
27.1523    3.9138     6.9131
27.1776    3.9334     6.5143
27.1987    3.904      6.1892
27.1743    3.9059     5.9262
27.1959    3.9924     5.6475
27.1903    4.0918     5.4104
27.2242    4.1818     5.2243
27.2509    4.2654     5.0333
27.3275    4.315      4.8112
27.3834    4.3284     4.6146
27.4052    4.3362     4.4189
27.4286    4.3401     4.2972
27.4467    4.4033     4.1483
























































































































































25.4624    -2.8932    8.187      SUPORB
25.3276    -2.7748    8.3513
25.2755    -2.7809    8.5597
25.2389    -2.7006    8.7585
25.2268    -2.5296    8.9512
25.226     -2.4176    9.099
25.232     -2.2239    9.2294
25.2908    -2.0309    9.3876
25.2883    -1.8397    9.4888
25.2935    -1.617     9.6026
25.2615    -1.4235    9.6861
25.2466    -1.3098    9.718
25.2521    -1.1854    9.7344
25.2217    -0.9894    9.8004
25.1745    -0.7761    9.8358
25.1341    -0.5922    9.8407
25         -0.2348    9.8851
24.9913    0.0875     9.9248
24.8961    0.2862     9.9532
24.9103    0.4505     9.9509
24.9068    0.6129     9.9509
24.8837    0.7538     9.9348
24.8908    0.8811     9.9225
24.8226    1.1083     9.9529
24.7428    1.2821     9.9564
24.5782    1.4643     9.9453
24.474     1.8653     9.9783
24.318     2.1003     9.9424
24.2288    2.247      9.9162
24.2099    2.4722     9.8987
24.0928    2.6326     9.8555
23.9573    2.7982     9.7892
23.88      2.9954     9.762
23.7471    3.1063     9.6976
23.6334    3.3011     9.5894
23.553     3.4037     9.5308
23.4652    3.5007     9.4509
23.4077    3.6599     9.3415
23.2929    3.817      9.1954
23.2806    4.1284     8.9608
23.2772    4.292      8.6159
23.2752    4.3876     8.4083
23.3064    4.4398     8.269





























































































































































26.8852    -0.5242    7.524      RORBIT
26.8696    -0.7828    7.4795
26.8236    -1.0575    7.458
26.7442    -1.3187    7.5852
26.6777    -1.4683    7.6749
26.5359    -1.6402    7.6998
26.3764    -1.7998    7.8242
26.216     -1.9388    7.9589
26.0836    -2.002     8.0981
25.9387    -2.0546    8.2371
25.8668    -2.023     8.3749
25.7505    -2.0306    8.5886
25.585     -1.9871    8.7144
25.5018    -1.8881    8.8561
25.498     -1.7485    9.1223
25.5167    -1.5699    9.3214
25.4948    -1.35      9.4208
25.508     -1.095     9.4422
25.4177    -0.8903    9.4928
25.4114    -0.6652    9.5969
25.3499    -0.5076    9.5953
25.3073    -0.2958    9.6071
25.247     -0.0778    9.5615
25.2467    0.143      9.5235
25.2665    0.3858     9.465
25.3393    0.5856     9.4087
25.46      0.8076     9.1247
25.5421    0.7872     8.9961
25.748     0.7968     8.8448
25.7992    0.8201     8.765
25.8481    0.8028     8.6296









































































































































































25.5942    3.4743     7.6424     LORBIT
25.3901    3.6516     7.6164
25.2854    3.7666     7.6297
25.1502    3.806      7.6432
25.0247    3.8874     7.6432
24.8115    3.9522     7.6821
24.5797    4.0157     7.8202
24.4068    4.0602     7.9431
24.1815    4.1269     8.1362
23.9458    4.0821     8.3614
23.8761    4.1006     8.6097
23.875     4.0036     8.7925
23.8541    3.9074     8.976
23.847     3.8126     9.0604
23.8952    3.6508     9.1908
23.9426    3.5323     9.3743
23.9376    3.4404     9.5036
24.2713    3.136      9.622
24.3838    2.906      9.6589
24.5029    2.6795     9.6694
24.5626    2.5388     9.7109
24.5844    2.3017     9.6911
24.7153    1.9635     9.6134
24.77      1.7036     9.5182
24.9146    1.5839     9.471
25.0639    1.501      9.3552
25.1918    1.5114     9.2186
25.2756    1.5286     9.054
25.4559    1.5907     8.9207
25.6313    1.7065     8.7212
25.711     1.8071     8.63
25.9133    1.9482     8.5178








































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































26.3321    1.7206     8.5123     OP
24.6251    1.0748     8.4818     BA
20.434     -0.5625    7.5405     ST
17.1332    -1.8875    7.5572     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
21.4744    -2.2522    8.4156     R_M3D
19.3859    -3.5578    8.462      R_M12
17.319     -3.9946    8.1282     R_MP3
16.1895    -3.8847    7.9037     R_PMI
23.316     4.4072     8.1427     L_PG
9999       9999       9999       L_ZTI
20.0211    1.1962     8.4618     L_M3D
17.7783    0.8071     8.6079     L_M12
16.0425    -0.1633    8.228      L_MP3
15.3596    -1.3262    8.0587     L_PMI
15.0896    -1.1901    8.1529     O1
19.2845    3.8455     6.686      O2
23.9453    -2.6456    3.1149     O3
27.9094    3.0965     6.253      O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































21.4149    -2.298     8.4257     R-ALV
21.1726    -2.5464    8.5002
21.0386    -2.766     8.5045
20.7706    -2.9627    8.4973
20.5312    -3.1134    8.484
20.3192    -3.2193    8.5079
20.0614    -3.3265    8.5142
19.8334    -3.4212    8.4962
19.5898    -3.4899    8.4792
19.3649    -3.5307    8.4894
19.1657    -3.5822    8.5109
18.9491    -3.6208    8.5165
18.6345    -3.6326    8.3948
18.3681    -3.6409    8.3524
18.1912    -3.7166    8.3316
17.9669    -3.8219    8.3084
17.7482    -3.8745    8.2709
17.6493    -3.9096    8.1872
17.4843    -3.9551    8.1052
17.3119    -3.9972    8.013




















































































































































































20.0036    1.252      8.3849     L-ALV
19.7965    1.2987     8.4532
19.6251    1.3026     8.4471
19.4377    1.331      8.4224
19.2667    1.3421     8.4165
19.086     1.3571     8.4029
18.8615    1.2956     8.4756
18.6287    1.2665     8.4446
18.4204    1.2106     8.4425
18.212     1.1223     8.4582
18.0107    0.9756     8.4861
17.815     0.9253     8.4394
17.5243    0.792      8.4905
17.3779    0.7224     8.4828
17.1565    0.5572     8.5429
16.9975    0.466      8.4991
16.7636    0.218      8.4037
16.5811    0.1656     8.3883
16.4081    0.0715     8.3783
16.2432    -0.0023    8.2832
16.0352    -0.1281    8.1627
