NMNH       121660     Scc16stv
1.2467     4.6962     6.6651
1.0508     4.6177     6.5814
0.8884     4.5529     6.4286
0.7367     4.4937     6.2846
0.6167     4.425      6.1212
0.5699     4.5        5.7852













































































































































































-2.5834    5.6075     6.017      RTEMFOS
-2.6982    5.6011     5.7888
-2.8219    5.5142     5.6185
-2.8915    5.4788     5.3854
-2.9812    5.4045     5.1941
-3.0346    5.3122     4.971
-3.0459    5.2428     4.7498
-3.0544    5.2992     4.4173
-3.1142    5.3149     4.1569
-3.1368    5.4444     4.0073
-3.2148    5.6557     3.862
-3.2377    5.8283     3.8484
-3.2668    5.9548     3.8228
-3.3071    6.107      3.8093


























































































































































































2.9098     5.7104     5.8945     LTEMFOS
3.0635     5.6452     5.5862
3.1845     5.5225     5.3813
3.2626     5.4252     5.1549
3.3055     5.3321     5.0001
3.3179     5.2349     4.6551
3.3003     5.1926     4.4113
3.3014     5.2475     4.2813
3.328      5.2765     4.0654
3.3522     5.4017     3.9582
3.3757     5.4999     3.8468
3.4166     5.6311     3.7552
3.4181     5.7785     3.7064
3.4713     5.9001     3.6642
3.4987     6.0297     3.6611

























































































































































































-0.3818    1.237      5.4745     OP
-0.3239    2.9119     5.8444     BA
-0.3345    6.6182     4.6592     ST
-0.2915    8.9693     4.7691     IV
-3.0806    3.6253     5.3998     R_PG
-3.73      5.2403     4.9086     R_ZTI
-1.659     6.3537     5.3567     R_M3D
-2.0303    7.6865     5.4978     R_M12
-1.7334    9.45       5.0644     R_MP3
-1.1712    9.8546     4.9184     R_PMI
2.4243     3.3548     5.4709     L_PG
3.0861     4.9985     4.9121     L_ZTI
0.956      6.3273     5.2975     L_M3D
1.3974     7.6195     5.4316     L_M12
1.2482     9.2853     4.9877     L_MP3
0.5917     9.6505     4.8774     L_PMI
-0.9991    9.9839     4.3804     O1
1.965      5.5734     1.3507     O2
-3.8185    4.4803     4.6137     O3
0.6661     0.1765     3.7187     O4




















































































































































































-2.8421    7.2512     4.6545     RZYGINF
-3.1457    7.0537     4.7111
-3.271     6.8144     4.8001
-3.3861    6.6514     4.7518
-3.4103    6.4433     4.7298
-3.4334    6.299      4.7542
-3.469     6.0915     4.7944
-3.4967    5.9059     4.8488
-3.5678    5.7948     4.9275
-3.6393    5.6406     4.9472
-3.6362    5.4554     4.9574
-3.6538    5.2744     4.977
-3.7154    5.126      4.9417



























































































































































































2.1309     7.0963     4.6784     LZYGINF
2.3026     6.9719     4.6798
2.4621     6.8039     4.7453
2.5611     6.7015     4.7454
2.6884     6.5616     4.7234
2.7255     6.3633     4.7234
2.786      6.1778     4.7699
2.8107     5.968      4.802
2.8996     5.8503     4.8502
2.9461     5.7313     4.9494
3.0223     5.5417     4.9258
3.0403     5.3612     4.9453
3.074      5.1799     4.9506
3.0964     4.9939     4.9534
3.1248     4.918      4.9502
3.1299     4.8591     4.9382
























































































































































































-1.7061    6.4498     5.3111     R-ALV
-1.7844    6.653      5.3358
-1.8735    6.8322     5.3954
-1.9486    7.1349     5.4003
-1.9833    7.3093     5.486
-2.0043    7.5436     5.5378
-2.0359    7.8177     5.5274
-2.0545    8.0829     5.4439
-2.0437    8.2891     5.4278
-1.9596    8.4209     5.3148
-1.9432    8.5706     5.3645
-1.9445    8.7509     5.2535
-1.9165    8.8911     5.2047
-1.8832    9.04       5.1422
-1.8433    9.1912     5.1079
-1.7624    9.3179     5.0795
























































































































































































0.8809     6.2331     5.3044     L-ALV
1.0528     6.4742     5.2646
1.2346     6.7633     5.3496
1.2748     7.0101     5.3607
1.3434     7.2551     5.3497
1.397      7.4551     5.3527
1.4136     7.7737     5.3584
1.4166     8.0637     5.3188
1.3364     8.4261     5.2574
1.348      8.6639     5.1579
1.3146     8.8273     5.1441
1.2849     9.0322     5.1501
1.2627     9.1996     5.0419
