AMNH    169432  phu1adr1
5.5612  24.9549 -9.9244
5.5322  25.0477 -9.8227
5.5144  25.1098 -9.7326
5.4983  25.2052 -9.6258
5.4938  25.2986 -9.5072
5.4488  25.3511 -9.4087
5.4406  25.4165 -9.3241
5.4217  25.4489 -9.2166
5.3876  25.5604 -9.0709
5.3726  25.6036 -8.9746
5.3512  25.6455 -8.8715
5.3195  25.7119 -8.7288
5.3002  25.734  -8.6141
5.2699  25.7497 -8.5569
5.2833  25.8091 -8.4428
5.2626  25.8083 -8.3516
5.2349  25.8117 -8.213
5.2246  25.8524 -8.1177
5.2132  25.9245 -7.9433
5.2225  25.9557 -7.7919
5.2042  25.9961 -7.6502
5.1801  26.0472 -7.526
5.1666  26.0879 -7.4166
5.1458  26.1391 -7.2762
5.1051  26.1781 -7.157
5.148   26.2523 -7.0626
5.1783  26.316  -6.9649
5.1717  26.349  -6.8524
5.1961  26.3906 -6.7297
5.3449  26.4357 -6.606
5.3756  26.3948 -6.4016
5.3761  26.3352 -6.2008
5.3221  26.1325 -5.9511






























































































































































5.3871  19.8041 -7.2159   ROSTRUM
5.2354  19.7965 -7.4004
5.1997  19.8477 -7.6779
5.2007  19.8383 -7.7173
5.1512  19.8947 -7.8611
5.1464  19.9264 -8.006
5.1267  19.9994 -8.1327
5.1686  20.1051 -8.3009
5.1943  20.2234 -8.4718
5.1917  20.2862 -8.5702
5.196   20.3409 -8.7243
5.2158  20.4785 -8.8965
5.1861  20.5181 -9.044
5.1013  20.5756 -9.1964
5.0622  20.606  -9.3466
4.9835  20.6093 -9.4492
4.9345  20.6266 -9.5203
4.8454  20.6393 -9.6917
4.7927  20.6333 -9.782
4.726   20.6468 -9.8421
4.623   20.6291 -10.0237
4.4942  20.6404 -10.1757
4.4761  20.651  -10.2731
4.4115  20.6492 -10.3811
4.3147  20.6616 -10.5098
4.2268  20.6322 -10.6514
4.1895  20.6615 -10.7477
4.1674  20.7018 -10.8809
4.159   20.8307 -11.008
4.1944  20.8676 -11.0915
4.1319  20.9436 -11.2295
4.1044  21.0026 -11.2864
4.1158  21.1171 -11.4188
4.1888  21.2106 -11.4558
4.2608  21.2808 -11.4911
4.3264  21.4365 -11.535
4.414   21.5623 -11.505
4.5396  21.6309 -11.4769
4.6601  21.687  -11.4862
4.7465  21.7584 -11.4757
4.777   21.8559 -11.4886
