NME       spec3     Eth3stv
17.6315   31.0451   8.6587
17.697    31.0684   8.5355
17.7378   31.0817   8.4277
17.8561   31.144    8.2111
17.8762   31.1523   8.0977
17.751    31.1079   7.8338









































































































































































15.2362   30.0774   11.1774   L-PM/MAX
15.2277   30.2077   11.0435
15.2647   30.2887   10.9568
15.2544   30.4043   10.8958
15.262    30.4835   10.846
15.2539   30.575    10.7762
15.2418   30.6673   10.6997
15.2085   30.7622   10.5742
15.1986   30.8352   10.5142
15.159    30.954    10.3887
15.1445   31.0497   10.272
15.0978   31.2379   10.1343
15.1098   31.3668   10.0218
15.101    31.4242   9.9184
15.0906   31.5454   9.7939
15.0954   31.6209   9.66
15.117    31.6803   9.5561
15.0826   31.6996   9.4414
15.0023   31.6847   9.2721
14.9748   31.6948   9.1148
14.966    31.7461   8.8995
14.9832   31.8236   8.737
14.997    31.9362   8.5621
14.9867   31.9386   8.4242
14.9692   32.0216   8.2966
14.9244   32.0745   8.1321
14.8903   32.0825   7.9798
14.892    32.1544   7.8042
15.0213   32.0488   7.6315











































































































































































17.4482   28.9131   8.2449    ROSTRUM
17.5015   28.9585   8.4306
17.4506   29.0487   8.5732
17.3723   29.1107   8.6686
17.2629   29.1509   8.8301
17.2165   29.2414   8.9076
17.0374   29.3364   9.0141
16.904    29.4786   9.2942
16.8869   29.536    9.4547
16.862    29.5672   9.556
16.8409   29.609    9.7135
16.8082   29.6663   9.8536
16.8399   29.7323   10.0168
16.8054   29.7626   10.1781
16.7941   29.8162   10.341
16.7553   29.847    10.4222
16.7345   29.9289   10.587
16.6374   30.0053   10.6859
16.3976   30.083    10.7279
16.2601   30.1729   10.7352
16.2169   30.2514   10.766
16.133    30.3175   10.8304
16.0034   30.3911   10.9064
15.8065   30.4705   10.8844
15.6852   30.5446   10.8952
15.5023   30.608    10.8434
15.3732   30.6904   10.7969
15.2069   30.7178   10.6756
15.1543   30.4952   10.7733
15.0218   30.5466   10.7106
14.9019   30.576    10.6321
14.775    30.5885   10.4985
14.7242   30.6367   10.434
14.577    30.5385   10.2455
14.5558   30.5262   10.069
14.5358   30.4472   9.8555
14.5125   30.3769   9.6847
14.4917   30.3273   9.5622
14.4917   30.3132   9.3956
14.4776   30.3004   9.2233
14.4497   30.2927   9.0844
14.3538   30.2226   8.9007
14.2409   30.2429   8.7525
14.0971   30.2432   8.6767
14.0033   30.2477   8.609
13.9074   30.2431   8.562
13.8221   30.2807   8.4174
13.7375   30.2821   8.2416
13.7515   30.2919   8.0931
13.7266   30.2753   8.0194






















































































































































17.2714   26.4226   13.8559   SUPORB
17.2653   26.4082   13.9804
17.2604   26.4588   14.2451
17.2138   26.4895   14.347
17.1798   26.5008   14.4908
17.1335   26.6158   14.6404
17.0437   26.698    14.7046
16.9844   26.7494   14.7631
16.8752   26.8732   14.8685
16.762    27.0322   14.9535
16.6707   27.1392   15.0022
16.6119   27.1867   15.0176
16.5226   27.2945   15.0536
16.4524   27.397    15.1017
16.3619   27.5057   15.139
16.2879   27.5658   15.165
16.1764   27.6555   15.2031
16.0686   27.7805   15.2444
15.9309   27.8822   15.2711
15.8502   27.9755   15.2854
15.7149   28.0331   15.2607
15.6714   28.0753   15.2567
15.5702   28.1563   15.2409
15.4814   28.2528   15.2392
15.403    28.3098   15.2145
15.3232   28.3854   15.2078
15.261    28.4215   15.1879
15.1393   28.5157   15.1679
15.009    28.5709   15.1436
14.9178   28.6344   15.1338
14.7903   28.7032   15.0992
14.6762   28.729    15.1033
14.5006   28.7522   15.1153
14.3441   28.7438   15.1359
14.1923   28.7638   15.1497
14.0221   28.7675   15.1535
13.8708   28.789    15.1574
13.7697   28.8008   15.1516
13.38     28.7841   15.0898
13.2221   28.7932   15.0506
13.0529   28.7882   14.9956
12.8436   28.7565   14.9268
12.6664   28.7204   14.8603
12.4512   28.6743   14.7733
12.2987   28.6494   14.7316
12.153    28.5846   14.6533
11.8674   28.4537   14.5047
11.7816   28.4117   14.2202
11.6232   28.4322   14.0992
11.5839   28.5584   13.9611
11.5746   28.5327   13.7465
11.5381   28.561    13.4993
11.4879   28.6021   13.415
11.4698   28.6134   13.2643


















































































































































16.4047   27.9311   12.2229   RORBIT
16.562    27.8435   12.2312
16.7341   27.7185   12.2945
16.8543   27.611    12.368
16.9435   27.5045   12.4678
17.0518   27.3991   12.5617
17.1488   27.3242   12.6685
17.2137   27.2111   12.8464
17.1844   27.1379   13.0196
17.2284   27.0759   13.1466
17.2366   27.0491   13.3258
17.2271   27.0658   13.5319
17.2436   27.0774   13.7385
17.2118   27.1282   13.8542
17.2041   27.2897   14.1664
17.1367   27.3634   14.2415
17.0797   27.4962   14.3924
17.0221   27.6194   14.4875
16.9201   27.7528   14.5852
16.6888   27.9117   14.5972
16.3781   28.1424   14.5903
16.3001   28.2237   14.575
16.1557   28.2921   14.542
16.0417   28.341    14.5219
15.9003   28.3393   14.4827
15.7907   28.3387   14.4456
15.6755   28.4449   14.4815
15.4638   28.5711   14.5002
15.2493   28.6914   14.4176
15.1851   28.7229   14.1877
15.1372   28.6529   13.9055
15.0915   28.6214   13.7403
15.0745   28.5419   13.5199







































































































































































13.2742   28.9956   12.0599   LORBIT
13.1386   28.9971   12.0466
12.9986   29.0036   12.031
12.7762   29.0679   12.0613
12.6286   28.9924   12.1031
12.3219   29.0032   12.2891
12.2284   29.0275   12.4078
12.0924   29.0239   12.5382
11.9972   29.0618   12.6453
11.9499   29.0817   12.7667
11.8866   29.0214   12.9801
11.9149   28.9939   13.0653
11.8715   29.0135   13.2279
11.8958   29.0173   13.3876
12.0039   29.047    13.6441
12.0833   29.1373   13.8326
12.1774   29.2443   14.0078
12.3579   29.2406   14.1359
12.5315   29.2758   14.2469
12.7262   29.3195   14.3342
12.9152   29.3196   14.3833
13.2215   29.349    14.4143
13.2943   29.3373   14.4099
13.4147   29.2691   14.3523
13.5114   29.2216   14.342
13.6071   29.1467   14.3274
13.7303   29.0717   14.2858
14.0397   28.9918   14.4367
14.1777   28.9345   14.3961
14.3026   28.8236   14.1904
14.4024   28.6972   13.8603
14.4346   28.6299   13.7109
14.4909   28.6281   13.5196







































































































































































17.4481   26.4214   13.5906   RTEMFOS
17.5235   26.4273   13.4828
17.5724   26.4346   13.3286
17.6111   26.4701   13.2427
17.5834   26.4351   13.0285
17.5616   26.4546   13.1005
17.6384   26.4832   12.9771
17.7065   26.5231   12.8392
17.7216   26.5197   12.6942
17.7084   26.5147   12.5776
17.7544   26.5173   12.459
17.789    26.5427   12.2996
17.8141   26.5598   12.1539
17.8965   26.5883   11.9539
17.8979   26.5727   11.7508
17.9117   26.5615   11.5753
18.0107   26.5955   11.3439
18.0388   26.5348   11.1886
18.0318   26.4536   11.0342
18.0987   26.3593   10.9147
18.1857   26.2528   10.7932
18.2421   26.0144   10.7327
18.2375   25.8581   10.7805
18.2437   25.696    10.9282
18.2763   25.4702   10.933
18.2551   25.3307   11.0368
18.2582   25.2609   11.1084













































































































































































11.4193   28.6035   13.3468   LTEMFOS
11.4124   28.5967   13.1533
11.417    28.6269   12.9743
11.4197   28.6481   12.8919
11.4257   28.6909   12.7428
11.4245   28.7169   12.6011
11.4434   28.7254   12.4532
11.4063   28.7572   12.2512
11.4355   28.7563   12.0966
11.4096   28.7735   11.9266
11.4316   28.7741   11.7473
11.3854   28.8711   11.5618
11.4275   28.8301   11.3169
11.4161   28.8829   11.1773
11.4299   28.8967   11.0673
11.4154   28.8722   10.9431
11.4071   28.88     10.8013
11.3789   28.8951   10.6753
11.3285   28.8832   10.5426
11.2781   28.8721   10.4384
11.199    28.8393   10.3257
11.1023   28.7699   10.2647
11.0377   28.6612   10.2379
10.8808   28.6677   10.2849
10.7637   28.453    10.304
10.6808   28.3846   10.3215
10.6625   28.3387   10.4162
10.5287   28.2009   10.4831












































































































































































15.348    30.8812   13.9342   OP
14.7862   29.2945   13.6788   BA
13.483    25.6816   12.5919   ST
11.9755   21.8073   12.3453   IV
9999      9999      9999      R_PG
18.5049   26.3392   12.7979   R_ZTI
9999      9999      9999      R_M3D
14.3897   22.3296   13.3073   R_M12
13.6233   20.932    13.1447   R_MP3
13.1068   20.4865   12.9042   R_PMI
11.5638   30.6965   13.1186   L_PG
10.1913   29.5664   12.2644   L_ZTI
9999      9999      9999      L_M3D
10.4961   23.6754   13.1946   L_M12
10.1832   22.1831   12.954    L_MP3
10.4223   21.4241   12.8781   L_PMI
10.6213   21.3235   11.8918   O1
17.2819   24.2597   12.6588   O2
12.397    28.7297   8.1243    O3
17.1213   32.7401   12.9176   O4




















































































































































































16.3911   24.2795   12.9345   RZYGINF
16.4885   24.2995   12.87
16.6556   24.2856   12.8947
16.8441   24.2671   12.9312
17.0096   24.3729   12.9955
17.1256   24.4983   13.0424
17.2415   24.566    13.0545
17.3592   24.7285   13.0692
17.4572   24.856    13.0895
17.5534   24.9684   13.0948
17.6253   25.0872   13.0915
17.7009   25.2108   13.0922
17.8188   25.3867   13.0465
17.9593   25.5542   12.9856
18.0168   25.6648   12.9543
18.0664   25.7774   12.9419
18.127    25.8367   12.8997
18.2369   25.967    12.8664
18.2749   26.0947   12.8683
18.3925   26.2226   12.8386
18.4074   26.3372   12.8562
18.4855   26.4396   12.8408


















































































































































































10.3191   26.6039   12.5243   LZYGINF
10.2262   26.665    12.4759
10.1325   26.7576   12.4991
9.9489    26.8762   12.5594
9.8797    27.0272   12.5887
9.8622    27.1733   12.596
9.8883    27.2905   12.6161
9.9492    27.4761   12.643
9.9536    27.6362   12.6416
9.9561    27.8587   12.6348
9.9439    27.956    12.6189
9.9923    28.0474   12.6022
9.9971    28.1473   12.5917
10.0079   28.2607   12.5671
9.9816    28.3902   12.5033
10.0065   28.5053   12.4853
10.0531   28.5554   12.4632
10.1073   28.6724   12.4594
10.1164   28.7715   12.4513
10.1159   28.8269   12.4319
10.1499   28.9545   12.4076
10.1488   29.0713   12.3813
10.1539   29.1881   12.362
10.1414   29.2797   12.3736
10.1651   29.3878   12.3527
10.19     29.4756   12.3144














































































































































































14.9928   24.3801   13.5607   R-ALV
15.0781   24.2176   13.6029
15.0394   24.0741   13.5466
15.001    23.8767   13.5663
14.9649   23.7348   13.5481
14.9675   23.5344   13.5458
14.9541   23.385    13.5315
14.869    23.2443   13.5249
14.8203   23.1638   13.4945
14.7141   22.9982   13.457
14.649    22.8609   13.4788
14.607    22.7317   13.4767
14.5729   22.562    13.4514
14.5352   22.4808   13.4711
14.4803   22.3656   13.4451
14.3981   22.3011   13.3059
14.299    22.2084   13.3129
14.2476   22.0571   13.3435
14.2195   21.9159   13.3447
14.1531   21.8088   13.3509
14.1154   21.7275   13.3609
14.0236   21.6177   13.3335
13.9958   21.5684   13.3331
13.925    21.4285   13.2809
13.8465   21.2337   13.2159
13.7977   21.1595   13.2451
13.7333   21.0488   13.2165
13.665    20.973    13.2326
13.5554   20.9396   13.2198











































































































































































11.2662   25.7228   13.2681   L-ALV
11.1321   25.6262   13.2443
11.0341   25.4896   13.2794
10.9334   25.3342   13.2713
10.9426   25.2303   13.2933
10.8887   25.1009   13.2683
10.8502   25.0177   13.2551
10.8147   24.865    13.2585
10.6875   24.7144   13.2438
10.6983   24.585    13.2491
10.664    24.4054   13.2496
10.6418   24.2967   13.2304
10.5818   24.1208   13.2291
10.4797   23.9784   13.2428
10.4637   23.8434   13.2832
10.5555   23.5564   13.1827
10.5492   23.4186   13.1319
10.4535   23.1914   13.1108
10.4038   23.066    13.1924
10.3738   22.9219   13.185
10.3766   22.8178   13.1911
10.3656   22.7294   13.1817
10.2772   22.5114   13.178
10.2797   22.4657   13.1164
10.2196   22.252    13.1078
10.3107   22.0958   13.1086
