AMNH       169432     Phu1mam
5.4976     10.5702    10.223
5.5409     10.7462    10.2442
5.5965     10.8897    10.2563
5.6248     11.0756    10.2705
5.6867     11.5317    10.3092









































































































































































-0.1397    4.3126     13.0641    OP
-0.2389    6.6493     13.3093    BA
-0.1886    13.2028    12.6067    ST
-0.1388    19.7223    13.2794    IV
9999       9999       9999       R_PG
-6.0342    9.7524     11.4693    R_ZTI
-2.7336    13.8484    14.1377    R_M3D
-2.9065    16.5379    14.3282    R_M12
-2.6962    19.2427    14.1248    R_MP3
-1.9845    21.1259    13.735     R_PMI
4.1298     6.6732     12.8551    L_PG
5.7713     9.6052     11.5966    L_ZTI
2.5424     13.7315    14.3095    L_M3D
2.8175     16.3311    14.1862    L_M12
2.6481     18.9622    13.7231    L_MP3
1.8198     21.0775    13.4673    L_PMI
0.728      23.1578    14.0465    O1
3.7616     9.7338     5.7659     O2
-5.5698    6.9671     11.1842    O3
0.736      1.5686     10.1147    O4




















































































































































































-6.0355    9.7361     11.4907    RZYGINF
-5.9909    9.8952     11.6593
-5.8784    10.0568    11.7261
-5.7622    10.2298    11.836
-5.6545    10.4235    11.8633
-5.5866    10.6463    11.9058
-5.5296    10.9224    11.924
-5.4339    11.2973    11.926
-5.3888    11.548     11.9298
-5.3563    11.8245    11.8542
-5.2654    12.0994    11.702
-5.161     12.3932    11.5996
-5.0509    12.5537    11.5301
-4.9472    12.7147    11.5084
-4.7547    12.931     11.5224
-4.5895    13.1061    11.5973
-4.4419    13.184     11.6687
-4.2703    13.2715    11.7776
-4.0615    13.4962    11.924





















































































































































































5.7236     9.6145     11.6169    LZYGINF
5.5172     9.7665     11.7982
5.37       9.9671     11.8782
5.2322     10.1492    11.9384
5.1476     10.3898    11.9837
5.0854     10.5758    11.9871
5.0098     10.7919    11.9848
4.9578     11.0333    11.9794
4.9293     11.1931    11.9517
4.8644     11.4408    11.9081
4.8744     11.6813    11.8383
4.853      11.9875    11.7127
4.6874     12.2434    11.6175
4.5221     12.4792    11.5394
4.3206     12.6432    11.5055
4.105      12.8377    11.5534
3.9215     13.0421    11.6942
3.7431     13.2561    11.9181






















































































































































































-2.7415    13.8459    14.1264    R-ALV
-2.7998    13.9521    14.1682
-2.8776    14.1195    14.1851
-2.9196    14.2934    14.2285
-2.9617    14.4334    14.2586
-3         14.6731    14.2801
-3.0094    14.8787    14.2318
-3.0098    15.0739    14.2836
-3.0309    15.3814    14.252
-3.0302    15.6208    14.294
-3.0323    15.7878    14.3113
-3.032     15.9203    14.2795
-3.0231    16.0125    14.3138
-3.011     16.1422    14.3114
-2.9837    16.2848    14.2981
-2.9633    16.3649    14.2716
-2.9409    16.4937    14.2538
-2.9249    16.608     14.2397
-2.9337    16.7106    14.2557
-2.9179    16.8161    14.2991
-2.8993    16.9948    14.2517
-2.8942    17.1817    14.2461
-2.8771    17.3649    14.2405
-2.7749    17.8244    13.9937
-2.7449    18.0671    13.9801
-2.7145    18.3165    13.9796
-2.7182    18.5501    14.0175
-2.715     18.6922    13.9915
-2.7164    18.8544    13.9513
-2.7292    19.171     13.9577










































































































































































2.4924     13.6298    14.261     L-ALV
2.6012     13.821     14.2437
2.6671     13.9847    14.2322
2.7291     14.1904    14.213
2.7872     14.4371    14.2434
2.8307     14.7619    14.1647
2.8402     14.9798    14.2405
2.8701     15.1872    14.1744
