KNM        BC 2a      Tbg1stv
































































































































10.1632    18.3403    12.003     SUPORB
10.1666    18.2492    12.2012
10.2227    18.193     12.4125
10.1752    18.1254    12.5948
10.2424    18.0148    12.8043
10.229     17.8204    12.9633
10.132     17.5582    13.0287
10.082     17.3192    13.1099
10.0361    17.149     13.1556
9.9963     16.9343    13.2261
10.0464    16.6971    13.3453
10.1056    16.428     13.4711
10.1848    16.1829    13.5455
10.2717    15.9401    13.6002
10.4695    15.6959    13.6234
10.5853    15.56      13.6506
10.8297    15.588     13.6667
11.0621    15.554     13.7004
11.2572    15.3956    13.7298
11.4365    15.1843    13.7502
11.4885    14.9373    13.7166
11.4382    14.6925    13.6813
11.4594    14.4583    13.5966
11.5906    14.2383    13.5467
11.6737    14.0998    13.5349
11.8802    14.0298    13.5912
12.0666    13.9972    13.6558
12.2126    14.0446    13.6935
12.4464    14.0498    13.7436
12.7159    14.039     13.7616
12.8257    13.7614    13.7823
12.8308    13.5656    13.7804
12.8517    13.3345    13.7997
12.9445    13.1764    13.794
13.011     12.9514    13.7948
13.1574    12.8336    13.8027
13.4262    12.7383    13.7812
13.7162    12.6661    13.7048
13.9498    12.6585    13.6485
14.1614    12.6764    13.5965
14.383     12.6848    13.5215
14.5925    12.6556    13.4586
14.6432    12.7266    13.4254
14.8178    12.617     13.3341
15.0372    12.5614    13.2166
15.277     12.5472    13.0786
15.4294    12.556     12.9598
15.4944    12.6002    12.8651
15.5725    12.6233    12.7877
15.648     12.6289    12.598
15.8106    12.6174    12.2429





















































































































































9.6639     15.0548    10.6393    RORBIT
9.5496     15.2257    10.6521
9.4424     15.3711    10.6501
9.3824     15.5482    10.6353
9.3587     15.7673    10.6534
9.3932     16.0287    10.7112
9.4389     16.1994    10.794
9.4769     16.4121    10.9063
9.5963     16.5727    11.068
9.6937     16.6626    11.1817
9.7929     16.7657    11.3411
9.8509     16.8598    11.4787
9.8848     16.8986    11.6279
9.8675     16.9099    11.7856
9.8493     16.9157    11.9652
9.8422     16.8976    12.1042
9.8686     16.7919    12.3042
9.8492     16.6479    12.4338
9.8854     16.5178    12.5297
9.9144     16.4072    12.5939
9.9565     16.3166    12.6351
10.051     16.1174    12.6919
10.0997    15.9322    12.7458
10.1368    15.7959    12.7568
10.218     15.6242    12.8056
10.2811    15.4103    12.8712
10.3878    15.2785    12.9251
10.5325    15.1357    13.068
10.6523    15.0419    13.0997
10.793     14.9384    13.1019
10.974     14.7397    13.0349
11.0661    14.6351    12.8825
11.0109    14.5246    12.5476
10.9643    14.363     12.3184
10.9606    14.352     12.08
10.9056    14.3016    11.9353
10.8346    14.1717    11.7382
