NME       spec2     Eth2stv
























9999      9999      9999      SUPORB







































































































































































































9999      9999      9999      RORBIT







































































































































































































9999      9999      9999      LORBIT







































































































































































































9999      9999      9999      RTEMFOS







































































































































































































8.3982    12.5531   -14.1472  LTEMFOS
8.3291    12.5182   -13.9864
8.2702    12.4542   -13.8421
8.2558    12.3756   -13.6341
8.2269    12.2953   -13.4517
8.199     12.2703   -13.2892
8.1611    12.2156   -13.1301
8.1447    12.1834   -12.8649
8.128     12.043    -12.7008
8.058     12.0195   -12.465
7.9485    11.9318   -12.2995
7.8675    11.9243   -12.0878
7.8204    11.8733   -11.9073
7.7763    11.8787   -11.6829
7.71      11.9224   -11.4957
7.4911    12.0103   -11.1828
7.3206    12.1842   -11.0184
7.2274    12.4041   -10.9343
7.2313    12.6456   -10.893
7.2109    12.9662   -10.9503
7.2908    13.2062   -10.9659
7.3321    13.4499   -11.0295
7.3924    13.6154   -11.0716
7.3676    13.7526   -11.1081
















































































































































































10.5539   7.5051    -13.8809  OP
11.7853   9.4854    -13.7459  BA
14.2433   13.5441   -13.0145  ST
17.4563   18.8362   -13.1384  IV
15.3452   7.1871    -13.6454  R_PG
9999      9999      9999      R_ZTI
16.6986   13.3364   -14.2833  R_M3D
