NMNH       477327     Prv5stv

























































































-0.1516    3.6827     5.4678     OP
-0.1269    5.1271     5.549      BA
-0.1038    8.1311     4.7891     ST
-0.0947    10.0466    4.6159     IV
-2.4955    5.6451     5.4288     R_PG
-3.2196    7.2871     4.8176     R_ZTI
-1.1824    7.9015     5.3161     R_M3D
-1.5831    9.0724     5.3134     R_M12
-1.3203    10.2769    5.0279     R_MP3
-0.8524    10.7464    4.7849     R_PMI
2.3902     5.7592     5.3804     L_PG
3.0812     7.2707     4.8316     L_ZTI
0.9991     7.9182     5.2989     L_M3D
1.3608     9.0987     5.2437     L_M12
1.1328     10.3234    4.9118     L_MP3
0.7523     10.7018    4.6943     L_PMI
0.3878     10.7691    4.173      O1
1.8596     7.8387     1.9527     O2
-3.3786    6.4429     4.5913     O3
-0.849     2.2724     4.1104     O4




















































































































































































-2.2417    9.1828     4.2659     RZYGINF
-2.4806    9.1185     4.2475
-2.6838    9.0332     4.2749
-2.8467    8.7809     4.4101
-2.9299    8.5879     4.5325
-3.0196    8.3082     4.6229
-3.0763    8.0918     4.7064
-3.1181    7.9224     4.7329
-3.1597    7.7764     4.7558
-3.2008    7.626      4.7685
-3.2094    7.5151     4.7903
-3.2317    7.4481     4.8069
-3.2761    7.2812     4.8206



























































































































































































1.9887     9.0708     4.4088     LZYGINF
2.1526     8.9766     4.3496
2.3346     8.8953     4.3377
2.45       8.8159     4.3728
2.6138     8.7329     4.4197
2.7914     8.5246     4.5355
2.8381     8.3235     4.6583
2.8809     8.0439     4.724
2.9772     7.7555     4.7619
3.0213     7.5823     4.7788
3.0344     7.4086     4.8154
3.0455     7.2419     4.8419




























































































































































































-1.2142    7.946      5.3232     R-ALV
-1.383     8.2629     5.4004
-1.4274    8.42       5.3927
-1.4908    8.582      5.4001
-1.5229    8.7655     5.3733
-1.5713    8.9396     5.3905
-1.5808    9.1309     5.3544
-1.5732    9.287      5.342
-1.5619    9.4768     5.3357
