NME        HAR-VP 1   Tol8sf
16.808     7.9151     -16.5353
16.6941    7.9729     -16.6914
16.5858    8.0011     -16.8727
16.4443    8.1327     -16.9515
16.2345    8.2156     -17.0021
16.0713    8.2458     -17.0461
15.8483    8.3199     -17.1501
15.6316    8.3709     -17.2608
15.4161    8.4314     -17.3562
15.265     8.504      -17.4235
15.1335    8.5587     -17.4766
15.0414    8.6303     -17.5495
14.8932    8.6693     -17.5964
14.7711    8.6896     -17.6351
14.6128    8.7479     -17.6772
14.4631    8.7679     -17.7446
14.2438    8.8164     -17.7844
14.0737    8.9224     -17.8265
13.856     9.0335     -17.8603
13.7114    9.0872     -17.8939
13.5683    9.1282     -17.8871
13.477     9.2312     -17.8908
13.3321    9.3022     -17.9023
13.1533    9.5068     -17.9026
12.9957    9.6138     -17.9159
12.8919    9.7157     -17.9123
12.7332    9.8281     -17.9088
12.6274    9.9132     -17.8982
12.4974    10.0572    -17.9036
12.3808    10.1121    -17.8665
12.2037    10.296     -17.8413
12.0741    10.3826    -17.8075
11.9664    10.4859    -17.768
11.838     10.5833    -17.7393
11.7376    10.6404    -17.7209
11.6643    10.7582    -17.7282
11.5462    10.9208    -17.7037
11.4441    11.0599    -17.7233
11.3417    11.094     -17.6636
11.1797    11.2994    -17.6719
11.1847    11.4539    -17.7276
11.0588    11.594     -17.7682
10.9776    11.7565    -17.8057
10.8892    11.8815    -17.8269
11.0672    11.9112    -17.9121
10.9682    12.1014    -17.9233
10.8601    12.2201    -17.9344
10.7508    12.3591    -17.9522
10.6218    12.4917    -17.9372
10.5376    12.6652    -17.9885
10.4562    12.7398    -17.96
10.3714    12.9003    -17.9686
10.2449    12.984     -17.9619
10.1438    13.1407    -17.9707
10.0313    13.2963    -17.9756
9.9224     13.4547    -17.9773
9.813      13.5377    -17.9861
9.7668     13.5874    -17.9676
9.6414     13.7529    -17.9819
9.6057     13.8753    -17.902
9.5605     13.9913    -17.8915
9.4696     14.1593    -17.8223
9.4149     14.2661    -17.7741
9.3622     14.431     -17.7228
9.2757     14.6284    -17.6431
9.2339     14.8286    -17.5519
9.2422     15.0524    -17.5115
9.26       15.2308    -17.4489
9.3061     15.4178    -17.4106
9.273      15.5285    -17.3372
9.2302     15.6662    -17.2569
9.2815     15.9144    -17.0989
9.2458     16.1425    -16.9368
9.2276     16.284     -16.8134
9.2194     16.4663    -16.6767
9.2147     16.6234    -16.5283
9.2248     16.7721    -16.3698
9.2346     16.9749    -16.2429
9.1648     17.0656    -16.075





















































































































9999       9999       9999       RORBIT







































































































































































































9.9988     12.5362    -13.4948   LORBIT
9.8569     12.642     -13.4934
9.8851     12.7986    -13.4265
9.77       13.0312    -13.3254
9.6625     13.1299    -13.4266
9.5841     13.25      -13.4014
9.6387     13.4864    -13.4488
9.5522     13.624     -13.5324
9.5758     13.8902    -13.5961
9.5059     14.0268    -13.6317
9.4411     14.2046    -13.7536
9.4311     14.342     -13.9148
9.4071     14.4189    -14.0625
9.4302     14.5471    -14.2002
9.357      14.7363    -14.3457
9.4122     14.899     -14.53
9.3621     14.9154    -14.7787
9.3984     14.9268    -14.8933
9.4128     14.9349    -15.0825
9.3477     14.9766    -15.248
9.3158     14.9567    -15.4449
9.3186     14.9873    -15.5295
9.2939     14.9025    -15.706
9.2615     14.8022    -15.8712
9.359      14.6232    -15.9657
9.3908     14.3841    -16.1048
9.4284     14.2223    -16.1745
9.4893     14.0435    -16.2605
9.5224     13.9288    -16.3095
9.5579     13.7651    -16.373
9.5398     13.6394    -16.413
9.6506     13.5289    -16.4272
9.6951     13.4257    -16.4342
9.7136     13.3341    -16.4641
