AMNH       169432     Pha1Tosi2
12.4086    5.7185     10.9354
12.5       5.8631     10.742
12.6261    5.9721     10.4739
12.8055    6.0367     10.2735
13.0644    5.9742     10.0524
13.274     6.027      9.8045
13.4508    6.028      9.6015
13.5526    6.1121     9.3732
13.6563    6.295      9.0149
13.6207    6.4774     8.8797





















































































































































9.0621     12.4818    18.3329    SUPORB
9.0337     12.2231    18.716
9.0622     12.0276    19.0924
9.109      11.7523    19.5128
9.3131     11.4374    19.8613
9.5139     11.1644    20.0801
9.6682     10.897     20.211
9.8865     10.6912    20.3267
10.1822    10.4851    20.4054
10.3467    10.2076    20.4625
10.6236    9.9358     20.573
10.8663    9.5779     20.5786
11.096     9.2133     20.5424
11.2666    8.9583     20.4969
11.466     8.6609     20.3986
11.7384    8.3573     20.2747
11.8463    8.1806     20.2189
12.1858    7.9829     20.2814
12.5026    7.8665     20.3822
12.8231    7.7171     20.4249
13.175     7.5424     20.4411
13.4689    7.3894     20.4571
13.791     7.2049     20.3746
14.1394    7.0648     20.294
14.525     6.8376     20.131
14.8981    6.6524     19.9798
15.2482    6.44       19.7466
15.6348    6.3775     19.4529
15.9984    6.3589     18.9786
16.1218    6.4056     18.7654
16.2159    6.4489     18.5507
16.399     6.4848     18.297








































































































































































10.1977    9.843      16.7788    RORBIT
9.987      10.0883    16.8635
9.8551     10.326     16.976
9.6687     10.6113    17.1303
9.5949     10.8317    17.2808
9.4949     11.0191    17.5366
9.5101     11.1199    17.725
9.4703     11.2166    17.9126
9.3993     11.282     18.3219
9.3832     11.248     18.4254
9.3283     11.1074    18.6435
9.2933     10.9214    18.8499
9.3109     10.6248    19.0421
9.4012     10.3453    19.1599
9.5886     9.9363     19.2133
9.8936     9.5765     19.2478
10.1284    9.364      19.1906
10.3865    9.1451     19.161
10.9184    8.7588     19.1207
11.2507    8.5533     18.8851
11.3497    8.5574     18.4922
11.4091    8.5763     18.0843
11.3772    8.5157     17.9699

















































































































































































13.5708    6.9355     16.6433    LORBIT
13.8301    6.8328     16.7659
13.9791    6.7363     16.7808
14.2306    6.6733     16.8659
14.4049    6.5912     16.9559
14.6125    6.542      17.0987
14.8883    6.4996     17.2987
15.0474    6.4967     17.4879
15.1609    6.5284     17.7272
15.2598    6.506      17.9648
15.2757    6.5046     18.2247
15.0896    6.3699     18.5682
14.7435    6.3416     18.8616
14.3428    6.3675     19.0372
14.0124    6.4197     19.0901
13.6985    6.5315     19.1076
13.3674    6.6704     19.0927
13.2144    6.8533     19.0601
13.0565    7.008      19.0784
12.6768    7.4791     19.0054
12.2798    7.8422     18.7872
12.2503    7.8976     18.557
12.2279    7.9285     18.345
12.1395    7.9184     18.129
12.2312    7.9408     17.8861















































































































































































9.0548     12.4956    18.1744    RTEMFOS
8.9084     12.3768    17.8522
8.8674     12.3467    17.5329
8.7975     12.2767    17.2975
8.8187     12.2712    17.069
8.7546     12.2365    16.8509
8.7267     12.2019    16.6165
8.6492     12.156     16.3762
8.6158     12.1667    16.086
8.6049     12.1762    15.8789
8.5832     12.1788    15.6899
8.5537     12.217     15.5029
8.45       12.2149    15.2673
8.4857     12.3153    15.1063
8.4629     12.3693    14.8969
8.4424     12.4774    14.7559
8.4366     12.5739    14.6765
8.4541     12.7602    14.5519
8.544      13.0422    14.5204
8.6309     13.2041    14.544
8.7009     13.4027    14.5519
8.8567     13.6007    14.6655
8.9971     13.8178    14.7724
9.0967     13.9623    14.8612
















































































































































































16.4951    6.5818     18.1501    LTEMFOS
16.4657    6.5342     17.7644
16.4081    6.476      17.4256
16.4111    6.3915     17.2176
16.3889    6.3328     17.0448
16.353     6.3351     16.8031
16.3242    6.2618     16.6408
16.3297    6.2368     16.4874
16.2764    6.2116     16.3051
