UWMA       ZA 1439    Phu106sf
27.6478    8.8808     14.5137
27.6862    9.0662     14.6393
27.5968    9.2263     14.781
27.4933    9.4307     14.9363
27.4298    9.5596     15.0389
27.3034    9.7841     15.1666
27.2667    10.0093    15.2773
27.336     10.2262    15.2993
27.4459    10.4648    15.327
27.5695    10.7675    15.3176
27.6027    10.8729    15.3391
27.6913    11.0489    15.3009
27.8427    11.1644    15.2381
27.967     11.4273    15.1686
28.0028    11.623     15.092
28.0028    11.782     15.0936
27.8284    11.961     15.1661
27.6657    12.116     15.2388
27.5709    12.173     15.2559
27.4092    12.2212    15.3087
27.2191    12.2976    15.3589
27.0926    12.4082    15.3761
26.9482    12.5338    15.3771
26.844     12.7255    15.3544
26.7524    12.8443    15.3332
26.6977    13.0589    15.2819
26.6949    13.2612    15.2163
26.713     13.5058    15.0918
26.6373    13.7246    14.9166
26.5807    13.9548    14.7738
26.4854    14.174     14.6265
26.381     14.1925    14.5795
26.2793    14.3376    14.4486
26.1845    14.4963    14.2643
26.0959    14.5868    14.1286
26.0622    14.653     13.9767
25.9919    14.7115    13.852
25.946     14.7813    13.7002
25.9497    14.8233    13.5687
25.9558    14.8636    13.432
25.8872    14.8932    13.3184
25.9229    14.9454    13.0646
25.9484    15.0106    12.7953






















































































































































28.5505    10.0641    11.8834    RORBIT
28.6044    9.7873     11.8917
28.6136    9.5364     11.9518
28.6187    9.3465     12.0255
28.5875    9.1476     12.1235
28.5298    8.9379     12.221
28.4089    8.8032     12.348
28.2299    8.6293     12.5606
28.1169    8.5182     12.7788
28.0538    8.461      13.0502
28.0597    8.4658     13.2082
28.0583    8.4582     13.2885
28.0584    8.4763     13.4554
28.1403    8.69       13.742
28.1694    8.8669     13.8692
28.2909    9.0035     14.0545
28.3751    9.315      14.1697
28.4142    9.5801     14.2316
28.4579    9.9135     14.3098
28.4234    10.0292    14.249
28.3752    10.2949    14.2543
28.3297    10.4288    14.2147
28.2206    10.6058    14.1938
28.1731    10.857     14.258
28.0822    11.0184    14.2698
28.1051    11.252     14.1745
28.148     11.3469    14.0072
