TMP        STS 565    Ppj4stv
19.8181    10.1248    8.1162     R_M3D
20.2593    8.3073     7.9313     R_M12
19.6311    6.4488     7.8457     R_MP3
19.3354    5.8047     7.6372     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
16.3132    9.7316     10.0783    L_M3D
15.9684    7.8588     9.858      L_M12
16.5672    6.0171     9.1614     L_MP3
16.8577    5.5016     8.9332     L_PMI
16.6567    5.7227     8.0376     O1
13.3117    10.5834    6.003      O2
21.1115    12.0847    5.8797     O3
15.4104    17.3325    7.9627     O4




















































































































































































20.3556    9.6191     7.0302     RZYGINF
20.3784    9.7599     6.9393
20.5       9.9215     6.8781
20.6397    10.0463    6.8529
20.8599    10.1733    6.7917
20.9221    10.3182    6.823
21.0184    10.4702    6.749
21.0256    10.6417    6.7169
21.0346    10.8006    6.7214
21.0602    11.0447    6.7068
21.0373    11.2653    6.709
21.0482    11.4261    6.7113
21.0829    11.5632    6.7106
21.1364    11.7818    6.631
21.1675    11.9086    6.5622
21.2189    12.0547    6.5094
21.2628    12.2052    6.4784
21.2983    12.2912    6.4523
21.2767    12.4013    6.3949





















































































































































































9999       9999       9999       LZYGINF







































































































































































































19.8248    10.1143    8.0558     R-ALV
19.9494    9.9107     7.8917
20.0639    9.7319     7.809
20.1449    9.445      7.7688
20.1527    9.2751     7.7467
20.2666    8.6807     7.7873
20.2005    8.3942     7.7768
20.1164    8.0513     7.7443
20.1115    7.8421     7.7744
20.0237    7.5402     7.7449
19.9546    7.3323     7.8079
19.9072    7.15       7.7459
19.821     6.9302     7.7637
19.8006    6.7276     7.8248
19.7236    6.5071     7.8446
19.6411    6.442      7.8663
























































































































































































16.1771    9.6628     10.0745    L-ALV
16.0021    9.2804     10.1291
