BPI        M3147      Phr1stv
9.4476     25.0251    8.765
9.3359     24.7063    8.7581
9.2926     24.3196    8.7978
9.0488     23.9458    8.8279
8.9169     23.666     8.8439
8.8009     23.4508    8.8434
8.6987     23.168     8.8084
8.5135     22.9155    8.7345
8.4044     22.4056    8.7217
8.3546     22.2235    8.7615
8.2943     22.0605    8.7181
8.2053     21.9509    8.6822
8.0929     21.7908    8.5781























































































































































































9999       9999       9999       L-ALV
