NME        L345-287   Tb2sf



























































































7.7358     13.8187    -13.4023   LTEMFOS
7.7086     13.8405    -13.1059
7.6893     13.8085    -12.7782
7.564      13.863     -12.6275
7.4996     13.8772    -12.5069
7.4458     13.8815    -12.3694
7.3982     13.8739    -12.2563
7.3332     13.8148    -12.118
7.3427     13.8492    -11.9227
7.2427     13.8645    -11.8135
7.2625     13.8696    -11.6851
7.1559     13.8065    -11.574
7.0856     13.7368    -11.431
6.9518     13.6171    -11.3118
6.8762     13.5739    -11.246
6.7271     13.4969    -11.0785
6.5933     13.4398    -10.9759
6.4988     13.4421    -10.8374
6.3977     13.4181    -10.7732
6.325      13.4589    -10.602
6.2317     13.4797    -10.4865
6.1352     13.5386    -10.3762
5.9775     13.5465    -10.329
5.9014     13.6012    -10.2435
5.9733     13.8098    -10.1013
6.0703     13.9634    -10.1051
6.15       14.0901    -10.1279
6.1829     14.2064    -10.1431
6.253      14.3705    -10.1216











































































































































































5.9595     5.2909     -10.0369   OP
7.1387     6.6691     -10.1541   BA
11.3592    11.3817    -11.0586   ST
16.0594    16.4471    -13.3365   IV
11.0802    4.0889     -10.085    R_PG
14.6891    4.9533     -9.4876    R_ZTI
14.2394    10.366     -13.0722   R_M3D
16.8657    12.7409    -13.6525   R_M12
18.4125    15.2175    -14.459    R_MP3
19.519     16.8683    -14.2948   R_PMI
4.2161     10.3802    -10.4716   L_PG
4.7198     14.0715    -9.6834    L_ZTI
10.1993    14.0158    -13.2221   L_M3D
12.3077    16.768     -13.6557   L_M12
14.6011    18.6952    -14.5259   L_MP3
16.1351    19.7429    -14.3672   L_PMI
19.053     18.4034    -14.1289   O1
7.0361     18.2256    -10.3671   O2
12.2016    8.3579     -4.2097    O3
2.9194     4.7027     -7.0523    O4




















































































































































































16.6113    10.0728    -9.917     RZYGINF
16.6184    9.8953     -9.9108
16.497     9.5848     -10.0233
16.5502    9.4378     -9.9216
16.6151    9.2764     -9.8473
16.7276    9.1319     -9.7501
16.8404    8.9161     -9.7344
17.0709    8.753      -9.6651
17.2593    8.6645     -9.6546
17.4082    8.5157     -9.6238
17.5478    8.3837     -9.7153
17.8027    8.2464     -9.9141
17.9504    8.1835     -9.955
18.1533    8.0389     -10.1395
18.3518    8.0249     -10.4203
18.4469    8.1705     -10.6915
18.5679    8.3208     -10.9789
