UCMVZ      154147     Phh1stv
9.0295     6.5663     9.0738
9.1335     6.681      9.168
9.1258     6.88       9.1813
9.1278     7.1237     9.221
9.116      7.2002     9.3733
9.1272     7.3192     9.4452
9.0882     7.4644     9.4467
8.9723     7.5706     9.513
8.843      7.659      9.5679
8.7431     7.7576     9.5585




















































































































































6.8676     6.2816     7.2503     NASP-PR
6.6815     6.1385     7.0817
6.5872     6.0622     6.9417
6.501      5.9722     6.7591
6.4106     5.8551     6.5444
6.3782     5.8686     6.4164
6.3342     5.8454     6.3
6.3973     5.8432     6.1604
6.3954     5.9013     6.036































































































































































































10.0845    9.2027     10.4714    R-PM/MAX
9.9034     9.1442     10.3164
9.7568     9.0567     10.217
9.6042     9.0187     10.1241
9.4593     8.966      10.0475
9.235      8.893      9.9613
9.0841     8.8384     9.8871
8.9082     8.8401     9.7496
8.7229     8.8376     9.6429
8.5257     8.8033     9.5732
8.3077     8.7861     9.5148
8.173      8.6793     9.4944
7.9965     8.6341     9.4341
7.8082     8.5991     9.3362
7.7012     8.5668     9.2635
7.5552     8.5333     9.1745
7.3591     8.4848     9.0154
7.2459     8.4736     8.883
7.1015     8.4119     8.6847
7.0302     8.3672     8.4447
6.981      8.3035     8.22
6.8624     8.2106     8.017
6.7383     8.1284     7.871
6.5566     8.0749     7.5888
6.4511     8.0268     7.4506
6.2909     7.9427     7.3055
6.1399     7.8953     7.1248
5.9985     7.8073     6.9096
5.9838     7.7739     6.7423
5.9228     7.658      6.5771
6.0466     7.7152     6.3858









































































































































































10.577     8.7038     10.2698    L-PM/MAX
10.4456    8.5605     10.1972
10.3376    8.4418     10.1304
10.2507    8.2821     10.0053
10.202     8.0829     9.8572
10.0696    7.8687     9.7823
9.9707     7.6417     9.6583
9.9455     7.5235     9.5965
9.868      7.3854     9.5265
9.7912     7.2956     9.4902
9.7071     7.162      9.4105
9.6281     6.983      9.3711
9.5546     6.8408     9.2965
9.4905     6.6864     9.1842
9.3792     6.4924     9.0774
9.3466     6.3988     8.9671
9.3302     6.3089     8.8413
9.2556     6.2306     8.7719
9.2105     6.1365     8.6194
9.1393     6.0371     8.4189
9.0207     5.9517     8.2403
9.0712     6.0288     8.1163
8.919      5.908      7.8756
8.8528     5.8196     7.706
8.7981     5.7397     7.5213
8.712      5.5917     7.3315
8.6343     5.4797     7.2028
8.6469     5.3626     7.0546
8.547      5.272      6.8554
8.3881     5.2617     6.654
8.3773     5.3075     6.509
8.3131     5.3921     6.2605
8.334      5.5545     6.0379







































































































































































8.2456     10.8552    6.3793     ROSTRUM
8.2032     10.7852    6.5636
8.1719     10.7813    6.8394
8.1469     10.6714    7.0299
8.2171     10.5594    7.1925
8.289      10.4286    7.266
8.3966     10.3088    7.3864
8.4217     10.1478    7.527
8.4607     10.0581    7.7501
8.3726     9.9383     8.169
8.2901     9.7158     8.6523
8.2755     9.7062     8.8687
8.2252     9.6911     9.0929
8.2046     9.6706     9.2279
8.1658     9.5869     9.4158
8.2268     9.5304     9.5248
8.3227     9.4321     9.6266
8.4247     9.2755     9.6619
8.5956     9.1505     9.6563
8.7339     9.0544     9.6176
8.8537     8.9161     9.6898
8.9161     8.8301     9.7905
8.9584     8.7057     9.8737
9.0586     8.654      9.9302
9.2084     8.4752     9.9659
9.3181     8.3401     9.9809
9.4165     8.2748     9.9737
9.4918     8.1271     9.9364
9.6049     8.0325     9.9222
9.6778     7.9821     9.9109
9.795      7.8491     9.8108
9.8954     7.746      9.771
10.0187    7.6649     9.6612
10.1398    7.4892     9.6759
10.2327    7.3613     9.6713
10.3642    7.1144     9.584
10.4537    7.0298     9.4508
10.543     7.1049     9.2271
10.539     7.2046     8.9707
10.5895    7.3446     8.7641
10.6095    7.3809     8.5573
10.5871    7.3641     8.3394
10.6816    7.3477     8.0511
10.7464    7.3622     7.7929
10.8467    7.4017     7.5867
10.8988    7.4423     7.424
10.9717    7.4425     7.2592
11.107     7.3491     7.1107
11.248     7.189      6.958
11.3865    7.0508     6.7637
11.4678    7.0561     6.5728
11.5292    7.1167     6.3671
11.5925    7.1524     6.2128



















































































































































9.1023     13.0227    13.1666    SUPORB
9.2187     12.857     13.3701
9.3439     12.7076    13.5869
9.5001     12.4536    13.8268
9.6147     12.2739    13.966
9.7579     12.1332    14.0418
9.8828     11.9946    14.0811
9.9411     11.829     14.1082
10.0772    11.6924    14.1398
10.1523    11.4995    14.1761
10.2502    11.3842    14.185
10.3727    11.2006    14.208
10.4235    11.0309    14.1973
10.5172    10.9419    14.2
10.5872    10.7708    14.1807
10.7259    10.6505    14.1689
10.9528    10.5319    14.124
11.0753    10.4214    14.0851
11.161     10.3352    14.0504
11.2525    10.1931    14.0229
11.311     10.0547    13.9812
11.3567    9.8899     13.9327
11.3447    9.7213     13.9
11.2816    9.5707     13.8225
11.4018    9.4099     13.8553
11.5373    9.4516     13.9
11.7491    9.3115     13.9509
11.8546    9.2891     13.9793
11.9849    9.2437     14.0226
12.1154    9.1755     14.031
12.2554    9.0838     14.063
12.3939    9.007      14.0635
12.5329    8.9231     14.0633
12.6609    8.7997     14.044
12.8116    8.6853     14.0364
12.9561    8.5563     13.9903
13.0548    8.4334     13.9391
13.1542    8.3237     13.9198
13.239     8.1975     13.8542
13.3319    8.1981     13.8012
13.588     8.0743     13.7191
13.7474    7.9885     13.6741
13.8733    7.8756     13.5862
14.099     7.6831     13.399
14.2048    7.631      13.2692
14.335     7.5583     13.1131
14.4011    7.5808     12.9993
14.5273    7.5142     12.8106
14.6254    7.4347     12.6122























































































































































10.2956    10.863     11.2359    RORBIT
10.0942    11.0739    11.2361
9.9169     11.2376    11.2585
9.768      11.3979    11.3151
9.6187     11.5891    11.3966
9.522      11.7314    11.4871
9.4661     11.8406    11.5856
9.3796     11.9837    11.7434
9.3387     12.0655    11.8762
9.2881     12.1755    12.1287
9.2817     12.2533    12.4006
9.2367     12.2824    12.6881
9.2836     12.1973    12.9488
9.4247     11.99      13.1492
9.4247     11.8297    13.3267
9.4731     11.6691    13.4195
9.5994     11.4427    13.4848
9.6726     11.1003    13.5034
9.741      10.8204    13.5371
9.8527     10.7217    13.4783
9.936      10.6726    13.4205
10.0998    10.5825    13.3285
10.253     10.4528    13.2405
10.5185    10.2576    13.4091
10.7846    10.1302    13.3547
10.8776    9.9019     13.2502
10.8852    9.9732     13.201
10.9863    10.0539    13.0237
11.0746    10.0335    12.818
11.1567    10.0571    12.6352
11.2312    10.1036    12.4546









































































































































































12.2492    8.7725     11.1224    LORBIT
12.4294    8.5862     11.0956
12.6087    8.4436     11.0892
12.7586    8.281      11.1269
12.9811    8.1535     11.1973
13.1416    8.0197     11.3059
13.3002    7.9011     11.4127
13.4811    7.8365     11.6042
13.6043    7.7972     11.7733
13.6681    7.7489     11.9102
13.7061    7.6465     12.0758
13.7632    7.6204     12.3766
13.7432    7.6499     12.4833
13.6991    7.5777     12.7267
13.5758    7.6105     12.8764
13.4395    7.7014     12.9933
13.2971    7.7231     13.1118
13.1179    7.8116     13.1767
12.9589    7.857      13.2357
12.7214    7.9657     13.2595
12.4711    8.1429     13.2506
12.2759    8.3063     13.2217
12.0652    8.479      13.2262
11.9157    8.6678     13.2423
11.7881    9.0108     13.3168
11.5966    9.2319     13.2156
11.5552    9.3477     13.0107
11.5868    9.437      12.8015
11.6251    9.5123     12.6843
11.6679    9.6293     12.4986
11.6669    9.6756     12.3516
11.7323    9.7171     12.256








































































































































































9.0994     13.0768    13.0714    RTEMFOS
8.9527     13.084     12.8639
8.8869     13.0857    12.6802
8.8376     13.0787    12.497
8.7898     13.0497    12.3289
8.7463     13.0374    12.1581
8.7315     13.0145    11.903
8.6722     13.007     11.6745
8.6444     12.9751    11.4357
8.5341     12.9848    11.2307
8.5172     12.9888    11.0274
8.4753     12.9902    10.839
8.4546     12.998     10.5582
8.4134     13.0306    10.3383
8.3322     13.0568    10.2128
8.3121     13.1579    9.9921
8.2731     13.4224    9.7659
8.2221     13.5673    9.6863
8.2446     13.7726    9.6648
8.3151     14.0134    9.7017
8.3857     14.2027    9.7313
8.5092     14.3826    9.817
8.5808     14.5774    9.8532
8.6965     14.6684    9.9178
















































































































































































14.6263    7.3661     12.6066    LTEMFOS
14.6402    7.2801     12.3484
14.6392    7.1952     12.1517
14.5226    7.1182     11.9585
14.4756    7.0769     11.6971
14.4518    7.0548     11.5207
14.3659    7.0105     11.3461
14.3296    6.9883     11.1384
14.2795    6.9762     10.9564
14.2662    6.9643     10.7511
14.2371    6.9432     10.6637
14.2462    6.9486     10.5113
14.1739    6.9236     10.2773
14.1998    6.8857     9.8955
14.297     6.86       9.6732
14.4095    6.8017     9.4906
14.5254    6.7597     9.3863
14.7107    6.7077     9.3149
14.8716    6.699      9.266
15.0608    6.6871     9.1626
15.2056    6.7594     9.232
15.364     6.8291     9.2374
15.5182    6.885      9.2817
15.657     6.97       9.3176
15.8659    7.0481     9.3797
16.0111    7.1692     9.462














































































































































































7.4676     7.0854     12.2922    OP
9.1353     8.269      12.5111    BA
13.1977    11.5057    11.7824    ST
16.9912    14.8399    11.2866    IV
6.9181     11.6257    11.7983    R_PG
8.0321     14.3655    11.1178    R_ZTI
12.3503    13.7157    13.0088    R_M3D
13.9331    15.4756    12.7357    R_M12
15.7454    16.6851    12.3835    R_MP3
17.1406    16.8868    11.6572    R_PMI
11.8242    5.5466     11.7061    L_PG
14.6363    5.9638     11.161     L_ZTI
15.2687    10.3629    13.0364    L_M3D
17.1958    11.7885    12.7592    L_M12
18.6577    13.3009    12.299     L_MP3
19.2215    14.6657    11.581     L_PMI
19.681     16.4421    11.4548    O1
10.8952    15.6781    10.4926    O2
14.0374    8.2631     6.3626     O3
6.7979     4.7572     9.5256     O4




















































































































































































11.5572    14.8493    11.0075    RZYGINF
11.362     14.9986    10.9594
11.1866    15.054     10.9281
10.9943    15.2242    10.9008
10.7248    15.2664    10.9433
10.5032    15.2905    11.0265
10.2722    15.2598    11.0638
10.0701    15.1874    11.0985
9.9222     15.1334    11.1408
9.7006     15.0756    11.1875
9.5392     14.9416    11.2201
9.2618     14.7996    11.2404
9.0767     14.7491    11.2565
8.9373     14.6565    11.2327
8.7596     14.5908    11.2239
8.6734     14.4622    11.2328
8.3846     14.4781    11.1897
8.254      14.4671    11.1398
8.0765     14.4538    11.0824





















































































































































































16.0983    9.3157     11.1114    LZYGINF
16.2343    9.1587     11.0612
16.3364    8.9367     11.0232
16.4442    8.7382     11.0062
16.4569    8.5551     11.0258
16.3469    8.3688     11.0891
16.2849    8.1842     11.1042
16.1516    7.9809     11.1351
16.0632    7.7991     11.1907
16.0171    7.6628     11.2301
15.9038    7.4096     11.2843
15.7319    7.2472     11.3157
15.631     7.1196     11.3244
15.5679    7.019      11.317
15.4896    6.8882     11.3038
15.3252    6.8458     11.3141
15.2252    6.6291     11.2827
15.1004    6.5471     11.2936
14.9891    6.4029     11.2651
14.8687    6.2423     11.2423
14.8196    6.1295     11.1999
14.7228    6.0054     11.1829
14.7286    5.9497     11.1415

















































































































































































12.2954    13.7497    12.9901    R-ALV
12.3817    14.0288    12.9892
12.4623    14.1791    12.9518
12.5501    14.2836    12.9461
12.6281    14.4009    12.934
12.7549    14.514     12.9327
12.8759    14.6175    12.888
12.992     14.7362    12.8683
13.0513    14.7983    12.8712
13.2061    15.0156    12.9266
13.4892    15.1912    12.6578
13.6185    15.3044    12.7668
13.7412    15.3898    12.7481
13.9059    15.433     12.7616
14.0711    15.5411    12.7394
14.177     15.6103    12.7149
14.2997    15.7061    12.692
14.4253    15.8158    12.6847
14.6009    15.9554    12.6359
14.7967    16.0156    12.575
14.9699    16.1006    12.5478
15.1347    16.2627    12.5413
15.3086    16.3975    12.5593
15.3855    16.4727    12.533
15.5346    16.5608    12.4925
15.7311    16.6752    12.3971














































































































































































15.3083    10.4371    13.0156    L-ALV
15.4984    10.4445    13.0001
15.7588    10.5467    12.9746
16.0493    10.68      12.9575
16.1557    10.751     12.9171
16.355     10.9573    12.8915
16.5403    11.0786    12.8526
16.718     11.2325    12.7967
16.8416    11.3208    12.7672
16.951     11.3859    12.7703
17.0464    11.4634    12.7619
17.1608    11.5701    12.6684
17.2863    11.7823    12.6137
17.3955    11.9307    12.5397
17.5509    12.0733    12.5622
17.6437    12.1844    12.6135
17.8133    12.3813    12.5014
17.9287    12.583     12.3827
17.9467    12.6473    12.4702
18.1269    12.8179    12.4556
18.2931    12.9643    12.4397
18.4597    13.1265    12.4255
18.5629    13.2355    12.3856
18.7288    13.3814    12.2554
