FSM        21349      Phu198sf
1.187      11.5361    13.7243
1.1988     11.3157    13.5847
1.2032     11.0397    13.419
1.1856     10.807     13.2864
1.2004     10.6025    13.1491
1.203      10.3327    12.9875
1.2141     10.0532    12.8019
1.237      9.7516     12.6139
1.2349     9.4829     12.4221
1.2403     9.1417     12.2564
1.2541     8.9589     12.1276
1.2273     8.7594     12.0071
1.2113     8.5696     11.8566
1.2286     8.3734     11.7338
1.2124     8.1955     11.5978
1.2614     8.0476     11.4615
1.2909     7.8579     11.2757
1.3147     7.7383     11.1595
1.3254     7.609      11.0356
1.3137     7.5125     10.9247
1.3539     7.4428     10.8136



































































































































































1.3636     7.4398     10.7931    NOSE
1.0336     7.4249     10.7871
0.717      7.3862     10.7707
0.6307     7.2376     10.496
0.5299     6.8973     10.228
0.4673     6.6543     10.0476
0.413      6.4113     9.8339
0.3228     6.1856     9.5914
0.1828     5.9388     9.3039
0.1472     5.7075     9.019
0.1771     5.4489     8.7435
0.1669     5.2561     8.5646
0.2719     4.9638     8.2373
0.4348     4.6975     8.0365
0.6415     4.4745     7.8811
0.8162     4.2952     7.7828
1.087      4.1259     7.6747
1.3855     4.0312     7.5954
1.5386     4.1674     7.5464
1.8297     4.1439     7.5361
2.05       4.044      7.628
2.2841     4.1056     7.7273
2.5487     4.3433     7.8616
2.6331     4.6085     8.058
2.6455     4.8318     8.1985
2.6793     5.0553     8.3327
2.7625     5.2844     8.5757
2.8525     5.4654     8.8194
2.8449     5.6738     9.0872
2.844      5.841      9.3271
2.6697     5.989      9.4776
2.5512     6.235      9.7543
2.407      6.3821     9.851
2.3733     6.4738     9.9497
2.3108     6.6099     10.0936
2.2527     6.7557     10.2165
2.1999     6.9021     10.2898
2.1475     6.9928     10.3279
2.1398     7.1475     10.569
2.0015     7.2549     10.528
1.8038     7.3006     10.8118
1.6574     7.4112     10.8605
1.3683     7.4502     10.792





























































































































































1.5841     4.0318     7.4684     NASP-PR
1.6042     3.7642     7.238
1.6243     3.5722     6.9831
1.5746     3.3722     6.6761
1.5902     3.2299     6.4432
1.6122     3.1555     6.2619
1.6059     3.1361     6.1298
1.603      3.0953     6.0387
1.6083     3.1175     5.7822































































































































































































0.4821     8.2879     11.2263    R-PM/MAX
0.4028     8.052      11.0198
0.328      7.7415     10.7929
0.261      7.4659     10.5721
0.2132     7.154      10.3031
0.1222     6.8926     10.0851
0.0509     6.63       9.8794
-0.0378    6.3734     9.7039
-0.1083    6.1368     9.5009
-0.1541    5.8873     9.2394
-0.2248    5.6811     8.858
-0.3237    5.5812     8.5673
-0.4216    5.441      8.3522
-0.6539    5.3203     7.7587
-0.8135    5.2753     7.4526
-0.9373    5.221      7.1323
-1.025     5.0339     6.856
-1.0094    4.8359     6.5632
-0.9154    4.6421     6.3929
-0.779     4.4854     6.2192
-0.6366    4.3843     5.9735
-0.3037    4.5596     5.7814


















































































































































































1.8946     8.7684     11.6775    L-PM/MAX
2.0329     8.4312     11.4287
2.1525     8.1507     11.2225
2.2528     7.9547     11.0731
2.3186     7.6987     10.8709
2.4073     7.492      10.7072
2.5114     7.1328     10.4004
2.6641     6.8099     10.1635
2.776      6.6226     10.0155
2.9272     6.3542     9.719
3.0536     6.0225     9.3726
3.18       5.767      9.1051
3.3066     5.5678     8.7257
3.4093     5.4309     8.4572
3.5381     5.3338     8.1121
3.607      5.171      7.8202
3.8222     4.9891     7.3716
3.8702     4.8382     7.0927
3.9071     4.7357     6.8215
3.9096     4.6703     6.5268
3.8968     4.6609     6.3155
3.9315     4.6296     6.038
3.8528     4.6547     5.8625
3.6632     4.69       5.6384
















































































































































































-1.4312    9.1488     6.4847     ROSTRUM
-1.4045    9.064      6.8681
-1.3263    9.0131     7.1141
-1.2515    8.9976     7.3902
-1.1263    9.0059     7.5786
-0.9749    8.9668     7.7321
-0.8931    8.9463     7.9259
-0.8065    8.883      8.1774
-0.772     8.7918     8.4516
-0.7862    8.7814     8.7788
-0.7576    8.7251     9.0108
-0.7527    8.6731     9.2515
-0.78      8.5904     9.5401
-0.9186    8.5633     9.847
-1.0703    8.5119     10.0885
-1.1669    8.4171     10.2857
-1.1858    8.3588     10.4812
-1.0927    8.3432     10.6583
-0.9295    8.371      10.9026
-0.718     8.3596     10.9496
-0.4065    8.3773     11.0204
-0.2981    8.3906     11.0307
-0.0258    8.3797     11.0739
0.1584     8.4181     11.1387
0.315      8.4421     11.2369
0.5335     8.3869     11.3491
0.7047     8.3543     11.5816
0.8978     8.3895     11.6638
1.2697     8.3988     11.747
1.4203     8.3904     11.7548
1.641      8.4017     11.7218
1.8984     8.5328     11.6246
2.1395     8.5632     11.4128
2.3615     8.6164     11.3136
2.5401     8.6424     11.2646
2.7828     8.6788     11.2457
3.0061     8.6944     11.1232
3.2407     8.6625     11.1535
3.4882     8.7144     11.0812
3.6492     8.783      10.9091
3.7023     8.7938     10.7454
3.6972     8.7364     10.2866
3.6073     8.7721     10.1344
3.3952     8.774      9.8917
3.25       8.7668     9.6163
3.2084     8.8085     9.2934
3.2        8.8358     9.0077
3.2127     8.866      8.6028
3.2681     8.887      8.1943
3.3296     8.9677     8.0145
3.4494     9.0409     7.7984
3.5951     9.0862     7.5832
3.7475     9.1714     7.3383
3.8483     9.1872     7.1308
3.9084     9.2269     6.8211
3.9413     9.2971     6.574
3.9394     9.3425     6.4285















































































































































-3.5739    15.1974    15.2954    SUPORB
-3.4966    15.2762    15.5795
-3.4232    15.3285    15.8278
-3.275     15.4113    16.0862
-3.0789    15.414     16.3961
-2.8635    15.3296    16.6461
-2.6663    15.2472    16.8236
-2.4503    15.1273    16.9997
-2.1733    15.0475    17.1492
-1.9615    15.1578    17.2196
-1.715     15.2144    17.3352
-1.5325    15.3739    17.4266
-1.2753    15.5009    17.524
-1.0752    15.583     17.5743
-0.7813    15.6319    17.6536
-0.4288    15.5268    17.7098
-0.0839    15.4389    17.6994
0.1796     15.1747    17.6628
0.3829     15.072     17.6226
0.7127     14.8953    17.5102
0.8126     14.7753    17.436
0.9955     14.6922    17.3525
1.1818     14.6485    17.3167
1.3694     14.7352    17.3935
1.6115     14.8484    17.4773
1.7537     15.0923    17.5501
1.9253     15.291     17.6069
2.1356     15.469     17.6287
2.3561     15.6141    17.6307
2.6763     15.7143    17.6414
3.0482     15.6993    17.5994
3.3727     15.5818    17.5115
3.6441     15.5973    17.4034
3.8419     15.6375    17.2487
4.1016     15.5905    17.1281
4.3204     15.6712    16.9915
4.4866     15.7306    16.8716
4.7294     15.8588    16.6695
4.8949     15.971     16.4869
5.043      16.0338    16.337
5.2        15.9282    16.1261
5.3194     15.9828    15.8164
5.4532     15.9104    15.5324
5.5085     15.8379    15.3732
5.5429     15.7674    15.2134
5.5805     15.619     14.9515


























































































































































-0.8705    13.133     13.9362    RORBIT
-1.0599    13.2319    14.0696
-1.3331    13.3287    14.1874
-1.6507    13.446     14.3118
-2.0274    13.6502    14.47
-2.2696    13.933     14.6467
-2.4578    14.1612    14.8472
-2.5245    14.2694    14.9521
-2.558     14.4205    15.192
-2.5677    14.4946    15.5632
-2.4142    14.4737    15.8787
-2.0121    14.2436    16.3455
-1.6735    14.137     16.52
-1.3267    14.1222    16.5221
-0.8545    14.0635    16.6381
-0.6072    14.1686    16.6193
-0.136     14.2658    16.5391
0.1087     14.2701    16.5158
0.2723     14.2259    16.313
0.3355     14.1137    16.0802
0.4151     13.9997    15.8063
0.4829     13.9211    15.5189
0.5062     13.9187    15.2736
0.5742     13.7467    15.1125
0.6056     13.6468    15.0016
0.5819     13.581     14.8786














































































































































































3.043      13.3881    13.8459    LORBIT
3.2232     13.4419    13.9865
3.4311     13.4669    14.0515
3.6322     13.6015    14.1246
3.883      13.7799    14.2364
4.1315     13.9606    14.3478
4.3271     14.1207    14.4422
4.4367     14.3699    14.5636
4.5793     14.5257    14.7037
4.6995     14.6871    14.8876
4.8177     14.773     15.0604
4.6975     14.8859    15.2621
4.6393     14.7821    15.745
4.3152     14.5888    16.0622
4.091      14.395     16.3965
3.7408     14.3329    16.3976
3.3494     14.2943    16.3665
2.8336     14.293     16.5032
2.2553     14.4613    16.4533
2.0658     14.4106    16.3292
1.9564     14.312     15.9593
1.8344     14.1604    15.6196
1.759      14.062     15.4245
1.7094     13.9268    15.1836
1.6904     13.8211    15.0344
1.6969     13.7705    14.9564














































































































































































-3.5863    15.1559    15.2441    RTEMFOS
-3.6397    15.0414    14.9339
-3.6716    14.8829    14.6681
-3.7452    14.6482    14.4541
-3.7639    14.5277    14.2428
-3.7995    14.3398    13.9997
-3.8318    14.1583    13.7206
-3.8621    14.0057    13.5361
-3.8477    13.7765    13.2194
-3.8637    13.5998    13.0616
-3.8521    13.4387    12.8889
-3.8743    13.2783    12.71
-3.8821    13.0812    12.5478
-3.9307    12.9424    12.1935
-4.049     12.8297    11.9905
-4.2311    12.9836    11.7027
-4.5273    13.1639    11.5324
-4.6743    13.4525    11.4892
-4.7266    13.8237    11.4891
-4.789     13.9873    11.4923
-4.8279    14.1568    11.5168



















































































































































































9999       9999       9999       LTEMFOS







































































































































































































1.6418     5.8203     13.8233    OP
1.399      7.884      13.5299    BA
0.7452     13.9615    12.4671    ST
0.1136     21.4597    12.5902    IV
-3.08      8.0061     13.4189    R_PG
-5.0294    10.2154    11.5327    R_ZTI
-2.0019    15.3959    13.9899    R_M3D
-2.2628    18.3786    13.8905    R_M12
-2.2995    21.2129    13.9008    R_MP3
-1.958     23.0278    13.4208    R_PMI
5.8446     9.0421     13.1536    L_PG
7.1421     11.4217    11.5583    L_ZTI
3.1687     15.9718    13.8638    L_M3D
2.9295     19.1674    13.8354    L_M12
2.6407     21.8697    13.6361    L_MP3
1.9127     23.6297    13.316     L_PMI
0.3683     25.1922    12.8132    O1
-2.3773    9.367      5.582      O2
7.2686     11.7997    10.7847    O3
1.0799     2.2363     11.6508    O4




















































































































































































-3.5546    14.1063    10.8611    RZYGINF
-3.6521    13.8651    10.8298
-3.7475    13.643     10.8337
-3.9025    13.3892    10.833
-4.01      13.2008    10.8877
-4.1192    13.0127    10.9678
-4.2299    12.8154    11.0488
-4.2421    12.65      11.1552
-4.3264    12.4077    11.254
-4.3948    12.097     11.3874
-4.4084    11.774     11.5628
-4.4355    11.5499    11.65
-4.4684    11.3637    11.6946
-4.498     11.1761    11.7276
-4.585     10.9233    11.7129
-4.6719    10.766     11.6997
-4.769     10.5625    11.7027
-4.8777    10.3826    11.727
-4.9581    10.1438    11.6581





















































































































































































4.8808     15.2013    10.8766    LZYGINF
4.9885     14.8077    10.8504
5.1511     14.6493    10.7659
5.4024     14.4858    10.7249
5.5956     14.2322    10.7878
5.735      14.0255    10.8816
5.8485     13.8477    10.9924
5.9157     13.618     11.1236
6.0394     13.3168    11.2722
6.081      13.1512    11.3281
6.087      12.9306    11.3613
6.1585     12.6609    11.4852
6.2454     12.4821    11.5533
6.3379     12.2717    11.615
6.5362     12.0874    11.6269
6.6758     11.9321    11.6048
6.8139     11.8319    11.6133
7.0382     11.6974    11.6075
7.1802     11.4313    11.5125





















































































































































































-1.9125    15.3176    14.0633    R-ALV
-2.0735    15.4794    14.0014
-2.1903    15.7438    13.9837
-2.2709    15.9789    13.9288
-2.3416    16.3548    13.8653
-2.294     16.7111    13.8147
-2.3079    17.0777    13.8766
-2.3651    17.4807    13.8262
-2.3686    17.6825    13.8824
-2.3488    17.9239    13.9258
-2.274     18.1532    13.9181
-2.2262    18.2827    13.9377
-2.2255    18.5434    13.9409
-2.2225    18.9246    13.8649
-2.232     19.1356    13.9169
-2.1295    19.4791    13.9206
-2.1333    19.7119    13.9073
-2.2134    20.036     13.8957
-2.2664    20.3612    13.8657
-2.2705    20.5805    13.8832
-2.3364    20.7889    13.9171
-2.3641    20.9773    13.9023
-2.3572    21.1506    13.8798

















































































































































































3.1482     16.0472    13.8581    L-ALV
3.2375     16.3836    13.8904
3.3037     16.63      13.8638
3.3329     17.0709    13.842
3.2153     17.4933    13.6988
3.2156     17.7948    13.678
3.1979     18.088     13.6467
3.1872     18.4262    13.6256
3.0801     18.8611    13.5976
2.9549     19.1338    13.6156
2.8677     19.4403    13.6237
2.8232     19.662     13.6256
2.7951     19.8223    13.6336
2.7239     20.1863    13.653
2.7078     20.4896    13.6185
2.7236     20.7293    13.6118
2.7195     20.9572    13.5849
2.7046     21.2948    13.5794
2.6479     21.6867    13.633
2.6402     21.9496    13.5739
