UWMA       TP10       Pi4stv


















































































































30.5008    -3.7229    4.9804     NASP-PR
30.677     -3.6047    4.9094
30.8117    -3.4961    4.7612
30.9309    -3.4326    4.661
30.967     -3.3713    4.5338
30.9978    -3.3223    4.441
31.0236    -3.3274    4.2714

































































































































































































28.5997    -5.4302    7.2189     R-PM/MAX
28.934     -5.3915    7.0935
29.145     -5.3508    6.9316
29.3996    -5.3363    6.7793
29.6015    -5.3439    6.5864
29.775     -5.3154    6.4374
29.9162    -5.2847    6.3032
30.0159    -5.2208    6.1698
30.1258    -5.1476    6.064
30.2482    -5.0536    5.9375
30.3057    -4.9851    5.8545
30.3581    -4.9761    5.7613
30.4231    -4.9596    5.6645
30.512     -4.9444    5.5066
30.5684    -4.8882    5.3316
30.6704    -4.8368    5.228
30.7995    -4.7937    5.0407
30.8763    -4.7986    4.9094
30.9168    -4.7746    4.7993
31.0163    -4.745     4.656
31.1461    -4.7265    4.4991
31.1615    -4.7137    4.2212
31.1574    -4.7042    3.9476

















































































































































































27.9565    -4.3024    7.2743     L-PM/MAX
28.1238    -4.1745    7.2025
28.2517    -4.107     7.1163
28.4072    -4.0197    7.0511
28.5192    -3.9306    6.9486
28.6732    -3.869     6.8151
28.7552    -3.7796    6.629
28.8124    -3.6544    6.527
28.9051    -3.5502    6.3931
29.049     -3.4678    6.2199
29.0955    -3.4158    6.1573
29.2062    -3.3202    5.9974
29.3452    -3.2914    5.8942
29.4225    -3.2456    5.775
29.5009    -3.1155    5.6801
29.536     -3.0587    5.5193
29.5679    -2.9688    5.3551
29.6178    -2.9015    5.1503
29.6869    -2.7943    4.9613
29.7701    -2.6772    4.7718
29.8193    -2.5738    4.5691
29.8612    -2.5033    4.3586
29.895     -2.4925    4.1964
29.9094    -2.4619    4.0109
















































































































































































29.2811    -6.7092    3.8067     ROSTRUM
29.2695    -6.7079    4.0027
29.2645    -6.7359    4.2277
29.2354    -6.6331    4.4541
29.1383    -6.4423    4.6073
29.0086    -6.2817    4.7528
28.999     -6.2291    4.9265
29.0067    -6.2158    5.1258
29.0256    -6.2369    5.3935
29.0265    -6.2621    5.695
29.0607    -6.2391    5.9519
28.9931    -6.1419    6.3945
28.9369    -6.0119    6.5666
28.8524    -5.9153    6.7488
28.7621    -5.7529    6.9205
28.673     -5.6611    7.041
28.6587    -5.5212    7.1789
28.5871    -5.3744    7.3291
28.4736    -5.2714    7.4345
28.4145    -5.0407    7.5153
28.3257    -4.8601    7.5515
28.2545    -4.7113    7.5183
28.2187    -4.4953    7.4531
28.1468    -4.3921    7.3662
28.1059    -4.3143    7.2814
28.0772    -4.2189    7.209
28.0544    -4.1123    7.0875
27.9821    -4.0064    6.9215
27.9138    -3.8679    6.7571
27.9071    -3.6661    6.5824
27.8791    -3.5683    6.4346
27.8675    -3.4285    6.2217
27.8158    -3.3619    6.0107
27.7873    -3.3143    5.8827
27.7637    -3.278     5.6455
27.6492    -3.337     5.3343
27.6132    -3.3284    4.9829
27.5383    -3.2406    4.8086
27.4328    -3.0745    4.6675
27.3197    -2.9235    4.5802
27.3088    -2.8204    4.4042
27.3237    -2.7206    4.2116
27.3366    -2.7124    4.039
27.2903    -2.7035    3.9015
27.3308    -2.7396    3.758



























































































































































9999       9999       9999       SUPORB







































































































































































































27.4537    -7.3933    7.4352     RORBIT
27.4516    -7.8474    7.4077
27.3816    -8.1266    7.4516
27.2181    -8.4661    7.6723
27.1174    -8.6629    7.8829
27.0136    -8.8803    8.1862
26.8967    -9.0911    8.4426
26.7713    -9.1341    8.7438
26.6735    -9.1295    8.9468
26.6053    -9.0316    9.215
26.5373    -8.9793    9.4615
26.4765    -8.8403    9.6917
26.3964    -8.7649    9.7234
26.3098    -8.4773    9.8514
26.2182    -8.2825    9.9358
26.2244    -8.1227    9.9521
26.2215    -7.8639    9.9493
26.1897    -7.5655    9.9482
26.0605    -7.3279    9.8778
25.9594    -7.1701    9.9289
25.8766    -6.9619    9.926
25.872     -6.7576    9.8125
25.841     -6.6673    9.6017
25.8613    -6.5391    9.399
26.0059    -6.383     9.0189
26.1924    -6.315     8.8468
26.3971    -6.2736    8.5795
26.466     -6.2929    8.4632
26.6342    -6.3232    8.2997











































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































30.2572    -4.0988    9.0271     OP
28.5848    -4.7498    8.8108     BA
24.9077    -6.3925    8.3684     ST
21.2382    -7.8728    8.7574     IV
29.8339    -8.0834    8.2239     R_PG
9999       9999       9999       R_ZTI
25.2829    -8.3221    9.4469     R_M3D
23.2327    -9.3298    9.6715     R_M12
21.2937    -9.5693    9.6337     R_MP3
20.5581    -9.3274    9.4892     R_PMI
27.1008    -1.8097    8.2953     L_PG
24.9517    -1.3895    7.4222     L_ZTI
23.8361    -4.5571    9.413      L_M3D
21.672     -5.3742    9.6583     L_M12
20.2269    -6.7217    9.556      L_MP3
19.7224    -7.1364    9.4553     L_PMI
20.0999    -7.6358    8.2065     O1
22.9514    -3.2054    7.5048     O2
27.816     -8.4861    3.8265     O3
32.3913    -2.1677    7.0653     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































22.8515    -3.5955    8.2261     LZYGINF
22.8508    -3.4464    8.0791
22.7679    -3.2431    8.1087
22.8576    -3.0256    8.0746
23.0167    -2.8145    7.973
23.2378    -2.5937    7.9657
23.4846    -2.3872    7.8753
23.7004    -2.1876    7.8044
23.9964    -2.0385    7.7914
24.1191    -1.903     7.7389
24.2925    -1.788     7.6567
24.3325    -1.7167    7.6132
24.4406    -1.5955    7.4894
24.6571    -1.4733    7.4844
24.8034    -1.3886    7.4714

























































































































































































25.325     -8.3742    9.4266     R-ALV
25.1128    -8.6902    9.3325
24.809     -8.9022    9.4079
24.6092    -8.9899    9.4808
24.3525    -9.1113    9.4666
24.0681    -9.221     9.4573
23.8303    -9.238     9.3976
23.3965    -9.3356    9.566
23.0128    -9.429     9.6422
22.6931    -9.4496    9.655
22.3024    -9.4641    9.6196
22.1328    -9.4767    9.6554
21.9278    -9.5121    9.7283
21.7815    -9.4985    9.6622
21.609     -9.5012    9.6634
21.54      -9.5305    9.5909
21.316     -9.585     9.6301























































































































































































23.9185    -4.5779    9.4302     L-ALV
23.5221    -4.5187    9.2598
23.1578    -4.5742    9.2883
22.9569    -4.6257    9.3066
22.6839    -4.7502    9.2305
22.5058    -4.8042    9.2586
22.1821    -4.8944    9.2932
21.8778    -5.0685    9.3828
21.6106    -5.3665    9.3768
21.5471    -5.3908    9.4368
21.3973    -5.5307    9.4551
21.1937    -5.7005    9.5647
20.9027    -5.9949    9.3343
20.7554    -6.1159    9.4006
20.5423    -6.312     9.3727
20.4083    -6.4055    9.3397
20.2817    -6.4749    9.3078
20.2191    -6.5833    9.3836
