FSM        3337       Phh29stv
-0.6194    13.1745    15.0183
-0.3397    13.1393    15.0352
-0.1462    13.0583    15.0346
0.0776     13.0141    15.0158
0.2767     12.8444    14.9322
0.4429     12.7921    14.9144
0.6865     12.8152    14.8698
0.8868     12.7942    14.878
1.085      12.9002    14.94
1.2535     12.9892    15.0086
1.5154     13.1248    15.0539
1.8575     13.2474    15.0818
2.2123     13.3183    15.0936
2.5093     13.4177    15.088
2.7923     13.5532    15.049
3.0783     13.7508    14.9842
3.382      13.8475    14.9239
3.6205     14.002     14.8338
3.7503     14.141     14.7711
3.9596     14.3985    14.626
4.1424     14.4651    14.4594
4.3459     14.5053    14.1987
4.475      14.4076    13.9808
4.5659     14.4031    13.8051
4.6301     14.2955    13.5286
4.7238     14.249     13.3769
4.7513     14.1713    13.25































































































































































-0.9656    12.6522    11.8037    RORBIT
-1.2159    12.6134    11.7499
-1.5274    12.6771    11.7876
-1.8266    12.7714    11.902
-2.12      12.9175    12.089
-2.2874    13.0102    12.2656
-2.3967    13.141     12.4856
-2.5089    13.2034    12.7473
-2.5232    13.2448    12.8772
-2.4826    13.2467    13.096
-2.4041    13.1755    13.4292
-2.2343    13.077     13.6835
-2.0711    12.9716    13.8589
-1.9137    12.8904    13.9701
-1.6377    12.8079    14.0634
-1.3888    12.7217    14.09
-1.0608    12.6118    14.1279
-0.8047    12.5417    14.1091
-0.4946    12.5212    14.1462
-0.3091    12.5888    14.1479
0.12       12.6432    14.2014
0.2234     12.7449    13.9629
0.2971     12.7913    13.7557
0.3949     12.8268    13.5565
0.4437     12.9183    13.2306
0.4092     12.9242    13.0317
0.4067     12.887     12.9374
0.3745     12.8316    12.7481












































































































































































2.5605     12.9478    11.9075    LORBIT
2.785      12.9576    11.8687
3.0015     13.0757    11.9148
3.2336     13.1023    11.9674
3.4017     13.1812    12.0289
3.5849     13.2664    12.1277
3.6706     13.4037    12.2455
3.7833     13.4804    12.4095
3.9005     13.5421    12.5378
3.9607     13.691     12.7738
4.0483     13.7033    12.9497
4.0764     13.7341    13.0746
4.1102     13.7314    13.3135
4.1085     13.6629    13.5095
3.9336     13.6757    13.6466
3.799      13.5073    13.9159
3.6997     13.417     14.0447
3.602      13.3222    14.145
3.472      13.2609    14.2252
3.2546     13.1499    14.2954
3.0077     13.0734    14.2807
2.7748     12.9981    14.2539
2.5604     12.893     14.2105
2.3884     12.788     14.2078
2.0525     12.7487    14.333
1.7504     12.7361    14.3807
1.5452     12.7501    14.3226
1.342      12.7713    14.1172
1.2073     12.7216    13.8399
1.1486     12.8149    13.5525
1.1112     12.9489    13.2925
1.1172     12.99      13.1836
1.1448     12.9977    13.1191







































































































































































-3.171     13.8277    13.2357    RTEMFOS
-3.2774    13.7052    13.077
-3.3196    13.6354    12.9458
-3.3436    13.5982    12.7953
-3.3812    13.5178    12.5601
-3.3928    13.4179    12.4011
-3.4202    13.3535    12.2266
-3.4115    13.3093    12.0768
-3.414     13.2433    11.9131
-3.387     13.1759    11.6694
-3.3792    13.1036    11.4484
-3.4017    13.0551    11.2225
-3.4134    12.9886    11.0511
-3.4195    12.963     10.8231
-3.4606    12.8842    10.6312
-3.5395    12.8194    10.1904
-3.6324    12.7594    9.9835
-3.7711    12.8924    9.7849
-3.9295    13.0886    9.6563
-4.145     13.2704    9.6043
-4.3399    13.5421    9.6319
-4.4033    13.7248    9.6763
-4.5001    13.9089    9.6914
-4.5033    14.1585    9.7606































































































































































