UWMA       MP239      Ppb4stv
8.7568     33.3777    6.3543
9999       9999       9999














































































































































































8.7111     33.2933    6.3531     NASP-PR
8.7482     33.5647    6.3062
8.8106     33.7531    6.1889
8.8023     33.8895    6.0753
8.8381     33.9822    5.9785
8.8181     34.0602    5.8723
8.8638     34.1274    5.7481
8.8632     34.1465    5.6602
































































































































































































8.4524     29.743     8.5289     R-PM/MAX
8.451      29.7717    8.5043
8.5389     29.9137    8.4055
8.644      30.0532    8.2789
8.73       30.2361    8.117
8.8017     30.4048    8.0388
8.964      30.6172    7.8258
9.0798     30.8178    7.7235
9.1718     30.95      7.5725
9.2533     31.0793    7.4746
9.4067     31.26      7.2759
9.4772     31.4258    7.155
9.5202     31.563     7.0687
9.6201     31.7317    6.9054
9.6801     31.865     6.7871
9.7277     32.02      6.6781
9.7901     32.1713    6.536
9.8409     32.2853    6.42
9.8917     32.5127    6.2626
9.908      32.6727    6.1996
9.8932     32.8046    6.1561
9.9382     33.0111    6.0518
9.9771     33.1505    5.9362
9.926      33.1999    5.7855
9.9082     33.2094    5.6467















































































































































































7.643      30.3159    8.3181     L-PM/MAX
7.6086     30.5526    8.148
7.5563     30.7004    8.0088
7.5406     30.8867    7.8582
7.5126     31.0804    7.6936
7.448      31.4254    7.5174
7.4131     31.7193    7.3281
7.4268     31.9548    7.1854
7.4059     32.2307    6.9767
7.3531     32.4698    6.8106
7.3695     32.6624    6.6597
7.3638     32.8176    6.5428
7.3859     32.9712    6.4081
7.3942     33.1289    6.2827
7.3875     33.3004    6.1059
7.328      33.3823    5.9986
7.3515     33.4716    5.8427
7.332      33.4642    5.6938






















































































































































































10.4032    30.2711    4.7339     ROSTRUM
10.5363    30.2034    5.1452
10.511     30.2324    5.4226
10.4275    30.225     5.6211
10.3407    30.1893    5.7562
10.2392    30.2334    5.9109
10.1753    30.1907    6.11
10.0738    30.1656    6.3333
10.0081    30.1651    6.5235
9.9123     30.1583    6.7715
9.8337     30.1721    6.9653
9.703      30.1638    7.1641
9.5451     30.1156    7.3541
9.3996     30.0792    7.4293
9.2564     30.0719    7.5364
9.1568     30.0766    7.6529
9.0441     30.0891    7.746
8.9205     30.0802    7.8587
8.8271     30.0352    7.99
8.7732     30.0199    8.0913
8.6898     30.0274    8.2028
8.6293     30.0515    8.2772
8.5904     30.0377    8.432
8.4849     30.03      8.5611
8.3982     30.0042    8.5535
8.2352     30.1043    8.7154
8.1421     30.0628    8.7183
8.0364     30.2268    8.6962
7.9259     30.2087    8.6593
7.7192     30.2285    8.4851
7.6036     30.2408    8.3484
7.4018     30.257     8.1222
7.3224     30.2688    8.0087
7.2116     30.3215    7.8982
7.1175     30.3537    7.7763
6.9805     30.395     7.6526
6.8369     30.4535    7.5814
6.6849     30.4904    7.5469
6.5478     30.5069    7.462
6.3957     30.5223    7.3185
6.2537     30.5629    7.0631
6.1771     30.5861    6.8438
6.088      30.6255    6.6541
6.0663     30.6529    6.5002
5.9751     30.6922    6.3215
5.9242     30.7386    6.1179
5.8748     30.8008    5.9098
5.8336     30.8375    5.7828
5.7811     30.8879    5.6575
5.741      30.9399    5.4781
5.7444     30.9945    5.3236
5.7472     31.0683    5.1276
5.7872     31.1181    5.0046
5.8249     31.1492    4.8775


















































































































































10.8315    26.0228    8.7936     SUPORB
10.8107    26.0061    9.0289
10.7769    26.0667    9.261
10.6525    26.0656    9.4835
10.4968    26.1304    9.6943
10.2924    26.1497    9.8536
10.1266    26.2249    10.001
9.9796     26.3215    10.1178
9.7933     26.387     10.2219
9.6435     26.4609    10.319
9.4463     26.5771    10.3947
9.2976     26.676     10.4479
9.1325     26.7298    10.4974
9.0266     26.7983    10.4882
8.7018     27.0403    10.5629
8.5024     27.1239    10.585
8.3425     27.2636    10.6155
8.1835     27.3477    10.629
8.0019     27.4034    10.6803
7.8416     27.4521    10.6332
7.6815     27.5021    10.6348
7.4892     27.5463    10.6255
7.2217     27.5489    10.6314
6.9412     27.5365    10.6368
6.6419     27.5667    10.6108
6.4407     27.5813    10.6058
6.1259     27.5971    10.5778
5.9125     27.6422    10.5589
5.6702     27.6697    10.4797
5.3977     27.6684    10.3758
5.2181     27.6775    10.2954
5.0474     27.6746    10.2038
4.8798     27.6811    10.1341
4.6459     27.7735    10.0192
4.3928     27.8202    9.8422
4.1861     27.6998    9.6456
4.0815     27.6568    9.4647
3.9934     27.6473    9.2801
3.9537     27.6753    9.1576
3.8876     27.6556    8.9063
































































































































































9.7978     28.0026    8.0206     RORBIT
10.0301    27.8066    8.0598
10.2555    27.5945    8.1424
10.3973    27.3908    8.2677
10.5045    27.1955    8.4511
10.5733    26.9717    8.622
10.63      26.8281    8.8144
10.6024    26.7394    9.048
10.5622    26.7025    9.2053
10.4409    26.6985    9.4862
10.2663    26.7099    9.6119
10.0509    26.7851    9.8829
9.9171     26.828     10.0198
9.7447     26.8932    10.0881
9.5676     26.95      10.096
9.3813     27.0365    10.147
9.1873     27.1016    10.2273
9.0058     27.1761    10.1908
8.8547     27.3137    10.2459
8.6354     27.4032    10.2815
8.4407     27.4722    10.2465
8.2163     27.6042    10.2711
8.1235     27.7014    10.1549
8.0527     27.8298    9.9845
8.0565     27.8806    9.8628
8.0538     27.9725    9.5294
8.0961     28.0354    9.3511
8.1465     28.1026    9.1573
8.1753     28.1133    9.0657











































































































































































5.844      29         8.0997     LORBIT
5.5215     28.9855    8.1178
5.2649     29.0111    8.1689
5.1147     28.9048    8.2252
4.9235     28.815     8.309
4.7747     28.7603    8.3936
4.6085     28.6767    8.5379
4.4532     28.4876    8.7166
4.3933     28.3157    8.9237
4.4176     28.1591    9.2082
4.4911     28.0775    9.4876
4.6826     28.0232    9.7487
4.7998     27.9445    9.8314
5.0065     27.9169    9.9437
5.1871     27.8743    10.095
5.3859     27.9107    10.1884
5.6205     27.9092    10.2112
5.8067     27.8936    10.2614
6.0838     27.9265    10.2168
6.2913     27.9471    10.1948
6.5045     27.8917    10.2187
6.8895     27.8094    10.2065
7.0477     27.8436    10.0653
7.1814     27.9976    9.8863
7.2352     28.0757    9.7204
7.2486     28.1629    9.5153
7.2003     28.2875    9.4297













































































































































































9999       9999       9999       RTEMFOS







































































































































































































3.8714     27.7235    8.7375     LTEMFOS
3.8788     27.903     8.4987
3.8805     28.0981    8.3516
3.877      28.2752    8.0566
3.9917     28.4721    7.8905
3.9444     28.6913    7.6486
3.9332     28.8299    7.5067
3.8628     28.859     7.3118
3.796      28.9261    7.0556
3.6398     28.8864    6.8388
3.5284     28.6121    6.5049
3.3725     28.4822    6.4542
3.3169     28.3526    6.4187
3.2823     28.2388    6.4003


























































































































































































10.4383    12.9349    8.8093     OP
10.4363    14.6933    8.1919     BA
10.5005    19.5355    6.1923     ST
10.6767    22.9943    5.3756     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
8.1996     19.6201    6.9744     R_M3D
8.3078     21.8338    6.4319     R_M12
9.0005     23.6483    5.8608     R_MP3
9.3656     24.2306    5.4575     R_PMI
14.1001    14.706     7.4958     L_PG
15.3484    16.2605    6.5651     L_ZTI
12.6079    19.3751    7.1166     L_M3D
12.8574    21.6769    6.5241     L_M12
12.226     23.5739    5.7282     L_MP3
11.8127    24.1722    5.4824     L_PMI
11.3972    24.5049    4.6208     O1
7.4066     16.9877    2.3375     O2
15.4624    15.36      6.3087     O3
11.3887    10.2092    7.1415     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































13.703     19.6969    5.8494     LZYGINF
13.8976    19.618     5.7697
14.1694    19.5056    5.7179
14.3324    19.5102    5.7406
14.4689    19.4377    5.8117
14.5753    19.3179    5.8802
14.6535    19.2312    5.9544
14.7214    19.1081    6.0099
14.7743    18.9982    6.0497
14.7533    18.5731    6.1772
14.8122    18.3925    6.251
14.8766    18.2108    6.2835
14.872     18.055     6.3406
14.9254    17.8241    6.381
15.015     17.7006    6.3989
15.0693    17.5113    6.4208
15.1285    17.2967    6.447
15.237     17.1236    6.4685
15.1812    16.9499    6.5425
15.2394    16.7341    6.5683
15.2385    16.547     6.5831
15.2914    16.3648    6.5892
15.3141    16.2669    6.5758

















































































































































































8.3158     19.4817    6.9683     R-ALV
8.0837     19.7452    6.9417
7.9357     20.0134    6.8716
7.9062     20.452     6.7489
7.9072     20.7457    6.6673
7.9102     21.1771    6.5461
7.9287     21.345     6.5579
8.0826     21.6019    6.4647
8.2131     22.0094    6.2442
8.2709     22.2896    6.2293
8.4121     22.4885    6.1543
8.4854     22.7357    6.0295
8.5712     22.9086    6.0051
8.6372     23.1284    5.9185
8.7113     23.3382    5.8395
8.7634     23.4588    5.8261
8.9106     23.6928    5.79























































































































































































12.5915    19.4095    7.1049     L-ALV
12.7999    19.6277    7.0095
12.9117    19.8566    6.9507
13.0032    20.0659    6.9341
13.0077    20.3821    6.8977
13.0183    20.6248    6.8415
13.0063    20.8951    6.7412
13.0066    21.1523    6.619
12.9094    21.6848    6.4033
12.8096    21.9041    6.4595
12.7728    22.0837    6.4051
12.7951    22.2785    6.3307
12.6533    22.467     6.1669
12.5758    22.6385    6.1474
12.5519    22.8075    6.1018
12.4886    23.0743    5.9572
12.414     23.2305    5.8881
12.3119    23.5473    5.7221
