UWMA       ZA 726     Phu101sf













































8.8152     17.1512    12.9717    SUPORB
8.9367     17.2046    13.1922
8.984      17.2233    13.4044
9.0519     17.2314    13.6336
9.1018     17.1874    13.8749
9.1886     17.0808    14.1277
9.3375     16.7855    14.4286
9.3826     16.6506    14.515
9.4187     16.3799    14.6598
9.575      16.1289    14.8082
9.8495     15.8873    14.9153
10.038     15.8143    14.9924
10.3909    15.5399    15.1443
10.6653    15.4205    15.2068
10.921     15.1617    15.2491
11.0872    14.8947    15.2306
11.1748    14.5895    15.2315
11.2475    14.3604    15.2107
11.2621    14.0003    15.1541
11.3426    13.773     15.1185
11.4462    13.6144    15.1175
11.7046    13.5939    15.186
11.9356    13.6379    15.2686
12.1961    13.6937    15.3093
12.5207    13.6819    15.3502
12.7561    13.5642    15.3808
12.9215    13.3221    15.4016
13.0979    13.1177    15.4104
13.1866    12.8438    15.3906
13.3143    12.598     15.3697
13.5436    12.4241    15.3304
13.9543    12.2582    15.2623
14.1737    12.1268    15.2013
14.3636    12.0467    15.1428
14.5976    11.9174    15.0347
14.7871    11.8572    14.9512
14.9625    11.7697    14.7898
15.0493    11.6646    14.6346
15.2398    11.642     14.4487
15.346     11.5965    14.2588
15.4333    11.6032    14.0962
15.4506    11.5715    13.9343
15.4751    11.5286    13.834
15.5142    11.4949    13.7223
15.5097    11.4596    13.6369



























































































































































9.548      14.3411    11.5718    RORBIT
9.3622     14.5551    11.6119
9.2575     14.7258    11.6595
9.1442     14.9276    11.7142
9.1171     15.1253    11.7877
9.0708     15.2745    11.8653
9.0273     15.456     11.9703
8.995      15.6271    12.1266
8.9667     15.8168    12.2618
8.9734     15.9814    12.4294
8.9678     16.1128    12.5994
9.0005     16.1988    12.7397
9.0213     16.2761    12.9054
9.0528     16.3207    13.0476
9.0862     16.3473    13.2554
9.0887     16.3377    13.4386
9.0647     16.2904    13.601
9.0367     16.2111    13.7676
9.0437     15.9732    14.0501
9.0761     15.6758    14.462
9.235      15.3577    14.5077
9.3964     15.2079    14.452
9.5588     14.919     14.4674
9.6804     14.8361    14.3959
9.8493     14.6742    14.3407
9.9369     14.4704    14.3803
9.9702     14.3978    14.4035
10.1445    14.2824    14.3852
10.3847    14.2026    14.4475
10.5892    14.0943    14.4604
10.7308    13.9225    14.3961
10.7968    13.8171    14.2115
10.8007    13.6429    13.9475
10.8631    13.6084    13.7187
10.9087    13.5657    13.4805
10.8835    13.4647    13.3196
10.8788    13.4249    13.1886
10.8653    13.3947    13.0645
10.8191    13.3461    12.9723
10.7914    13.3373    12.8882
10.7729    13.3751    12.7585














































































































