TMP        AZ 1001    Phu127sfv
19.7964    9.3295     12.4332




































































































































































14.6771    7.2277     11.8557    RORBIT
14.4433    7.1799     11.9022
14.1721    7.1961     11.9766
13.8896    7.2643     12.0856
13.5995    7.3899     12.2271
13.3981    7.5055     12.3966
13.2616    7.6461     12.6066
13.1714    7.7847     12.7765
13.1647    7.9558     13.0133
13.1422    8.0758     13.2771
13.2088    8.0696     13.4317
13.3544    8.0533     13.6531
13.586     7.9769     13.9433
13.8653    7.9385     14.0979
14.1641    7.8704     14.1578
14.408     7.8694     14.1471
14.7495    7.7827     14.1472
14.9506    7.7878     14.1058
15.0945    7.7936     14.0708
15.2605    7.765      14.1624
15.6409    7.8268     14.0838
15.839     7.7799     13.8907
15.9185    7.8113     13.6133
15.9731    7.7863     13.4355
16.0106    7.7571     13.307
16.0086    7.7449     13.1259
16.029     7.7168     13.0889
16.0555    7.5862     12.9158












































































































































































18.0661    7.4919     11.6567    LORBIT
18.2636    7.5527     11.6761
18.457     7.5873     11.7047
18.6544    7.7006     11.7779
18.8854    7.8265     11.874
19.0453    7.9864     11.9813
19.2738    8.1255     12.1158
19.3516    8.3597     12.3241
19.4554    8.4974     12.479
19.4438    8.6439     12.7205
19.489     8.6706     12.9953
19.3429    8.6437     13.3846
19.192     8.607      13.6923
18.9694    8.5925     13.8928
18.7577    8.4512     13.9226
18.5632    8.3228     13.9674
18.3252    8.1758     14.0338
18.0348    8.0732     14.0596
17.7997    8.0098     14.0138
17.6353    8.029      13.9492
17.3283    8.029      13.9573
17.083     8.0098     13.9797
16.8756    7.8883     13.7466
16.8054    7.8401     13.4259
16.7717    7.7839     13.251
16.7613    7.7163     13.1063
16.7377    7.6669     12.9553
16.738     7.5834     12.9019
16.7381    7.5304     12.8257











































































































































































12.6111    8.5336     12.8536    RTEMFOS
12.5771    8.3998     12.6321
12.5774    8.2803     12.4886
12.5848    8.1629     12.3448
12.6248    7.9409     12.0785
12.6272    7.8051     11.9377
12.6477    7.6158     11.7096
12.7081    7.4249     11.4362
12.7072    7.2976     11.3098
