NME        AL412-1    Tod11stv
9.0437     16.4485    9.1433     L_M12
8.916      18.469     8.0084     L_MP3
9999       9999       9999       L_PMI
8.3376     21.0895    9.1676     O1
5.5046     11.5864    3.5004     O2
0.541      14.9095    9.8871     O3
2.4819     5.2866     8.7182     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































3.6119     16.2977    11.1079    R-ALV
3.638      16.6042    11.0123
3.7151     16.8097    10.9104
3.7665     17.0638    10.7959
3.8127     17.2962    10.7218
3.8827     17.5232    10.6462
3.9727     17.7513    10.5121
4.0673     17.9748    10.4636
4.2333     18.1689    10.453
4.2143     18.4654    10.3789
4.337      18.6392    10.3887
4.4485     18.8348    10.3016
4.5761     19.1556    10.1746
4.6601     19.367     10.0318
4.819      19.6152    9.8599
5.018      19.9797    9.6815
5.1289     20.1729    9.5194
5.2597     20.3816    9.4222






















































































































































































8.3508     14.6908    10.0981    L-ALV
8.6404     14.9232    9.8651
8.73       15.1734    9.6534
8.8717     15.5473    9.3793
8.9242     15.7637    9.3005
8.9826     16.0295    9.2352
9.0518     16.4119    9.0506
9.1398     16.7624    8.8357
9.1591     17.0032    8.7599
9.2168     17.3227    8.6957
9.188      17.6094    8.5582
9.1243     17.7706    8.4513
9.1119     17.9371    8.4161
9.1201     18.1028    8.3398
9.0333     18.2926    8.1967
8.9516     18.4634    8.0661
