AMNH       169432     Phu1Tosi4
7.0781     9.3856     11.8904
7.1618     9.2734     11.9409
7.2279     9.1704     12.0124
7.3106     9.0424     12.0768
7.3801     8.8843     12.1516
7.4132     8.6847     12.3456
7.4722     8.5897     12.4415
7.5368     8.4552     12.5411
7.5738     8.393      12.562
7.6429     8.3106     12.5669
7.7487     8.2046     12.6178
7.8941     8.0829     12.6367
8.0742     7.9942     12.6154
8.2574     7.9172     12.528
8.384      7.8768     12.4514
8.5497     7.8439     12.338
8.7094     7.8397     12.2105
8.8966     7.7742     12.0774
9.0528     7.7176     11.996
9.2302     7.6535     11.9153
9.4528     7.484      11.8753
9.5283     7.4301     11.8203
9.6332     7.2892     11.8908
9.8318     7.1079     11.8862
9.9942     6.9626     11.8453
10.1426    6.895      11.7421
10.2642    6.8817     11.5962
10.4649    6.8973     11.4135
10.5988    6.9679     11.1499
10.6022    7.0748     10.9142
10.5807    7.2059     10.7121
10.5309    7.2959     10.5309
10.5323    7.4225     10.3572
10.5209    7.5284     10.0706
10.5271    7.6338     9.8429
10.5415    7.7269     9.5958
10.6283    7.8082     9.3099
10.7443    7.8392     9.1145
10.8833    7.8424     8.9326
11.0904    7.811      8.7053
11.2227    7.7733     8.5561
11.3591    7.7688     8.4048
11.5055    7.8051     8.1282
11.5743    7.8457     7.8769
11.6126    7.914      7.6877
11.5009    8.1337     7.485































































































































7.2599     15.1459    16.3858    SUPORB
7.2459     15.093     16.603
7.2951     14.9884    16.8395
7.287      14.8966    17.0276
7.3094     14.7933    17.2631
7.3618     14.7089    17.4751
7.417      14.5624    17.6794
7.4948     14.4666    17.8318
7.6229     14.3317    17.9858
7.7537     14.153     18.1568
7.8701     13.9807    18.2773
7.9705     13.8232    18.3533
8.0622     13.6938    18.4318
8.2286     13.6073    18.5333
8.2804     13.4913    18.5663
8.4072     13.4216    18.6036
8.5667     13.2231    18.6838
8.7169     13.0214    18.766
8.8508     12.8858    18.8152
9.0134     12.7066    18.8477
9.1593     12.5501    18.8607
9.3027     12.3537    18.8904
9.4784     12.2104    18.8795
9.6294     12.0513    18.8591
9.7629     11.9051    18.866
9.9111     11.7633    18.8144
10.045     11.6721    18.7721
10.1681    11.5319    18.7302
10.3143    11.4146    18.6696
10.451     11.3089    18.6843
10.6702    11.1429    18.7242
10.8109    11.0486    18.751
11.0183    10.8964    18.8254
11.24      10.7537    18.8596
11.4455    10.6498    18.8589
11.6201    10.5092    18.8697
11.8302    10.3896    18.8547
12.0119    10.2797    18.8344
12.3349    10.0844    18.7827
12.5655    9.9155     18.6943
12.7932    9.8587     18.6421
13.0115    9.8001     18.5754
13.2471    9.6961     18.4665
13.4887    9.6253     18.3634
13.6517    9.5224     18.2618
13.8614    9.4775     18.1563
14.1544    9.4209     17.9241
14.328     9.3624     17.6835
14.4565    9.3725     17.5009
14.5195    9.3616     17.3592
14.606     9.3287     17.1791
14.697     9.3628     16.9877
14.8624    9.4041     16.679
14.8712    9.3445     16.6218


















































































































































8.4629     12.3248    15.1572    RORBIT
8.3154     12.4392    15.1853
8.15       12.6259    15.1998
8.0488     12.6914    15.2204
7.9459     12.8326    15.2617
7.8915     12.914     15.3183
7.8015     13.0727    15.3946
7.7471     13.2075    15.4567
7.7506     13.2892    15.4837
7.6909     13.4488    15.654
7.6816     13.5616    15.7455
7.6499     13.6419    15.8711
7.6651     13.7586    16.0026
7.6427     13.8352    16.1343
7.6748     13.9254    16.3401
7.6317     13.9474    16.5392
7.6103     13.8936    16.6891
7.6247     13.8401    16.8271
7.5976     13.7448    16.9658
7.5958     13.6459    17.1086
7.6206     13.4587    17.2547
7.6541     13.3137    17.367
7.7116     13.0973    17.4831
7.803      12.8391    17.5883
7.97       12.6256    17.6165
8.1611     12.4254    17.6377
8.4028     12.2027    17.6091
8.5521     12.0201    17.5755
9.1505     11.6219    17.5652
9.5979     11.3833    17.2793
9.6658     11.3957    17.0582
9.6638     11.2946    16.7776
9.6613     11.2096    16.6169
9.6415     11.1864    16.3697






































































































































































11.882     9.4476     15.1522    LORBIT
12.02      9.3785     15.2468
12.2064    9.334      15.2829
12.3043    9.3127     15.3222
12.5254    9.2485     15.4079
12.6201    9.2403     15.446
12.7309    9.1784     15.4962
12.8995    9.1827     15.6044
13.0395    9.1476     15.6692
13.1355    9.1735     15.7542
13.2339    9.2372     15.8548
13.3438    9.2547     15.9366
13.4073    9.2666     16.0429
13.4839    9.2804     16.1986
13.5638    9.295      16.3753
13.6065    9.2989     16.5459
13.6443    9.3046     16.7038
13.5242    9.2336     16.9789
13.3837    9.1775     17.1482
13.2363    9.1999     17.3015
13.018     9.1657     17.4225
12.8308    9.2006     17.5412
12.6364    9.2656     17.5813
12.4879    9.3341     17.6318
12.2091    9.3709     17.6511
12.0452    9.4803     17.6236
11.8423    9.5739     17.634
11.5803    9.7721     17.5857
11.0729    10.3387    17.5546
10.7583    10.7072    17.2903
10.6735    10.684     17.1434
10.6116    10.6927    16.9848
10.5399    10.6761    16.8073
10.5347    10.6876    16.6248
10.5416    10.6663    16.498
10.5498    10.6384    16.3445




















































































