MNHN       1962.146   Php17stv































































4.4524     9.9987     11.4656    LTEMFOS
4.5067     10.0245    11.3233
4.6037     10.0394    11.1132
4.6125     9.9558     10.8193
4.6107     9.9302     10.628
4.6083     9.896      10.4476
4.5482     9.849      10.2729
4.5093     9.8029     10.1355
4.4821     9.7574     10.0104
4.4182     9.7737     9.7995
4.4605     9.7295     9.6532
4.3904     9.599      9.4609
4.3662     9.5377     9.2857
4.3729     9.4904     9.0798
4.3915     9.4993     8.9294
4.4121     9.4942     8.8345
4.4671     9.518      8.6647
4.5455     9.5498     8.5577
4.6284     9.6926     8.4495
4.707      9.8205     8.4042
4.7613     9.9254     8.3911
4.8047     10.0461    8.3976
4.8512     10.1469    8.4148
4.8984     10.2864    8.469
4.9174     10.3077    8.4596















































































































































































0.204      5.156      11.46      OP
0.0561     7.1121     11.7415    BA
-0.0207    12.0894    11.2902    ST
0.1104     17.1249    11.2388    IV
-3.7164    7.2446     11.1651    R_PG
-5.2561    9.6052     10.7633    R_ZTI
-1.8857    11.9511    12.1254    R_M3D
-2.4746    14.4401    12.2037    R_M12
-2.0022    17.0611    12.091     R_MP3
-1.0204    18.699     11.9228    R_PMI
4.0537     7.5046     10.8519    L_PG
5.332      9.8279     10.4006    L_ZTI
2.1581     11.9273    11.9077    L_M3D
2.5066     14.4808    11.937     L_M12
2.1915     17.0012    11.824     L_MP3
1.4925     18.5098    11.5898    L_PMI
-0.6337    20.3136    11.6836    O1
3.103      11.0758    6.2677     O2
-5.4111    9.3021     10.2768    O3
0.7952     3.3256     7.8854     O4




















































































































































































-3.5176    12.637     11.1847    RZYGINF
-3.6995    12.4372    11.1195
-3.8787    12.2861    11.0943
-4.0474    12.0686    11.1418
-4.1873    11.8519    11.1735
-4.3539    11.6179    11.2097
-4.5445    11.3049    11.2545
-4.6398    11.0879    11.2678
-4.6822    10.8571    11.2813
-4.7146    10.7139    11.2701
-4.821     10.5321    11.2146
-4.9596    10.3615    11.1343
-5.1437    10.2035    11.0137
-5.235     10.0264    10.9276
-5.2669    9.837      10.8503
-5.2695    9.713      10.8113
-5.2618    9.5996     10.7669





































































































































