BNNH       61776      Phk2stv
8.3794     3.2323     10.4096
8.6987     3.2448     10.3591
8.9529     3.1883     10.2652
9.0961     3.1869     10.2181
9.239      3.1966     10.1827
9.4022     3.1602     10.0766
9.5693     3.1229     9.9346
9.6884     3.1359     9.8581
9.7962     3.1548     9.7821
9.731      3.0704     9.6404
9.7993     3.1271     9.423
9.8223     3.0993     9.2221
9.8641     2.9692     9.0405
9.8583     2.936      8.8765




























































































































































5.4472     4.5177     7.48       RORBIT
5.2873     4.6619     7.4774
5.1364     4.7832     7.4672
4.9918     4.8903     7.4842
4.9104     5.0098     7.5472
4.7842     5.1009     7.5909
4.6882     5.1845     7.6583
4.6016     5.3022     7.7806
4.5089     5.39       7.9296
4.4675     5.4869     8.0768
4.4161     5.5758     8.1932
4.3575     5.6392     8.3148
4.3388     5.6939     8.5871
4.3638     5.7504     8.7816
4.4192     5.7165     8.9154
4.4525     5.6323     9.0927
4.5021     5.503      9.2438
4.5474     5.3386     9.4335
4.6226     5.22       9.5087
4.7096     5.068      9.5993
4.8149     4.9423     9.6173
4.9225     4.8022     9.6228
5.0293     4.6809     9.6657
5.121      4.5729     9.6707
5.2451     4.3984     9.6091
5.4503     4.2828     9.5835
5.6211     4.1768     9.5697
5.7193     4.0924     9.632
5.8502     4.0439     9.6229
5.9632     3.9175     9.5721
6.1805     3.7227     9.3577
6.3052     3.7653     9.0931
6.352      3.8031     8.9096
6.3799     3.8076     8.7472
6.4077     3.8208     8.6135
6.3814     3.7891     8.5087
6.3637     3.7562     8.3632



































































































































































8.3611     2.9182     7.603      LORBIT
8.5477     2.885      7.6557
8.7113     2.8627     7.7335
8.805      2.8369     7.7706
9.0102     2.7959     7.8851
9.1283     2.7789     8.0197
9.2701     2.7108     8.1363
9.3583     2.7557     8.3805
9.4245     2.7404     8.5817
9.4704     2.7554     8.7015
9.4694     2.7694     8.7836
9.456      2.788      8.9708
9.4346     2.8357     9.0835
9.3568     2.8293     9.3191
9.2613     2.7934     9.4938
9.1523     2.7725     9.5978
9.0045     2.7828     9.6977
8.9075     2.7886     9.7717
8.7812     2.8083     9.8078
8.5825     2.8303     9.8831
8.3484     2.8317     9.9473
8.1636     2.8985     9.9164
7.9803     2.9456     9.8667
7.8282     3.0225     9.8044
7.6808     3.075      9.7339
7.533      3.1546     9.7364
7.3746     3.208      9.7346
7.2577     3.2614     9.7518
7.1076     3.3178     9.681
6.9762     3.3136     9.6423
6.9056     3.4269     9.4315
6.817      3.4608     9.229
6.8346     3.4978     9.0081
6.909      3.5473     8.805
6.9025     3.5297     8.6245
6.9703     3.5042     8.4737
7.0692     3.5027     8.3585



































































































































































4.2558     6.2931     8.6721     RTEMFOS
4.1989     6.2974     8.4647
4.154      6.3178     8.2935
4.1286     6.3086     8.1344
4.0999     6.2816     8.0062
4.0698     6.2461     7.8799
4.0523     6.224      7.6907
3.9968     6.1651     7.6231
4.0089     6.1506     7.4286
3.9928     6.1064     7.263
3.9881     6.0864     7.1674
4.0168     6.0956     6.9838
4.0898     6.1048     6.7675
4.1207     6.0833     6.5743
4.1735     6.0835     6.4015
4.1621     6.2144     6.2925
4.1365     6.3412     6.2316
4.1407     6.5986     6.1849
4.2158     6.6547     6.1906
4.2377     6.82       6.2095
4.3142     6.903      6.2499
4.3064     7.0787     6.2796
4.3442     7.126      6.328
4.4069     7.236      6.4094
















































































































































































9.8755     2.9492     8.8956     LTEMFOS
9.8473     2.9722     8.6964
9.8716     2.9293     8.5589
9.9091     2.8828     8.4367
9.88       2.908      8.2669
9.8791     2.8468     8.1061
9.8491     2.8568     7.9529
9.8178     2.7786     7.8458
9.8006     2.805      7.7086
9.807      2.8076     7.5204
9.8039     2.7648     7.408
9.8364     2.7331     7.2331
9.857      2.6963     7.0971
9.9381     2.6924     6.8976
10.0509    2.753      6.7487
10.2012    2.8113     6.6259
10.3327    2.9043     6.5736
10.414     2.9829     6.5665
10.6145    3.073      6.5393
10.7201    3.1984     6.5943
10.782     3.3247     6.6563



















































































































































































5.8842     3.4532     10.7622    OP
6.9884     4.9343     10.3222    BA
9.0454     7.6822     9.2139     ST
11.0485    10.3832    8.358      IV
4.357      6.7957     9.3498     R_PG
4.8789     8.7485     8.7699     R_ZTI
7.8232     8.9614     9.8735     R_M3D
8.6767     10.5742    9.3457     R_M12
9.9878     11.6537    8.6974     R_MP3
10.5466    11.5948    8.5976     R_PMI
9.4461     2.8717     9.3863     L_PG
11.2533    3.9318     8.9324     L_ZTI
10.5219    6.9206     9.861      L_M3D
11.785     8.2775     9.4824     L_M12
12.4299    9.765      8.8635     L_MP3
12.4869    10.3605    8.6854     L_PMI
11.8977    12.1509    8.4114     O1
