BPI        M3070      Ppb1




































































































9999       9999       9999       RZYGINF







































































































































































































15.118     16.4406    4.5461     LZYGINF
15.2704    16.2495    4.5725
15.4067    16.194     4.5846
15.5448    16.1072    4.6116
15.6166    16.0387    4.6369
15.7732    15.93      4.6892
15.8381    15.8441    4.7567
15.902     15.699     4.8434
15.9452    15.6425    4.8836
16.0358    15.5237    4.9472
16.037     15.3446    4.993
16.0447    15.2192    5.0904
16.0834    15.0492    5.1509
16.0885    14.8392    5.2739
16.1035    14.6793    5.3477
16.0852    14.5082    5.4221
16.1365    14.2979    5.4849
16.2408    14.1026    5.5267
16.3442    13.9337    5.5209
16.3571    13.7353    5.5405
16.3371    13.5476    5.5767
16.3221    13.4716    5.5746
16.3593    13.3123    5.6038

















































































































































































9.5192     16.4776    6.5032     R-ALV
9.2944     16.7114    6.3634
9.1198     17.0645    6.3173
9.0348     17.3728    6.1913
9.0387     17.6626    5.9336
8.9803     17.9306    5.7857
9.0699     18.2651    5.7199
9.2267     18.5743    5.5205
9.2606     18.7567    5.3962
9.3574     18.981     5.2403
9.3988     19.0654    5.2058
9.5122     19.2677    5.073
9.5695     19.5131    4.9732
9.6942     19.7028    4.857
9.7481     19.8441    4.7596
9.785      19.9817    4.7115
9.8153     20.103     4.6632
9.8851     20.2966    4.5966
9.9489     20.3402    4.4718





















































































































































































13.9215    16.4466    6.1163     L-ALV
14.1332    16.8363    5.9655
14.2867    17.0574    5.8742
14.3161    17.3382    5.7266
14.349     17.523     5.6414
14.3594    17.7095    5.5288
14.3838    18.0666    5.3823
14.1423    18.2108    5.2106
14.1329    18.378     5.1425
14.0793    18.577     4.9959
14.0967    18.8824    4.9076
13.8585    19.117     4.789
13.7946    19.3541    4.6804
13.7284    19.6242    4.6565
13.6741    19.8383    4.5648
13.6134    20.143     4.5254
13.3492    20.3345    4.4988
