AMNH       81811      phu3ams2
0.3581     0.5203     -0.6605
0.3596     0.513      -0.6478
0.3638     0.4988     -0.6362
0.3652     0.4907     -0.6309
0.3696     0.48       -0.6242
0.3719     0.4754     -0.6212
0.379      0.4653     -0.6163
0.3831     0.461      -0.6141
0.3857     0.4574     -0.6123













































































































































































0.6531     0.3502     -0.6499    RTEMFOS
0.6545     0.3486     -0.6392
0.6558     0.3487     -0.6342
0.6561     0.3478     -0.6275
0.6559     0.3468     -0.6198
0.6551     0.3453     -0.6115
0.6539     0.3446     -0.6029
0.6521     0.3426     -0.5912
0.6492     0.3396     -0.5851
0.6467     0.3382     -0.5716
0.6445     0.3365     -0.563
0.6422     0.3333     -0.5527
0.6417     0.3284     -0.5416
0.6418     0.3259     -0.5327
0.6451     0.3254     -0.5213
0.6489     0.3266     -0.5162
0.6562     0.3284     -0.5103
0.6618     0.3285     -0.5073
0.6639     0.3357     -0.507
0.6719     0.3346     -0.5038
0.6852     0.3453     -0.5044
0.686      0.3504     -0.5055
0.6926     0.3516     -0.5061
0.6933     0.3509     -0.5034
0.7014     0.3549     -0.5039















































































































































































0.3491     0.5684     -0.6757    LTEMFOS
0.3459     0.5685     -0.6702
0.3447     0.5699     -0.6628
0.3399     0.5689     -0.6564
0.3404     0.5718     -0.6501
0.3391     0.5703     -0.6423
0.336      0.5691     -0.6334
0.3356     0.5691     -0.6279
0.3323     0.5678     -0.6205
0.3283     0.5654     -0.6113
0.3286     0.5648     -0.6038
0.3264     0.5634     -0.5977
0.3225     0.5604     -0.5899
0.3178     0.5577     -0.5771
0.3165     0.5583     -0.5619
0.3122     0.5601     -0.5492
0.3067     0.5643     -0.5429
0.3072     0.57       -0.5384
0.3072     0.5827     -0.533
0.3098     0.588      -0.5335
0.3115     0.5965     -0.533
0.3149     0.603      -0.5337
0.3164     0.6127     -0.5355
0.3176     0.6164     -0.537
















































































































































































0.2659     0.1801     -0.5663    OP
0.3194     0.2642     -0.5807    BA
0.455      0.4675     -0.5704    ST
0.6406     0.7306     -0.6187    IV
0.4839     0.1793     -0.5719    R_PG
0.5946     0.2317     -0.5263    R_ZTI
0.5795     0.4599     -0.6344    R_M3D
0.6562     0.5533     -0.6459    R_M12
0.7091     0.6474     -0.6534    R_MP3
0.7437     0.6997     -0.6523    R_PMI
0.1823     0.3828     -0.5869    L_PG
0.1874     0.5119     -0.5385    L_ZTI
0.4149     0.5829     -0.6409    L_M3D
0.4794     0.6806     -0.6525    L_M12
0.5527     0.7642     -0.6612    L_MP3
0.5931     0.8146     -0.6521    L_PMI
0.7493     0.8155     -0.6551    O1
0.6099     0.4358     -0.5312    O2
0.1597     0.4692     -0.5324    O3
0.2819     0.0761     -0.4593    O4




















































































































































































0.626      0.4105     -0.5234    RZYGINF
0.6239     0.4033     -0.5186
0.6218     0.3973     -0.515
0.6226     0.3905     -0.5105
0.6258     0.3821     -0.5077
0.6304     0.3693     -0.5066
0.628      0.3548     -0.5094
0.6281     0.3478     -0.511
0.6279     0.3408     -0.5127
0.6284     0.3341     -0.514
0.6295     0.3343     -0.5135
0.6309     0.3295     -0.5154
0.6295     0.3225     -0.5166
0.6327     0.3047     -0.5191
0.6272     0.309      -0.5201
0.6245     0.2986     -0.5215
0.6206     0.2914     -0.5227
0.6169     0.2843     -0.5236
0.6144     0.2767     -0.5251
0.6106     0.2652     -0.5269
0.6081     0.2588     -0.5294
0.6059     0.2458     -0.5277
0.6041     0.2364     -0.5246
0.6034     0.232      -0.5226
0.6018     0.2298     -0.5211















































































































































































0.3441     0.5998     -0.5424    LZYGINF
0.3377     0.5965     -0.5379
0.332      0.5918     -0.5339
0.3226     0.5892     -0.5288
0.3074     0.5821     -0.5298
0.2983     0.5798     -0.5324
0.2901     0.5756     -0.5349
0.281      0.5733     -0.5387
0.2716     0.5676     -0.5435
0.266      0.5628     -0.5453
0.2625     0.5639     -0.5453
0.258      0.5567     -0.5479
0.2486     0.5504     -0.5496
0.2437     0.5433     -0.5512
0.2395     0.5375     -0.5529
0.2313     0.5347     -0.554
0.2213     0.5307     -0.5524
0.2138     0.5232     -0.5503
0.2089     0.5187     -0.5497
0.1985     0.5157     -0.5471
0.1946     0.5083     -0.55
0.1899     0.5039     -0.543


















































































































































































0.5912     0.4598     -0.6326    R-ALV
0.6018     0.468      -0.6356
0.6065     0.4687     -0.6332
0.615      0.4738     -0.6325
0.6284     0.4897     -0.6325
0.6352     0.4995     -0.6338
0.6382     0.5049     -0.6371
0.6458     0.5159     -0.6397
0.6531     0.5256     -0.6402
0.6579     0.533      -0.6413
0.6598     0.5396     -0.6426
0.6613     0.5485     -0.6411
0.6633     0.5557     -0.644
0.6706     0.5682     -0.6452
0.6728     0.5705     -0.6455
0.6789     0.5791     -0.6425
0.679      0.5829     -0.6466
0.6792     0.5911     -0.6481
0.6857     0.5989     -0.6484
0.6944     0.6106     -0.6497
0.6967     0.6181     -0.6532
0.7013     0.6244     -0.6527
0.7085     0.6353     -0.6512
0.7107     0.6418     -0.6529
0.7117     0.6463     -0.6535















































































































































































0.4167     0.5815     -0.6419    L-ALV
0.4159     0.5885     -0.6417
0.4165     0.5935     -0.6431
0.4181     0.6064     -0.6423
0.4245     0.6164     -0.6466
0.4331     0.6294     -0.6453
0.4414     0.6377     -0.6472
0.449      0.647      -0.6488
0.4569     0.6593     -0.6507
0.4604     0.6663     -0.6512
0.4678     0.6734     -0.6517
0.4753     0.6774     -0.6515
0.4849     0.6858     -0.6538
0.4916     0.6925     -0.6554
0.4968     0.7018     -0.6548
0.5062     0.7108     -0.6541
0.5152     0.7153     -0.6568
0.5217     0.7236     -0.6585
0.5256     0.7335     -0.658
0.5336     0.7396     -0.6642
0.5377     0.749      -0.6608
0.5466     0.7599     -0.6597
0.5517     0.7639     -0.6599
