NMNH       197176     Phu24stv









































































11.5395    16.4492    14.3324    SUPORB
11.5294    16.344     14.686
11.5249    16.2203    14.9813
11.546     16.0938    15.2069
11.593     15.9038    15.4423
11.5812    15.6047    15.6688
11.5917    15.4404    15.7633
11.7018    15.1138    15.951
11.7182    14.9306    15.9979
11.7774    14.679     16.0686
11.8759    14.5957    16.1128
11.9927    14.3891    16.1918
12.1766    14.2052    16.2429
12.3221    14.0071    16.294
12.5131    13.8294    16.3623
12.6809    13.6862    16.3669
12.7508    13.4318    16.3861
12.7616    13.2       16.3533
12.7545    13.0287    16.3135
12.7378    12.8128    16.2267
12.8038    12.6605    16.1851
12.8008    12.5705    16.1186
12.8535    12.4502    16.0852
13.0432    12.3387    16.1088
13.2554    12.3073    16.2014
13.6004    12.2692    16.2873
13.9187    12.2499    16.3069
14.1154    12.0884    16.2912
14.258     11.9673    16.2594
14.4276    11.7739    16.2029
14.5097    11.6354    16.1419
14.5954    11.4711    16.0824
14.7105    11.3232    16.0037
14.7624    11.2006    15.9606
14.9986    11.0717    15.9189
15.1986    11.0289    15.898
15.4962    11.0788    15.8224
15.7281    10.9572    15.7165
15.9943    10.9803    15.5819
16.0921    10.8976    15.4157
16.279     10.9       15.2408
16.3826    10.8756    15.1038
16.4559    10.8844    14.9753
16.5873    10.8844    14.8138
16.6727    10.9205    14.7047
16.7603    10.9448    14.5422
16.8366    10.9721    14.3309
16.8512    10.9363    14.1372
16.8286    10.8644    14.0332























































































































































11.8111    13.825     12.6237    RORBIT
11.641     14.0877    12.6948
11.4733    14.2577    12.801
11.3779    14.4414    12.9106
11.3257    14.675     13.0545
11.265     14.8291    13.1575
11.2193    15.0499    13.3208
11.2193    15.1868    13.466
11.2706    15.3189    13.6352
11.2742    15.4151    13.7727
11.2857    15.4705    13.9395
11.3002    15.5128    14.0842
11.3116    15.5499    14.2927
11.3522    15.622     14.4831
11.3572    15.5726    14.6746
11.3064    15.4199    14.9585
11.3424    15.2726    15.0819
11.311     15.0767    15.2785
11.3135    14.7347    15.4584
11.3594    14.5664    15.4801
11.3709    14.3838    15.5103
11.4101    14.2011    15.524
11.4537    14.0429    15.5063
11.5427    13.8655    15.4949
11.5988    13.7079    15.4671
11.674     13.5724    15.4536
11.8048    13.4653    15.3665
11.994     13.3066    15.3516
12.1659    13.1721    15.3089
12.2206    13.0907    15.3182
12.3496    12.9019    15.3079
12.4811    12.7909    15.1432
12.5419    12.7449    14.9327
12.5772    12.7559    14.7949
12.6175    12.7432    14.6299
12.664     12.7451    14.4126
12.685     12.6919    14.2323
12.6923    12.7192    14.0851
12.681     12.7356    13.9729
12.6589    12.7069    13.8012



















































