NMNH       268891     Rpr5stv
2.6434     5.6229     5.4382
2.7093     5.6844     5.6684
2.7337     5.7408     5.8989
2.61       5.7639     6.2077
2.436      5.7509     6.4637
2.1255     5.7556     6.7897
1.8913     5.7507     6.9191
1.5444     5.6858     7.0167
1.1933     5.5897     7.0107
0.8122     5.4359     6.9552
0.532      5.3216     6.7575
0.2301     5.2644     6.5773
0.0823     5.3111     6.3455
0.0223     5.2719     6.0493
-0.0019    5.2588     5.8442
0.0063     5.2657     5.6889

















































































































































































-4.3854    6.5529     6.0657     RTEMFOS
-4.4423    6.5234     5.8233
-4.5266    6.4064     5.6403
-4.5501    6.3495     5.4141
-4.5351    6.2245     5.0923
-4.5086    6.1505     4.8226
-4.4809    6.0827     4.4962
-4.4899    6.1071     4.1941
-4.5145    6.1674     3.9897
-4.5764    6.3783     3.7927
-4.6844    6.6035     3.6397
-4.7391    6.7538     3.5443
-4.8026    7.0019     3.5336
-4.8243    7.1211     3.5196
-4.849     7.2565     3.5209

























































































































































































3.0472     6.2704     5.9548     LTEMFOS
3.1001     6.2065     5.7934
3.1128     6.1682     5.5447
3.1288     6.1055     5.3212
3.134      6.0551     5.1468
3.1135     5.9413     4.9337
3.088      5.9231     4.7371
3.0766     5.9146     4.4565
3.0858     5.9413     4.134
3.1262     6.0816     3.8977
3.2147     6.2496     3.7094
3.2924     6.4476     3.5832
3.3407     6.6252     3.5384
3.4137     6.8306     3.4903


























































































































































































-2.3543    5.098      6.9206     OP
-2.4181    6.8776     7.0228     BA
-2.6       10.2083    6.2576     ST
-2.7647    13.1023    5.8781     IV
-5.5484    6.9866     6.7784     R_PG
-6.7712    8.9732     6.2684     R_ZTI
-4.2169    10.162     6.8492     R_M3D
-4.6184    11.8218    6.8776     R_M12
-4.1078    13.5458    6.2599     R_MP3
-3.6819    13.898     6.1763     R_PMI
0.7291     7.5238     6.6597     L_PG
1.6607     9.5427     6.1094     L_ZTI
-0.8892    10.4797    6.7067     L_M3D
-0.7054    12.0685    6.7152     L_M12
-1.3631    13.6628    6.112      L_MP3
-1.7435    13.9562    5.9821     L_PMI
-2.4066    14.4935    5.8584     O1
0.428      10.0871    2.1865     O2
-6.8374    7.8974     5.9337     O3
-1.2167    3.3558     4.9937     O4




















































































































































































-5.6296    11.3706    5.911      RZYGINF
-5.8628    11.1431    5.9658
-6.0441    10.9455    6.0684
-6.1558    10.785     6.1013
-6.3175    10.5653    6.1135
-6.4837    10.3165    6.1401
-6.5754    10.006     6.237
-6.5871    9.8377     6.2861
-6.5915    9.6039     6.3078
-6.7164    9.4568     6.3339
-6.7492    9.2674     6.3304
-6.7549    9.0883     6.3254
-6.7712    8.9541     6.2731



























































































































































































0.4473     11.66      5.8279     LZYGINF
0.6463     11.417     5.877
0.7837     11.2414    5.9247
0.9403     11.0305    5.9556
1.0443     10.8571    6.0207
1.1356     10.6998    6.1224
1.237      10.4888    6.2137
1.3382     10.3397    6.2237
1.4154     10.1731    6.2301
1.4409     10.0971    6.2742
1.5384     9.9036     6.3422
1.5634     9.7486     6.3371
1.6018     9.6616     6.2585
1.6418     9.5396     6.1625
1.6586     9.5297     6.1021

























































































































































































-4.2714    10.2404    6.8558     R-ALV
-4.3758    10.4697    6.8986
-4.4419    10.6636    6.8746
-4.5016    10.8952    6.9081
-4.579     11.1692    6.8848
-4.6561    11.3982    6.8225
-4.6645    11.5661    6.9014
-4.628     11.816     6.875
-4.5868    12.1161    6.8064
-4.5654    12.3554    6.7733
-4.5056    12.4918    6.6941
-4.4551    12.6955    6.6247
-4.4122    12.9381    6.5593
-4.3195    13.1416    6.4844
-4.287     13.3808    6.3515
-4.1929    13.4678    6.2877
























































































































































































-1.0033    10.3707    6.7788     L-ALV
-0.7923    10.7687    6.6994
-0.7307    11.1221    6.6931
-0.702     11.323     6.6611
-0.6447    11.6117    6.6413
-0.6336    11.8511    6.5869
-0.675     12.0742    6.533
-0.7298    12.2965    6.4754
-0.7858    12.524     6.5172
-0.9821    12.8498    6.4345
-1.0235    13.0827    6.3702
-1.1844    13.2969    6.3803
-1.1957    13.4372    6.2076
-1.3579    13.6341    6.1287
