LSZT       R30        Phu171stv
5.6903     11.6183    13.6835
5.6699     11.6918    13.2754
5.8379     11.5456    13.1546






























































































































































-0.5992    9.9381     12.1407    RORBIT
-0.99      10.036     12.188
-1.2153    10.1261    12.2748
-1.3625    10.2356    12.4637
-1.5841    10.3681    12.668
-1.7243    10.5609    12.8527
-1.9264    10.7842    13.1354
-1.9741    10.9102    13.3303
-2.0033    10.9684    13.4901
-2.0245    10.9968    13.7541
-1.9709    11.0141    13.9858
-1.8316    10.9021    14.2744
-1.6428    10.7347    14.4901
-1.4601    10.5166    14.6752
-1.2468    10.4342    14.7103
-1.025     10.3459    14.7544
-0.761     10.2165    14.7565
-0.564     10.1515    14.736
-0.1813    10.004     14.7315
-0.0009    9.9697     14.7478
0.2694     10.0497    14.7403
0.4494     10.1206    14.7343
0.8111     10.0667    14.6644
0.966      10.0762    14.4128
1.0504     10.0927    14.1389
1.1053     10.0548    13.8928
1.097      10.0484    13.6112
1.0523     10.0489    13.4632
0.9949     10.0072    13.2808











































































































































































3.3437     9.9406     12.0465    LORBIT
3.6882     9.9215     12.0393
3.9663     9.9996     12.0494
4.1749     10.1312    12.1123
4.3473     10.2287    12.1798
4.4773     10.3188    12.2311
4.7485     10.3857    12.3433
4.8617     10.5981    12.5487
4.9703     10.7699    12.7373
5.0335     10.8535    12.9795
5.0737     10.8988    13.2357
5.15       10.8796    13.4492
5.1339     10.8173    13.5991
5.0951     10.7423    13.7855
5.0073     10.6571    13.9057
4.9191     10.5469    14.109
4.6553     10.4872    14.1844
4.5212     10.3658    14.3343
4.2775     10.2805    14.4568
4.0888     10.1561    14.5849
3.8251     10.001     14.5428
3.4326     9.9066     14.5175
3.1635     9.9192     14.4569
2.8594     9.949      14.5418
2.5391     10.0449    14.5764
2.2244     10.0379    14.3216
2.0695     10.0287    14.0062
1.9677     10.0085    13.6594
1.977      10.025     13.4413
1.9782     9.9928     13.3438
1.986      9.9538     13.1897









































































































































































-2.7177    11.5887    13.7375    RTEMFOS
-2.7543    11.5047    13.6044
-2.7742    11.4385    13.407
-2.8147    11.3581    13.1901
-2.8853    11.2777    13.0491
-2.9055    11.2341    12.8784
-2.9145    11.1538    12.6912
-2.9195    11.0431    12.4363
-2.9411    10.9304    12.2042
-2.9289    10.8302    11.9863
-2.9389    10.737     11.7579
-3.028     10.5894    11.4426
-3.0776    10.5366    11.276
-3.1542    10.5013    11.0698
-3.3468    10.632     10.8284
-3.5952    10.8353    10.6851
-3.7544    11.0429    10.6345
-3.8251    11.2455    10.6621
-3.9416    11.4551    10.6471
-3.9511    11.6579    10.7089
-3.9684    11.7316    10.7331



















































































































































































5.8319     11.4848    13.062     LTEMFOS
5.8315     11.4653    12.8728
5.8762     11.3564    12.6846
5.8867     11.2608    12.5506
5.9        11.1921    12.4607
5.8858     11.0837    12.2837
5.8754     11.0019    12.102
5.8585     10.9013    11.9122
5.8439     10.8379    11.715
5.786      10.758     11.5154
5.7514     10.679     11.3347
5.7709     10.5931    11.185
5.7725     10.4319    11.0196
5.7688     10.4293    10.8163
5.8361     10.327     10.6104
5.9345     10.2895    10.3609
6.014      10.3992    10.1299
6.1341     10.5262    9.9773
6.2825     10.707     9.873
6.4628     10.9251    9.8678
6.5555     11.1318    9.8531
6.6291     11.3622    9.8429
6.6881     11.6332    9.8857

















































































































































































0.7294     4.8715     12.9083    OP
0.7504     7.2053     13.024     BA
0.666      12.6232    12.5869    ST
0.8706     19.9218    12.8088    IV
-3.474     7.6294     12.598     R_PG
-4.9834    10.2804    11.5955    R_ZTI
-1.4318    13.9692    13.9257    R_M3D
-1.7603    16.9441    13.9418    R_M12
-1.576     19.688     13.9914    R_MP3
-1.0336    21.2092    13.5522    R_PMI
4.8101     7.7346     12.7221    L_PG
6.3195     10.5208    11.6574    L_ZTI
2.9912     14.0833    13.8167    L_M3D
3.4817     16.7274    13.324     L_M12
9999       9999       9999       L_MP3
2.629      20.7224    13.1938    L_PMI
3.7336     20.752     15.6083    O1
-2.489     10.5296    5.8561     O2
6.4548     10.4038    10.7612    O3
0.2368     2.0193     9.9109     O4




















































































































































































-3.0081    13.9633    11.6224    RZYGINF
-3.1578    13.6936    11.4811
-3.3876    13.4605    11.2966
-3.5838    13.3131    11.2374
-3.8805    13.1375    11.2314
-4.0662    12.9472    11.2795
-4.2517    12.7538    11.3537
-4.2873    12.578     11.4258
-4.2198    12.3509    11.5562
-4.2141    12.1466    11.6233
-4.2588    11.9115    11.6623
-4.3702    11.6716    11.7157
-4.4718    11.4092    11.6984
-4.5658    11.3038    11.6638
-4.6785    11.1493    11.6523
-4.7452    10.9233    11.6941
-4.8243    10.7238    11.6906
-4.8935    10.5501    11.6923
-4.9236    10.4697    11.6658
-4.9905    10.3187    11.6273




















































































































































































4.2402     14.1384    11.4402    LZYGINF
4.4882     13.8976    11.2389
4.7235     13.7743    10.9917
4.9384     13.5042    10.942
5.1481     13.3776    10.9295
5.3148     13.1334    11.0552
5.3691     12.9413    11.1671
5.4044     12.7686    11.2141
5.5083     12.5365    11.3269
5.5464     12.4118    11.4027
5.6108     12.2499    11.4777
5.5816     12.0698    11.5329
5.6577     11.9876    11.5516
5.7468     11.7082    11.6255
5.9028     11.5136    11.6271
5.9827     11.2956    11.6298
6.0875     11.135     11.6695
6.1032     10.9777    11.6853
6.1769     10.7989    11.6758
6.23       10.6775    11.6589
6.2406     10.5186    11.6518



















































































































































































-1.4572    13.9994    13.9519    R-ALV
-1.6878    14.4197    13.9413
-1.8435    14.7389    13.8983
-1.9151    15.1964    13.821
-1.8437    15.5954    13.8584
-1.8336    16.0688    13.8483
-1.888     16.4528    13.787
-1.8111    16.8334    13.7984
-1.7746    17.3143    13.6921
-1.7298    17.6148    13.724
-1.673     17.8868    13.7116
-1.6157    18.1567    13.6443
-1.7016    18.4885    13.759
-1.7279    18.7863    13.8412
-1.716     18.9976    13.8483
-1.7275    19.1818    13.8181
-1.7254    19.3156    13.8318
-1.7142    19.5438    13.7789






















































































































































































9999       9999       9999       L-ALV
