NMNH       452507     Phc7stv
10.4539    15.2485    15.494
10.5122    15.1273    15.6188
10.5572    14.9725    15.7255
10.6535    14.8224    15.8563
10.6978    14.6754    15.9349
10.7908    14.5383    16.0198
10.9856    14.3741    16.1603
11.0518    14.2339    16.1923
11.2499    13.9236    16.2937
11.3668    13.7809    16.3349
11.4726    13.5843    16.3546
11.5646    13.4531    16.3813
11.6504    13.3481    16.3961
11.6889    13.1612    16.3815
11.7583    13.0195    16.3715
11.8959    12.8884    16.3728
11.9566    12.6954    16.353
12.052     12.5886    16.3637
12.1338    12.4334    16.3389
12.2321    12.2453    16.3049
12.2853    12.1311    16.2567
12.3667    12.0093    16.2293
12.4974    11.8185    16.1959
12.5848    11.7583    16.1578
12.6793    11.6978    16.2084
12.8464    11.6302    16.2505
13.0268    11.632     16.3071
13.1919    11.6056    16.3603
13.343     11.535     16.3732
13.6456    11.4507    16.4336
13.7445    11.409     16.4436
13.9313    11.1955    16.4115
14.0075    11.046     16.3874
14.1033    10.967     16.3524
14.3301    10.8913    16.3312
14.5999    10.7806    16.2903
14.7743    10.748     16.2875
15.0129    10.579     16.213
15.2627    10.4879    16.1299
15.3486    10.3936    16.0738
15.5251    10.3024    15.9876
15.7133    10.1815    15.8398
15.8794    10.1693    15.7541
16.0166    10.1467    15.6881
16.2006    10.1085    15.5044
16.3599    10.1015    15.3113
16.4378    10.0697    15.1448
16.5635    10.0806    15.0295
16.6507    10.0593    14.831
16.7991    10.1162    14.6511
16.8569    10.127     14.5006

















































































































































11.4719    13.1005    12.9896    RORBIT
11.3157    13.2322    12.9803
11.1778    13.4314    12.9687
10.979     13.6273    13.0136
10.8558    13.8448    13.0694
10.7324    14.0084    13.1732
10.6496    14.1339    13.263
10.5551    14.3076    13.4002
10.5321    14.4049    13.4957
10.4954    14.48      13.5882
10.4432    14.5723    13.7318
10.4025    14.6312    13.8772
10.3855    14.6543    13.9841
10.378     14.6843    14.1503
10.3841    14.6914    14.2926
10.2715    14.7337    14.5517
10.2851    14.6302    14.7576
10.2372    14.5937    15.0071
10.3384    14.3506    15.1463
10.4379    14.1923    15.2214
10.5241    14.028     15.307
10.594     13.9421    15.35
10.7268    13.7408    15.3724
10.7106    13.5655    15.4518
10.8488    13.388     15.4062
10.9842    13.2793    15.4152
11.1051    13.1521    15.4252
11.1152    12.9564    15.4442
11.3034    12.7984    15.4136
11.431     12.6547    15.4027
11.5974    12.5186    15.3912
11.7009    12.4056    15.358
11.7714    12.3292    15.3477
11.8894    12.2216    15.3491
12.0064    12.2526    15.1894
12.05      12.2076    15.0135
12.0529    12.2139    14.9111
12.0929    12.1673    14.7252
12.1314    12.1491    14.5699
12.1496    12.0996    14.4278
12.1761    12.0981    14.3061
12.1912    12.0697    14.1802
12.1757    12.0456    14.0494
12.1513    12.0719    13.9426
12.1142    12.0337    13.8252



























































































































































14.005     10.7463    13.0021    LORBIT
14.1032    10.6579    12.9748
14.2667    10.5333    12.9255
14.4897    10.3922    12.9677
14.7202    10.3503    13.046
14.9102    10.3089    13.1036
15.1028    10.218     13.2241
15.2617    10.1786    13.3331
15.3794    10.1825    13.4261
15.4994    10.1494    13.5665
15.5964    10.1046    13.7399
15.6325    10.0656    13.8723
15.6674    10.0384    14.1149
15.71      9.9839     14.3334
15.6718    9.9787     14.6015
15.5603    9.9196     14.8055
15.4637    9.929      14.9759
15.3469    9.9355     15.1245
15.1877    9.9199     15.2982
15.0611    9.9486     15.3543
14.8872    10.0124    15.4098
14.7505    10.0432    15.4522
14.6034    10.0768    15.4806
14.4336    10.1484    15.4444
14.2357    10.2462    15.4447
14.0914    10.3498    15.4189
13.8823    10.4516    15.3923
13.7513    10.4975    15.4239
13.5869    10.6125    15.425
13.4856    10.7731    15.4336
13.3831    10.8843    15.4147
13.1765    10.991     15.4649
13.0662    11.1525    15.3479
13.0109    11.2772    15.0975
12.9887    11.293     14.8293
12.9589    11.3147    14.7018
12.8804    11.3815    14.5725
12.8702    11.4455    14.3699
12.8485    11.4609    14.2035
12.862     11.4486    14.0945
12.8252    11.4409    13.9983
12.8199    11.4106    13.8206






























































































































































10.2516    15.7727    14.6104    RTEMFOS
10.199     15.7978    14.2761
10.1237    15.7722    13.996
