FMNH       98095      Phu57stv
6.6067     8.6878     9.2094
6.7066     8.5635     9.2927
6.7219     8.4697     9.3324
6.7907     8.3652     9.3886
6.9208     8.2457     9.4055
7.0237     8.0707     9.3849
7.1298     7.9736     9.3883
7.272      7.8646     9.3983
7.4078     7.7348     9.4014
7.5243     7.6574     9.4681
7.6166     7.538      9.4793
7.67       7.4426     9.5738
7.7131     7.3545     9.6456
7.7987     7.1934     9.6713
7.9246     7.0704     9.7649
8.052      6.975      9.8112
8.2101     6.8377     9.8147
8.3767     6.7161     9.7908
8.4836     6.6809     9.7373
8.6538     6.5795     9.6385
8.7572     6.5408     9.6022
8.9559     6.4783     9.4529
9.1483     6.3692     9.4679
9.2739     6.2674     9.4276
9.4429     6.1413     9.4155
9.5577     6.0478     9.4523
9.7219     5.934      9.4668
9.9002     5.832      9.4556
10.1307    5.7443     9.3784
10.3141    5.7455     9.2203
10.546     5.8367     9.0818
10.7342    6.0161     8.9127
10.805     6.1468     8.7578
10.8184    6.3018     8.6052
10.7746    6.5749     8.4345
10.8399    6.7151     8.3967
10.8713    6.7724     8.1995
10.9365    6.8565     8.0169
10.9604    6.884      7.8941
10.9971    6.9181     7.7568
11.1148    6.9787     7.525
11.1324    6.9807     7.4559
11.2438    6.9962     7.3075
11.335     7.0028     7.1991
11.4645    6.9675     7.043
11.593     6.9408     6.8811
11.7036    6.9578     6.754
11.8352    6.999      6.5967
11.8978    7.0683     6.3959
11.9351    7.1194     6.2569
11.9579    7.177      6.1268





































































































































7.847      13.5784    14.798     SUPORB
7.8601     13.5062    15.2377
7.8791     13.4135    15.5831
7.9342     13.2825    15.9389
7.9906     13.2028    16.1186
8.0666     13.0814    16.3164
8.1313     12.9649    16.4663
8.1721     12.8066    16.5912
8.2035     12.5647    16.7163
8.228      12.3704    16.7964
8.2892     12.1329    16.899
8.4474     11.9846    16.963
8.5111     11.8632    16.9957
8.6095     11.7801    17.0602
8.8805     11.5068    17.205
9.0794     11.449     17.273
9.3254     11.2936    17.3527
9.5089     11.161     17.3965
9.7191     11.0152    17.4324
9.8532     10.7897    17.4394
9.9468     10.5566    17.4251
10.0139    10.3967    17.394
10.0377    10.2181    17.347
10.0772    9.9741     17.2799
10.1254    9.6769     17.1712
10.2432    9.6095     17.1276
10.2674    9.3809     17.0791
10.5454    9.2622     17.149
10.7302    9.3075     17.2214
10.9431    9.2307     17.3001
11.1342    9.2579     17.3586
11.4222    9.2187     17.3785
11.6442    9.1535     17.3769
11.8621    9.0396     17.3611
12.0695    8.8345     17.3034
12.291     8.7327     17.2646
12.4861    8.6087     17.2033
12.7457    8.505      17.1206
12.9451    8.4148     17.0523
13.1351    8.3694     17.0068
13.4566    8.3247     16.89
13.5835    8.3465     16.8431
13.7686    8.2985     16.7679
13.9824    8.2904     16.679
14.1129    8.3106     16.5933
14.2736    8.2959     16.4778
14.3781    8.227      16.3725
14.5084    8.1939     16.213
14.6035    8.191      16.0438
14.7331    8.1512     15.7238
14.8099    8.1367     15.481
14.8353    8.0938     15.3261
14.82      8.0343     15.1879



















































































































































8.8257     11.0003    13.5345    RORBIT
8.6111     11.2201    13.5234
8.5159     11.4255    13.5621
8.3695     11.6374    13.651
8.2648     11.8506    13.792
8.1868     12.0166    13.9315
8.1299     12.1271    14.0287
8.0756     12.2696    14.195
8.0985     12.3687    14.3839
8.1048     12.4399    14.5398
8.0624     12.4827    14.6954
8.0405     12.5216    14.8158
7.9906     12.5244    15.0448
7.9112     12.4779    15.3316
7.8889     12.3756    15.4917
7.8991     12.2607    15.6197
7.9852     12.0176    15.883
8.024      11.7691    16.0088
8.0075     11.4898    16.1547
8.1465     11.2028    16.1448
8.236      11.0149    16.16
8.3277     10.848     16.1865
8.4435     10.7       16.2262
8.6461     10.5509    16.1717
8.8339     10.4899    16.1198
8.9999     10.3178    16.1388
9.14       10.1533    16.1562
9.2439     10.073     16.1318
9.3566     9.9721     16.104
9.4643     9.9237     16.0839
9.6372     9.7968     16.0297
9.674      9.7048     15.9301
9.7313     9.6929     15.7484
9.7749     9.6711     15.5917
9.8452     9.6437     15.3283
9.8797     9.6085     15.1725
9.9035     9.6011     14.9288



































































































































































12.1429    8.2881     13.4466    LORBIT
12.3311    8.2252     13.4524
12.5072    8.1601     13.4844
12.7196    8.0771     13.528
12.954     7.9861     13.6415
13.1372    7.9506     13.7523
13.2712    7.9194     13.8602
13.4311    7.8861     13.9799
13.6309    7.8435     14.1867
13.721     7.8742     14.367
13.79      7.8645     14.5565
13.8272    7.8395     14.6157
13.8192    7.8487     14.7736
13.8617    7.8172     14.9591
13.9286    7.7266     15.1002
13.8498    7.7382     15.2566
13.7835    7.6976     15.4103
13.638     7.6803     15.5825
13.5424    7.6606     15.7034
13.3212    7.6703     15.8507
13.1313    7.6538     15.9824
12.989     7.6243     16.0821
12.8376    7.7106     16.1072
12.6984    7.7421     16.1393
12.5225    7.7555     16.1727
12.3839    7.8359     16.178
12.1794    7.8129     16.2285
12.0467    7.8853     16.223
12.0003    7.9235     16.2066
11.8495    8.1073     16.1112
11.6959    8.1996     16.05
11.4889    8.1925     16.1215
11.3182    8.3227     16.2144
11.1238    8.5327     16.1935
10.9584    8.7346     16.0849
10.7599    8.8725     16.053
10.6753    9.0034     15.6675
10.68      9.064      15.4308
10.7041    9.1161     15.2473
10.6919    9.1199     15.1548
10.6385    9.106      14.9721
10.645     9.0906     14.8704
10.6325    9.0931     14.7927





























































































































































7.8672     13.5627    14.8726    RTEMFOS
7.7994     13.5574    14.6604
7.748      13.5419    14.4627
7.7258     13.5469    14.2082
7.7035     13.534     14.056
7.6516     13.4843    13.9252
7.6369     13.4684    13.7477
7.6021     13.4524    13.4804
7.549      13.403     13.317
7.511      13.369     13.0861
7.4729     13.3401    12.8935
7.4514     13.3283    12.7779
7.4143     13.3225    12.5653
7.333      13.3056    12.4008
7.3336     13.3605    12.1998
7.288      13.4044    12.0102
7.2983     13.448     11.8928
7.3402     13.5534    11.7401
7.3614     13.661     11.6238
7.387      13.783     11.5503
7.4185     13.916     11.4938
7.4683     14.0754    11.4916
7.5253     14.1804    11.5006
