TMP        STS 397    Ppb11
11.3775    16.5032    9.6699
11.2473    16.3736    9.551
11.1881    16.2778    9.3699
11.1689    16.1929    9.2905























































































































































































9999       9999       9999       LZYGINF







































































































































































































9999       9999       9999       R-ALV







































































































































































































17.9682    17.8864    11.6923    L-ALV
18.0727    18.0758    11.7099
18.2248    18.4279    11.6084
18.3147    18.6683    11.7134
18.3192    18.9301    11.7501
18.3092    19.1886    11.7789
18.3401    19.508     11.892
18.3414    19.6759    11.9235
18.2401    20.0311    11.8228
18.2377    20.4037    11.843
18.1676    20.655     11.8029
18.124     20.9716    11.6648
17.9952    21.2989    11.8118
17.9202    21.5514    11.6388
17.8639    21.7251    11.6406
17.7714    21.9206    11.6563
17.7167    22.0039    11.627
