UWMA       MP221      Ppw1
10.3727    26.3654    10.9188
10.2359    26.4563    11.0125
10.0534    26.5189    11.1243
9.9286     26.6206    11.2119
9.7133     26.7036    11.2793
9.5509     26.7715    11.3519
9.3197     26.8444    11.4214
9.1996     26.8968    11.4405
9.093      26.9766    11.4934
8.8695     27.1093    11.5273
8.446      27.2464    11.56
8.1302     27.3309    11.5926
7.8669     27.4905    11.5692
7.7282     27.5677    11.553
7.5427     27.6759    11.5209
7.3931     27.7812    11.5018
7.2455     27.8445    11.4813
7.0779     27.781     11.5145
6.7909     27.7076    11.5631
6.5586     27.7156    11.5472
6.2636     27.7136    11.5441
6.0688     27.6738    11.5302
5.7807     27.6556    11.506
5.4226     27.6523    11.4478
5.0843     27.6322    11.3622
4.7792     27.6098    11.2501
4.5068     27.593     11.1179
4.2384     27.5896    10.9549
3.9599     27.5495    10.7332
3.7522     27.511     10.5547
3.6312     27.4771    10.3727
3.5063     27.4408    10.1861
3.4612     27.4198    10.0876
3.4259     27.486     9.8967
3.3724     27.5054    9.6451
3.3824     27.5706    9.4792
































































































































































9.5675     28.439     8.4692     RORBIT
9.8323     28.3129    8.5487
10.0199    28.1328    8.6656
10.1745    27.9084    8.8055
10.3075    27.7504    8.898
10.4069    27.5339    8.9989
10.5322    27.3521    9.1791
10.599     27.156     9.3968
10.5656    27.0558    9.5535
10.6274    26.9577    9.8018
10.5972    26.9407    10.0038
10.4982    26.9495    10.1857
10.3153    26.8702    10.489
10.1603    26.9315    10.6053
10.0114    27.0121    10.704
9.7751     27.1187    10.8358
9.6        27.1646    10.91
9.4769     27.2213    10.9787
9.3543     27.297     11.0166
9.1548     27.3803    11.0104
8.9864     27.4934    11.0001
8.7798     27.5896    10.9861
8.5608     27.6974    11.0068
8.4425     27.702     11.0793
8.1375     27.7881    11.119
7.9601     27.9057    11.0013
7.8753     28.0283    10.9355
7.8223     28.1676    10.6291
7.82       28.2209    10.3792
7.8334     28.3593    10.1097
7.8872     28.4214    9.9224
7.9969     28.5092    9.7447








































































































































































5.4826     29.025     8.4612     LORBIT
5.2779     28.9463    8.5331
5.0308     28.8831    8.5697
4.7459     28.8003    8.6808
4.5049     28.6523    8.8194
4.3309     28.4915    8.9404
4.2559     28.3908    9.0516
4.1807     28.2892    9.1164
4.1049     28.1267    9.2768
3.9399     28.0759    9.529
3.9719     27.9593    9.7608
4.0135     27.9684    9.9945
4.154      27.9339    10.1971
4.2736     27.9001    10.3257
4.4333     27.8627    10.4882
4.5963     27.8955    10.596
4.7652     27.9623    10.7086
4.9552     27.9763    10.8185
5.185      28.0789    10.9296
5.4324     28.1047    10.9854
5.6531     28.1435    10.9603
5.9103     28.1455    10.9351
6.0747     28.1385    10.9138
6.208      28.1108    10.9713
6.4283     28.1343    10.9941
6.717      28.1971    10.9097
6.8218     28.2677    10.6921
6.8295     28.2734    10.5164
6.8648     28.4074    10.2071
6.8416     28.4221    10.052
6.8094     28.4446    9.8678
6.7857     28.4401    9.7654
6.7672     28.521     9.5367







































































































































































11.0058    26.2778    9.7584     RTEMFOS
11.1069    26.4826    9.3697
11.1139    26.6188    9.0269
11.144     26.7945    8.7344
11.1696    26.9789    8.4963
11.2323    27.1322    8.227
11.2975    27.3054    7.9051
11.4235    27.3556    7.6213
11.5428    27.3978    7.3993
11.6201    27.3207    7.2755
11.6867    27.2554    7.1611
11.782     27.1363    7.0573
11.9327    27.0752    7.0067
12.0176    26.938     6.9324
12.0534    26.7715    6.8306
12.0595    26.6043    6.7921
12.0973    26.464     6.7294
12.1095    26.346     6.7291






















































































































































































3.371      27.5803    9.585      LTEMFOS
3.3796     27.7274    9.4047
3.3828     27.8573    9.2227
3.3281     27.8997    8.9674
3.2888     27.9706    8.8092
3.2989     28.1287    8.5941
3.3177     28.1797    8.4644
3.3475     28.2278    8.3499
3.2815     28.3446    8.1746
3.2529     28.4139    7.9505
3.2595     28.4945    7.8265
3.2466     28.5867    7.7235
3.2224     28.6455    7.5274
3.1783     28.6264    7.4634
3.1317     28.651     7.2031
3.0006     28.6189    7.0963
2.8707     28.5983    6.9617
2.76       28.5064    6.8748
2.6352     28.4086    6.7929
2.5587     28.3133    6.7593
2.4895     28.215     6.7347
2.4223     28.0644    6.7169
2.3631     27.9268    6.7051
2.2844     27.8109    6.7258
2.2631     27.6718    6.7549















































































































































































8.6254     31.4343    9.4706     OP
8.1107     29.5861    9.311      BA
6.6198     23.8434    8.2644     ST
5.3232     19.5639    8.338      IV
12.2324    28.1582    8.8558     R_PG
13.1425    26.2016    7.9064     R_ZTI
8.9907     22.7998    9.557      R_M3D
