AMNH       80771      Phu10stv
7.3027     4.9741     10.239
7.4468     4.8261     10.2652
7.5565     4.653      10.2675
7.647      4.5701     10.3225
7.7263     4.3992     10.3812
7.7789     4.3278     10.4161
7.8424     4.1867     10.5425
7.9199     4.0376     10.6246
7.9728     3.9589     10.6915
8.0398     3.8474     10.7425
8.107      3.8052     10.7436
8.2005     3.6704     10.7236
8.2938     3.5914     10.7404
8.3951     3.5213     10.7171
8.4478     3.4301     10.6657
8.6309     3.3237     10.5151
8.7465     3.2748     10.4295
8.803      3.2264     10.3344
8.9045     3.2075     10.2647
9.1208     3.091      10.202
9.2678     3.0173     10.1367
9.3414     2.8863     10.136
9.4788     2.8128     10.1634
9.6286     2.7431     10.1806
9.7417     2.6638     10.1313
9.8365     2.6397     10.0073
9.9123     2.5871     9.9634
10.053     2.5231     9.9692
10.2164    2.5619     9.7763
10.3057    2.7724     9.5744
10.2768    2.8886     9.3729
10.2923    3.0057     9.1848
10.3178    3.0859     8.9946
10.3675    3.2011     8.8269
10.3665    3.2287     8.6413
10.434     3.2538     8.4583
10.5224    3.3223     8.3163
10.6141    3.3821     8.0782
10.7154    3.4412     7.917
10.8047    3.4397     7.7472
10.9725    3.4166     7.5985
11.0636    3.3826     7.4381
11.1727    3.3685     7.3476
11.2696    3.3905     7.1253
11.2859    3.4262     6.8466
11.342     3.4854     6.6876
11.3801    3.5293     6.5989
11.4283    3.5843     6.4192
































































































































8.6577     9.7575     14.3376    SUPORB
8.659      9.776      14.5749
8.6937     9.7776     14.7941
8.7587     9.7193     15.0492
8.9374     9.7067     15.1706
8.9635     9.6088     15.4627
9.0215     9.5222     15.6139
9.0433     9.3382     15.7895
9.0964     9.1172     15.9732
9.1569     8.9452     16.0969
9.2276     8.6738     16.2631
9.2604     8.5236     16.3277
9.3856     8.3734     16.4313
9.5774     8.2428     16.554
9.7375     8.1196     16.6741
9.8467     7.9822     16.7426
10.0315    7.8196     16.8386
10.1329    7.6463     16.8673
10.1957    7.4817     16.9052
10.2743    7.3565     16.9196
10.3267    7.1382     16.9165
10.4121    6.981      16.9298
10.4905    6.8061     16.8954
10.5721    6.5636     16.8386
10.6635    6.4296     16.8112
10.6914    6.2643     16.7877
10.835     6.1036     16.7257
10.9143    6.0047     16.7127
10.9854    5.917      16.7035
11.2048    5.8845     16.6953
11.4101    5.869      16.7637
11.574     5.8478     16.7926
11.7044    5.8251     16.8042
11.923     5.8826     16.8457
12.1352    5.8751     16.8579
12.33      5.8636     16.8528
12.5843    5.7006     16.7995
12.6353    5.5589     16.7352
12.7425    5.4103     16.6648
12.8501    5.3372     16.6107
13.0071    5.213      16.5153
13.1527    5.1521     16.4442
13.3212    5.1044     16.363
13.4374    5.0133     16.2593
13.5669    4.9389     16.1623
13.8305    4.9213     15.9713
13.9996    4.881      15.8405
14.1776    4.876      15.7046
14.2854    4.8886     15.6399
14.5046    4.7787     15.1587
14.743     4.8228     14.9604
14.8046    4.7378     14.5415
14.8121    4.6287     14.2526
14.8211    4.6479     14.1012
14.8103    4.6142     13.8451
14.7939    4.578      13.7986
















































































































































9.0189     7.464      12.9903    RORBIT
8.8747     7.6003     13.0198
8.7527     7.6883     13.0399
8.6737     7.8253     13.1092
8.6017     7.9465     13.1928
8.5743     8.0808     13.2378
8.5452     8.2438     13.3312
8.5697     8.3511     13.4368
8.5763     8.4681     13.5291
8.5893     8.5898     13.6376
8.6233     8.6745     13.7544
8.6276     8.7567     13.8656
8.631      8.7868     13.9588
8.6503     8.8476     14.0824
8.6288     8.8707     14.2069
8.6737     8.8954     14.3034
8.6804     8.949      14.4355
8.6652     8.9687     14.5771
8.6881     8.9321     14.7609
8.7425     8.8855     14.8494
8.7612     8.7986     15.0369
8.7865     8.6939     15.1853
8.8109     8.578      15.3307
8.8341     8.4127     15.4741
8.8769     8.2991     15.5381
8.9687     8.133      15.6212
9.0122     8.0554     15.6519
9.0703     7.9023     15.7056
9.1351     7.7318     15.7169
9.1819     7.5637     15.7458
9.2819     7.3978     15.7692
9.3878     7.3675     15.7304
9.4576     7.2943     15.7282
9.5391     7.208      15.6889
9.7844     6.9062     15.8277
9.8032     6.7907     15.9123
9.9753     6.6938     15.8949
10.0427    6.5816     15.8677
10.2642    6.445      15.5418
10.2853    6.3728     15.3609
10.3156    6.3731     15.2136
10.3139    6.3411     15.0107
10.3103    6.3365     14.8918
10.3107    6.2863     14.7607
10.3214    6.2672     14.6593
10.2819    6.1992     14.5748
10.2699    6.1823     14.4661
10.2388    6.1644     14.3121
























































































































































12.2311    4.5027     12.7792    LORBIT
12.3725    4.3772     12.8017
12.552     4.2471     12.8463
12.724     4.1519     12.8495
12.8625    4.1374     12.9423
12.982     4.14       13.0267
13.1329    4.0787     13.1067
13.3971    4.1457     13.2357
13.5369    4.188      13.3339
13.6482    4.2261     13.4369
13.7336    4.273      13.5596
13.8251    4.3038     13.6836
13.8915    4.3075     13.8139
13.9663    4.2993     13.925
13.9727    4.3276     14.0312
13.895     4.2849     14.2259
13.8378    4.2821     14.3693
13.7365    4.2977     14.5223
13.6717    4.3019     14.622
13.6108    4.2846     14.6962
13.5158    4.2802     14.8279
13.4101    4.3347     14.9133
13.3089    4.3007     15.0189
13.2337    4.3354     15.063
13.1154    4.3071     15.1514
12.9339    4.2964     15.2916
12.8265    4.3196     15.3729
12.6654    4.4093     15.3706
12.5353    4.5036     15.4028
12.3625    4.5492     15.5025
12.2621    4.6415     15.5162
12.094     4.7583     15.4991
11.8763    4.9776     15.6825
11.7643    5.0831     15.7672
11.6349    5.1853     15.7777
11.5015    5.3131     15.7966
11.3617    5.3951     15.7109
11.2677    5.5485     15.4828
11.1872    5.5968     15.3291
11.1346    5.6346     15.1707
11.0851    5.6767     14.8928
11.0009    5.6353     14.7606
10.898     5.6041     14.5873
10.9157    5.6142     14.429
10.8666    5.5758     14.2468
10.8643    5.5448     14.1679
10.8165    5.4919     14.0136

























































































































































8.5422     9.729      14.3645    RTEMFOS
8.4224     9.7213     14.0575
8.3914     9.7417     13.8355
8.3133     9.7628     13.5805
8.2426     9.734      13.4352
8.1832     9.7225     13.271
8.1568     9.7103     13.1459
8.1241     9.7407     12.9862
8.1012     9.726      12.8512
8.0467     9.705      12.6785
7.9767     9.663      12.6109
7.9535     9.6642     12.4915
7.8954     9.6398     12.2753
7.8429     9.6093     12.1157
7.8081     9.5931     12.0166
7.7849     9.5821     11.9306
7.7277     9.5758     11.7828
7.6702     9.5357     11.6561
7.6069     9.5481     11.542
7.6441     9.6241     11.3718
7.6123     9.7009     11.2711
7.663      9.9001     11.1763
7.7303     10.0288    11.1224
7.7743     10.2031    11.139
7.8928     10.3081    11.1604
7.9414     10.4508    11.1806
8.0404     10.5306    11.2237
8.1346     10.6131    11.2781












































































































































































14.7567    4.615      13.7363    LTEMFOS
14.7651    4.5568     13.5477
14.7746    4.4726     13.3804
14.7018    4.5134     13.1192
14.7232    4.4299     13.0252
14.695     4.4057     12.9026
14.6888    4.3712     12.7935
14.6505    4.2489     12.6827
14.6583    4.3046     12.5361
14.6363    4.2827     12.4096
14.634     4.2579     12.291
14.651     4.2296     12.1642
14.6551    4.1713     12.0159
14.5834    4.2162     11.8397
14.6009    4.0928     11.7307
14.5651    4.0255     11.5927
14.4629    3.8738     11.2869
14.4514    3.8361     11.1769
14.461     3.7392     11.0329
14.4279    3.6556     10.908
14.4861    3.5782     10.7832
14.7074    3.59       10.5647
14.8571    3.6177     10.4832
14.9795    3.6585     10.4573
15.1627    3.7909     10.4565
15.3562    3.9571     10.5219
15.5156    4.0855     10.5753
15.5918    4.2175     10.6293
15.7085    4.3107     10.7053











































































































































































7.5968     2.8589     10.2261    OP
8.8595     4.3471     10.7798    BA
12.3872    8.2006     11.5147    ST
16.2067    12.6684    13.1861    IV
5.8814     7.6899     10.128     R_PG
6.9175     10.1819    9.6083     R_ZTI
10.9703    9.9663     12.6369    R_M3D
12.4367    12.2886    13.3681    R_M12
14.1246    13.9639    13.8087    R_MP3
15.6286    14.8017    14.017     R_PMI
12.3217    1.7596     10.7017    L_PG
14.9095    2.7233     10.2532    L_ZTI
14.2504    7.1404     13.0005    L_M3D
16.2179    8.853      13.7001    L_M12
17.7567    10.8687    14.1319    L_MP3
18.4706    12.4936    14.0501    L_PMI
18.5807    14.5523    14.6228    O1
9.455      12.0197    9.351      O2
14.2294    5.2108     4.5999     O3
4.4266     3.7376     8.5326     O4




















































































































































































10.1921    11.5929    10.6179    RZYGINF
10.0025    11.5536    10.5167
9.8893     11.4644    10.4513
9.7801     11.3942    10.3551
9.6079     11.3868    10.2104
9.4369     11.3817    10.1341
9.2309     11.3068    10.1157
9.0444     11.2864    10.1009
8.8165     11.1657    10.1325
8.6337     11.0543    10.1303
8.5562     10.9365    10.1518
8.4082     10.8282    10.1437
8.2439     10.7056    10.1126
8.1408     10.5937    10.0962
7.973      10.499     10.0621
7.8679     10.4741    10.0369
7.7217     10.4451    9.9847
7.5906     10.4658    9.9285
7.3925     10.393     9.8797
7.2529     10.3279    9.8211
7.1627     10.2974    9.7673
7.0708     10.2102    9.7277
6.9836     10.2057    9.6936
6.88       10.1325    9.6105
















































































































































































15.9456    6.2852     11.1015    LZYGINF
15.9869    6.0762     10.9398
16.0152    5.9384     10.8226
16.0554    5.8299     10.7201
16.076     5.6683     10.6716
16.0717    5.4904     10.6292
16.0015    5.3267     10.6168
15.9132    5.1423     10.6334
15.8043    4.9226     10.6855
15.7403    4.7063     10.7091
15.6151    4.4472     10.6885
15.4573    4.3091     10.6966
