MNHN       1901-515   Php15stv
-4.1518    8.3504     12.7001
-3.9204    8.2467     12.8366
-3.7282    8.1369     12.9502
-3.4169    8.0094     12.998
-3.2579    7.8979     13.0376
-2.9728    7.755      13.0043
-2.7012    7.6183     12.9843
-2.4404    7.6534     13.0021
-2.031     7.6727     13.0131
-1.8427    7.5671     12.8813
-1.7202    7.623      12.6308
-1.6402    7.5571     12.5
-1.5547    7.5113     12.3303
-1.5542    7.5122     12.2052
-1.5391    7.501      12.0524







































































































































































0.2361     7.5504     10.7278    LORBIT
0.4881     7.5941     10.6582
0.6536     7.6678     10.62
0.9235     7.7154     10.5916
1.1597     7.7781     10.571
1.434      7.9217     10.6358
1.7191     8.0075     10.7159
1.746      8.1207     10.8611
1.8144     8.2873     11.0081
1.8943     8.3233     11.1212
1.9208     8.4179     11.2317
1.9626     8.5303     11.3948
2.0127     8.631      11.5396
2.04       8.6501     11.7792
1.9757     8.7074     11.9312
1.9612     8.6984     12.1068
1.9259     8.6946     12.3529
1.9002     8.553      12.6292
1.7799     8.4236     12.8132
1.6184     8.3135     12.9724
1.3523     8.1749     13.0792
1.1307     8.042      13.1278
0.8903     7.929      13.1364
0.5765     7.7664     13.0633
0.3715     7.6716     12.9903
-0.1464    7.5997     13.1108
-0.5119    7.5632     12.8553
-0.6805    7.5057     12.6668
-0.75      7.5648     12.3204
-0.7588    7.6039     12.0891
-0.6991    7.6624     11.983
-0.6312    7.7076     11.7378








































































































































































-4.9199    9.2245     12.2841    RTEMFOS
-4.9691    9.245      12.1855
-5.0401    9.2737     12.0462
-5.1277    9.2514     11.8239
-5.1591    9.1847     11.6211
-5.2122    9.1019     11.5056
-5.2499    9.0712     11.3631
-5.2595    9.0484     11.223
-5.2571    8.9817     11.0332
-5.2551    8.896      10.8925
-5.2506    8.7623     10.6754
-5.2353    8.6737     10.5028
