AMNH       81811      phu3ms5.xls
3.0145     11.5392    -9.1537
3.0575     11.6741    -8.9351
3.0842     11.7472    -8.7417
3.313      11.8002    -8.4037
3.5865     11.7836    -8.1077
3.7224     11.9486    -7.7828
3.8683     12.1657    -7.4023
3.8874     12.323     -7.0739
3.9455     12.5918    -6.7536
4.0097     12.8636    -6.2966
4.1562     13.0036    -5.9516
4.2725     13.0538    -5.7471
4.3774     13.1365    -5.577
4.4575     13.1292    -5.5359
4.5512     13.1516    -5.5323

















































































































































11.8304    10.5292    -15.3653   SUPORB
11.7942    10.5016    -15.4881
11.6953    10.5677    -15.8893
11.527     10.6791    -16.2444
11.4209    10.7461    -16.4907
11.0848    10.9269    -16.905
11.2012    10.8417    -16.7933
10.847     10.9424    -17.0211
10.3487    11.109     -17.2511
9.8539     11.2618    -17.4338
9.5427     11.3346    -17.488
9.1877     11.5993    -17.5845
8.887      11.896     -17.6963
8.7389     11.9929    -17.6992
8.5118     12.1247    -17.6998
8.2544     12.264     -17.6725
7.9277     12.3578    -17.5922
7.7212     12.4092    -17.4925
7.3946     12.3973    -17.2821
7.1451     12.4265    -17.0357
6.9334     12.5577    -17.0006
6.879      12.6787    -17.1028
6.85       12.9175    -17.288
6.8068     13.0989    -17.3673
6.7654     13.3772    -17.4614
6.7322     13.6194    -17.5568
6.7427     13.8061    -17.6037
6.7359     14.0095    -17.6274
6.544      14.1818    -17.6363
6.2793     14.3367    -17.5781
6.1238     14.4816    -17.5193
5.9466     14.6254    -17.4592
5.8431     14.8348    -17.3707
5.8595     14.8237    -17.4665
5.7344     15.0459    -17.3624
5.5832     15.3802    -17.2457
5.4198     15.7396    -17.0622
5.3069     16.0036    -16.9336
5.1243     16.3117    -16.6993
4.9746     16.5294    -16.4213
4.9145     16.75      -16.1377
4.8871     16.9381    -15.7933
4.8298     16.9832    -15.5147
4.7706     17.0084    -15.3427
4.8086     17.0871    -15.1155
4.8147     17.1119    -14.9793
4.813      17.1435    -14.8348
4.8503     17.193     -14.7914
























































































































































8.9427     11.3162    -13.7368   RORBIT
9.0298     11.2354    -13.7625
9.2295     11.1117    -13.8216
9.4586     10.9416    -13.9339
9.6455     10.8722    -14.0554
9.9467     10.8386    -14.2555
10.1382    10.7669    -14.4376
10.3067    10.7897    -14.6232
10.4652    10.7488    -14.7875
10.5473    10.7302    -14.9814
10.5661    10.7994    -15.2066
10.5906    10.6429    -15.4541
10.3584    10.5858    -15.8749
10.1362    10.5525    -16.1065
9.7764     10.6046    -16.2693
9.5155     10.6604    -16.3584
9.136      10.8757    -16.3722
8.8516     11.0641    -16.2922
8.6076     11.2887    -16.1859
8.3571     11.489     -16.1893
8.2287     11.5736    -16.2435
8.1519     11.7355    -16.1435
7.8893     11.9378    -16.0898
7.789      12.1307    -15.9096
7.7815     12.2668    -15.5471
7.6641     12.3162    -15.2397
7.6273     12.349     -14.9931
7.6048     12.3585    -14.7795












































































































































































