LSZT       R1         Phu188sf
-5.0117    11.1711    15.6749
-4.8507    11.0714    15.8989
-4.6037    10.7755    16.2363
-4.292     10.5476    16.4772
-4.027     10.3386    16.6321
-3.6317    10.3557    16.7522
-3.2652    10.4485    16.883
-2.925     10.5208    16.9817
-2.37      10.3229    17.1014
-2.1603    10.2643    17.109
-1.7246    9.961      17.0638
-1.4366    9.5744     16.9771
-1.0783    9.4408     16.816
-0.7331    9.6497     16.873
-0.337     9.8986     17.0271
0.3548     10.2417    17.1101
0.7793     10.4766    17.0833
1.2494     10.4766    16.9781
1.7112     10.5187    16.8371
2.1274     10.4383    16.6787
2.5167     10.6634    16.5114
2.7088     10.8677    16.399
2.953      11.1014    16.2568
3.0903     11.178     16.1682
3.243      11.2225    16.0254
3.4504     11.2589    15.8297
3.5828     11.295     15.6291
3.7144     11.3532    15.4082
3.7965     11.3945    15.1595
3.8967     11.3095    14.9284
3.8804     11.0684    14.5746





































































































































































-2.932     9.0624     13.2333    RORBIT
-3.2265    9.0914     13.2422
-3.4927    9.1744     13.2434
-3.7992    9.3361     13.3074
-4.0469    9.5283     13.4035
-4.3164    9.8015     13.5976
-4.4961    10.0293    13.8043
-4.5836    10.2111    14.034
-4.6075    10.2958    14.2027
-4.7428    10.3775    14.4979
-4.7104    10.3404    14.9017
-4.5542    10.0664    15.4105
-4.3356    9.7936     15.7471
-3.924     9.4337     15.9819
-3.5056    9.3443     15.9717
-2.8891    9.2085     15.9844
-2.4771    9.2131     15.9764
-2.0076    9.2797     15.918
-1.7253    9.2447     15.6455
-1.6062    9.1966     15.3678
-1.456     9.2043     15.021
-1.3174    9.0412     14.8606
-1.2757    8.9967     14.7341

















































































































































































1.5685     9.0414     13.3326    LORBIT
1.7879     9.0712     13.3194
2.0721     9.1852     13.3377
2.271      9.2384     13.3336
2.4689     9.3293     13.3651
2.6444     9.4744     13.4307
2.7904     9.6084     13.5053
2.8783     9.7946     13.648
2.9126     9.9915     13.7516
2.9953     10.1126    13.8919
3.0505     10.245     14.0772
3.1191     10.3184    14.2762
3.1362     10.4124    14.5013
3.1485     10.4285    14.78
3.1552     10.3336    15.0376
3.0192     10.2047    15.4566
2.7686     10.0091    15.8181
2.5856     9.8732     15.883
2.337      9.6694     15.9892
2.0681     9.5844     15.9756
1.789      9.6093     15.9942
1.5899     9.5272     16.0348
1.2438     9.4524     15.9486
1.0037     9.4342     16.0764
0.6796     9.4627     16.1082
0.2336     9.3738     15.9175
-0.0098    9.2175     15.7682
-0.1261    9.0941     15.4459
-0.1459    9.1047     15.1879
-0.2317    9.1479     14.9496
-0.2706    9.1373     14.8391
-0.2415    9.0673     14.6501








































































































































































-5.4769    11.111     14.2939    RTEMFOS
-5.5495    11.0396    14.0668
-5.604     10.9515    13.893
-5.6257    10.8043    13.6465
-5.6322    10.6532    13.3616
-5.6246    10.527     13.1137
-5.6283    10.3982    12.8207
-5.6212    10.2452    12.5159
-5.6229    10.1104    12.273
-5.6113    9.9706     12.0189
-5.6575    9.867      11.8087
-5.7178    9.776      11.5536
-5.7942    9.7504     11.2562
-5.8663    9.7507     11.0786
-6.0268    9.9596     10.8843
-6.1711    10.2067    10.787
-6.2172    10.4679    10.8078
-6.2777    10.5937    10.8319
-6.3182    10.68      10.8432
-6.3218    10.78      10.8696




















































































































































































3.8047     10.9475    14.5637    LTEMFOS
3.8151     10.6894    14.2961
3.7578     10.523     14.0884
3.7725     10.4051    13.8423
3.7847     10.2096    13.6058
3.8382     10.1042    13.3046
3.9204     9.95       13.0151
3.9825     9.9271     12.7466
4.1388     9.901      12.5059
