TMP        AZ 798     Phu113sf
19.7397    8.8275     12.8291
19.8333    9.0887     12.9903
19.9443    9.2658     13.2258
20.0727    9.4197     13.5376
20.0615    9.5015     13.7623
20.0478    9.4373     14.2009
19.941     9.4649     14.1081
19.7265    9.3844     14.4619
19.6345    9.2442     14.7282
19.3757    9.0912     14.9239
19.1027    9.0052     14.9975
18.8469    8.9169     14.9929
18.5606    8.846      14.9586
18.2991    8.846      14.9148
18.01      8.8878     14.8666
17.8091    8.9168     14.8947
17.5805    8.974      14.9554
17.344     8.8965     14.813
17.1933    8.7902     14.3818
17.1114    8.7439     14.048
17.0839    8.6863     13.8552
17.0734    8.6081     13.738
17.082     8.5601     13.6348
17.0742    8.4902     13.5481
17.137     8.4231     13.3356









































































































































































13.0358    10.1895    13.5869    RTEMFOS
12.9734    9.9804     13.3244
12.9484    9.8751     13.1439
12.9266    9.7222     12.9035
12.9162    9.5897     12.7057
12.905     9.4585     12.5799
12.9138    9.3225     12.4043
12.9129    9.1186     12.1688
12.9117    9.0264     11.9784
12.9253    8.9112     11.7806
12.8745    8.7225     11.6333
12.8477    8.6235     11.3521
12.8036    8.5495     11.2055
12.7287    8.4974     10.9915
12.6157    8.662      10.6546
12.4959    8.9481     10.4796
12.3698    9.2449     10.4271
12.3343    9.4536     10.4184
12.3966    9.5886     10.4512





















































































































































































20.3765    10.0653    13.4129    LTEMFOS
20.3993    9.9486     13.2155
20.4148    9.861      13.039
20.4705    9.751      12.94
20.462     9.5776     12.6949
20.468     9.4715     12.5349
20.4673    9.3075     12.3436
20.3988    9.1961     12.0686
20.3576    9.074      11.9034
20.3522    8.8853     11.7541
20.346     8.7571     11.5503
20.3545    8.5996     11.4264
20.3669    8.4978     11.2507
20.3928    8.3924     10.9838
20.4557    8.3422     10.8145
20.4478    8.3832     10.6162
20.5065    8.4365     10.4937
20.5594    8.5955     10.3212
20.7249    8.7986     10.2227
20.8081    9.0211     10.191
20.8439    9.3149     10.1499
20.8255    9.4563     10.1738


















































































































































































16.4836    6.3777     14.6966    OP
16.4216    8.3323     13.8007    BA
16.3914    12.6036    11.6517    ST
16.3547    17.8006    9.9677     IV
12.5923    8.3369     13.6473    R_PG
11.6579    10.0096    11.8089    R_ZTI
14.2393    14.0035    12.5244    R_M3D
14.1549    16.3323    11.8442    R_M12
14.5836    18.7736    11.0412    R_MP3
14.9466    19.229     10.4244    R_PMI
20.0907    8.2623     13.4776    L_PG
21.1365    9.9352     11.8388    L_ZTI
18.5922    13.8537    12.3798    L_M3D
18.8334    16.2197    11.4984    L_M12
18.4038    18.6439    10.6701    L_MP3
17.8773    19.1593    10.2621    L_PMI
15.6458    19.9775    9.2497     O1
13.386     8.0127     7.3681     O2
21.209     8.6826     12.152     O3
16.863     3.2012     14.1891    O4




















































































































































































12.8455    12.7572    11.1064    RZYGINF
12.6524    12.5131    11.0216
12.5378    12.2975    11.0725
12.3681    12.1292    11.1694
12.2233    11.9211    11.3096
12.2214    11.7281    11.4174
12.118     11.4947    11.4855
12.1429    11.2747    11.5858
12.0877    11.0982    11.6271
12.0636    10.8315    11.6686
11.9167    10.6063    11.7121
11.8551    10.3712    11.7997
11.7883    10.163     11.8512
11.7391    10.0579    11.8465


























































































































































































20.0864    12.7081    10.8125    LZYGINF
20.1434    12.4614    10.8222
20.3597    12.3304    10.8396
20.5968    12.1841    11.0207
20.6725    11.9121    11.2524
20.7575    11.7658    11.3454
20.7565    11.5378    11.4899
20.7738    11.2549    11.6142
20.7915    11.0078    11.6536
20.8125    10.8738    11.6547
