KNM        WT 17435   Too23stv
11.5403    18.144     9.4918
11.7212    18.3405    9.3639
11.8532    18.5801    9.2668
12.0068    18.9097    9.1425
12.192     19.2901    9.0695
12.5355    19.5011    8.8441
12.8174    19.7668    8.6495
13.1324    20.0792    8.5286
13.389     20.3052    8.4988
13.576     20.4374    8.3804
13.826     20.5582    8.2332
14.0382    20.687     8.1952
14.2344    20.7255    8.0051
14.3726    20.86      7.5536
14.5039    20.9137    7.4774




















































































































































































15.4813    14.2192    10.0761    L-ALV
16.0783    14.314     10.0748
16.4669    14.6632    9.9389
16.5923    14.7984    9.8908
16.954     15.2483    9.7742
17.1315    15.498     9.6927
17.2772    15.7016    9.6049
17.3789    15.8499    9.5106
17.6754    16.4143    9.2407
17.7193    16.7676    9.1166
17.8343    16.9573    9.0772
17.9099    17.119     8.9783
17.9576    17.2671    8.894
18.0455    17.571     8.7948
18.0794    17.741     8.7563
18.1916    18.0027    8.6915
18.2601    18.3662    8.5999
18.3371    18.664     8.4449
18.3104    18.8538    8.2111
18.2509    19.1603    8.0027
18.1648    19.3319    7.8447
