FSM        16653      Phq9stv
1.2848     4.2073     7.6819
1.3316     4.3378     7.8503
1.3913     4.4431     8.0186
1.4255     4.5811     8.2884
1.3845     4.7593     8.4718
1.3762     4.9325     8.6508
1.2582     5.2769     8.9651
1.2706     5.3948     9.1564
1.246      5.5368     9.3281
1.15       5.5911     9.3843
0.9234     5.6629     9.5253
0.8755     5.7779     9.6351
0.6371     5.958      9.6467
0.4511     5.9414     9.7783
































































































































































0.3807     3.5291     6.584      NASP-PR
0.3696     3.3004     6.3088
0.3354     3.1834     6.1051
0.3465     3.1318     5.8058
0.3257     3.0891     5.6167
0.3501     3.0737     5.4168
0.3991     3.1189     5.1348

































































































































































































-0.3149    6.8084     10.1822    R-PM/MAX
-0.3925    6.5613     10.0494
-0.4915    6.3022     9.8802
-0.5526    6.0789     9.7276
-0.655     5.8578     9.5719
-0.7669    5.6233     9.3597
-0.8453    5.4264     9.2018
-0.8949    5.1995     9.0049
-0.9468    5.0887     8.8238
-1.0391    4.9579     8.7191
-1.2577    4.7776     8.4108
-1.2933    4.6726     8.217
-1.405     4.581      7.9886
-1.4791    4.4967     7.7223
-1.5514    4.4268     7.5239
-1.5867    4.3469     7.2887
-1.6423    4.2586     7.079
-1.6362    4.202      6.8782
-1.6627    4.16       6.7784
-1.6809    4.1924     6.6005
-1.6454    4.2156     6.3685
-1.702     4.2525     6.16
-1.5179    4.3669     5.9461

















































































































































































1.123      6.7647     10.1586    L-PM/MAX
1.2059     6.6173     10.03
1.3208     6.4011     9.9104
1.3465     6.2372     9.7643
1.4307     6.03       9.6261
1.4953     5.8697     9.4973
1.5209     5.7046     9.3768
1.5943     5.5016     9.18
1.674      5.2642     8.9767
1.737      5.1044     8.7697
1.8297     4.955      8.5901
1.9464     4.8947     8.4355
1.9588     4.7935     8.2453
2.0884     4.636      7.9677
2.1174     4.5594     7.7388
2.1629     4.5218     7.5611
2.1738     4.4554     7.3404
2.1946     4.4452     7.1486
2.3203     4.4704     7.0376
2.3705     4.4171     6.836
2.3754     4.4074     6.6163
2.3337     4.4555     6.3228
2.3366     4.5158     6.162
2.2688     4.5562     6.0219
2.0955     4.5644     5.9642















































































































































































-2.5024    8.1352     6.8495     ROSTRUM
-2.4961    8.0833     7.0986
-2.4389    8.0556     7.3467
-2.2642    8.0475     7.6033
-2.079     7.9807     7.8594
-1.8944    7.9849     8.1282
-1.7939    7.9395     8.3844
-1.711     7.8762     8.7074
-1.6902    7.85       8.9651
-1.6845    7.8209     9.2325
-1.6691    7.7527     9.4301
-1.7187    7.7171     9.6892
-1.8126    7.7092     9.8526
-1.8728    7.7009     9.9805
-1.8749    7.6455     10.0919
-1.8031    7.5848     10.2423
-1.6643    7.5552     10.357
-1.5083    7.5315     10.5033
-1.2582    7.4209     10.5379
-1.0645    7.3981     10.502
-0.8148    7.427      10.4573
-0.6528    7.4413     10.4225
-0.4735    7.4562     10.4287
-0.2541    7.4307     10.5084
-0.0272    7.3955     10.6881
0.2357     7.4537     10.7993
0.4126     7.4349     10.8034
0.6715     7.5        10.7447
0.854      7.6056     10.618
1.0949     7.616      10.5598
1.3599     7.5993     10.5463
1.6077     7.5747     10.592
1.8417     7.5916     10.5983
2.1062     7.6143     10.529
2.3044     7.6818     10.4438
2.3924     7.7012     10.3555
2.4207     7.6306     9.9545
2.3315     7.7214     9.7793
2.2197     7.7971     9.5614
2.222      7.9259     9.3399
2.2116     8.0145     9.1206
2.2168     8.0833     8.838
2.223      8.1919     8.6348
2.2633     8.2896     8.349
2.3591     8.4097     8.1343
2.5138     8.492      7.9094
2.6666     8.5264     7.7514
2.7993     8.5126     7.5501
2.8867     8.5186     7.2756
2.9058     8.5774     7.0698
2.9027     8.5971     6.9528
2.9025     8.6528     6.8177
2.8116     8.6369     6.5914



















































































































































-3.8482    11.7234    13.7178    SUPORB
-3.7767    11.737     13.8984
-3.7115    11.7273    14.1641
-3.6429    11.7338    14.3699
-3.4896    11.7175    14.5396
-3.2776    11.6653    14.7233
-3.0985    11.5356    14.8402
-2.9416    11.4552    14.9107
-2.7143    11.3162    15.0138
-2.5048    11.1942    15.0808
-2.1682    11.1662    15.2244
-1.8925    11.2323    15.3059
-1.6693    11.1707    15.3358
-1.4337    11.1839    15.3709
-1.2506    11.182     15.3846
-1.0303    11.1126    15.389
-0.6992    11.1321    15.3896
-0.4328    11.0338    15.3427
-0.0407    10.9411    15.3118
0.2234     10.8897    15.2678
0.6463     11.0322    15.3359
0.8821     11.1855    15.3975
1.2063     11.2605    15.4259
1.4228     11.365     15.4445
1.6627     11.4329    15.4308
1.9166     11.4397    15.4061
2.1632     11.4164    15.3823
2.476      11.4873    15.3162
2.7023     11.5605    15.2575
3.0459     11.7185    15.1409
3.2849     11.8405    15.0332
3.508      11.9552    14.9176
3.7485     12.0517    14.7666
3.856      12.1297    14.6664
4.0534     12.3319    14.4003
4.119      12.3345    14.1317
4.1951     12.2852    13.9378
4.27       12.2086    13.7183
4.3616     12.1752    13.5751
4.4661     12.0422    13.3253
































































































































































-1.6502    10.4837    12.2098    RORBIT
-1.8259    10.5169    12.1962
-2.0726    10.5246    12.2398
-2.2849    10.5903    12.2851
-2.4786    10.696     12.3899
-2.6627    10.799     12.541
-2.842     10.9053    12.7415
-2.9635    11.0228    12.9273
-3.0155    11.0802    13.1122
-3.0483    11.1177    13.2849
-3.0903    11.0825    13.6117
-3.0367    10.9956    13.8861
-2.789     10.9136    14.0869
-2.6302    10.8088    14.2603
-2.3662    10.6788    14.3729
-2.1237    10.5715    14.5048
-1.8183    10.5317    14.5896
-1.64      10.5971    14.5549
-1.4123    10.6225    14.5463
-1.1058    10.6382    14.768
-0.7077    10.6433    14.7505
-0.4429    10.7367    14.4924
-0.2782    10.6842    14.2381
-0.2272    10.6267    14.1146
-0.1092    10.5676    13.8522
-0.0856    10.5713    13.6919
-0.0682    10.5429    13.5395
-0.0303    10.4604    13.4214












































































































































































2.248      10.6885    12.2388    LORBIT
2.4765     10.7157    12.2745
2.7869     10.7418    12.3345
2.9264     10.8988    12.4574
3.1123     11.0242    12.5631
3.3214     11.1019    12.6806
3.4647     11.2404    12.8417
3.5692     11.3451    13.0535
3.6264     11.4098    13.236
3.6803     11.4321    13.3819
3.7351     11.4808    13.5121
3.7126     11.4296    13.7659
3.6517     11.3737    14.0298
3.4888     11.2725    14.1559
3.3515     11.1394    14.3366
3.0311     10.9432    14.5616
2.8459     10.8392    14.6488
2.487      10.7519    14.5585
2.2337     10.6672    14.6518
2.071      10.6527    14.6315
1.7827     10.6683    14.666
1.3916     10.7247    14.7565
1.0108     10.7109    14.5906
0.8192     10.6771    14.0521
0.7506     10.6542    13.7929
0.6962     10.6224    13.6213
0.6789     10.645     13.4375
0.7533     10.6129    13.2313












































































































































































-3.835     11.8204    13.7152    RTEMFOS
-3.8371    11.7154    13.4496
-3.9869    11.5784    13.2657
-4.0047    11.4596    13.0633
-4.0462    11.3177    12.827
-4.0641    11.1855    12.5219
-4.039     11.0416    12.2518
-4.0179    10.9289    12.0408
-3.9813    10.8417    11.8351
-4.0068    10.7571    11.6083
-4.0278    10.6825    11.4957
-3.9971    10.5686    11.2733
-4.0084    10.4886    11.0747
-4.0409    10.4003    10.8675
-4.193     10.4616    10.6664
-4.3943    10.5185    10.5546
-4.635     10.69      10.4984
-4.8128    10.9324    10.4937
-4.9797    11.1402    10.504
-5.0925    11.3391    10.5078
-5.1257    11.5042    10.5634
-5.1817    11.6558    10.5892
-5.2087    11.7999    10.6206
-5.2904    11.9474    10.6304
















































































































































































4.2854     12.1274    13.6027    LTEMFOS
4.3763     12.0819    13.4039
4.4278     12.0159    13.2938
4.4841     11.9324    13.1021
4.4675     11.8013    12.7986
4.4693     11.7007    12.5619
4.5585     11.5748    12.4156
4.567      11.4788    12.2861
4.5698     11.3767    12.022
4.5303     11.2507    11.8392
4.5218     11.2279    11.6659
4.5077     11.1619    11.4469
4.4341     11.1154    11.2453
4.4608     11.0394    11.0259
4.5177     11.0361    10.8557
4.6807     11.0679    10.6529
4.8317     11.1368    10.5416
4.934      11.2752    10.502
5.0731     11.4463    10.4931
5.2367     11.671     10.5218
5.3171     11.84      10.5348
5.3888     12.0661    10.598
5.4262     12.2357    10.636
5.4926     12.4223    10.6504
















































































































































































0.7674     5.0172     12.2209    OP
0.5979     7.4206     12.3171    BA
0.197      12.4582    11.718     ST
-0.5216    18.64      12.248     IV
-3.47      7.0827     11.8769    R_PG
-5.3275    9.4461     10.8811    R_ZTI
-2.1937    13.2195    13.0644    R_M3D
-2.808     15.7147    13.1614    R_M12
-2.8144    18.3406    13.182     R_MP3
-2.2285    19.6396    12.961     R_PMI
4.6265     7.8589     11.6471    L_PG
6.0967     10.3168    10.4523    L_ZTI
2.409      13.6032    12.8883    L_M3D
2.3772     16.193     12.9016    L_M12
1.9488     18.6685    12.8019    L_MP3
0.9622     19.8906    12.8457    L_PMI
-0.1144    21.6577    13.0571    O1
-3.251     10.2605    6.2717     O2
6.1885     10.2932    10.0787    O3
0.1838     2.4099     9.6281     O4




















































































































































































-3.7048    13.1298    11.0772    RZYGINF
-3.8073    12.9487    11.0691
-3.9618    12.8024    11.0125
-4.0875    12.6868    10.976
-4.2139    12.5537    10.942
-4.3987    12.3635    10.9537
-4.5099    12.1831    10.952
-4.5132    12.0343    11.0028
-4.5687    11.8319    11.0583
-4.5951    11.6785    11.1018
-4.6034    11.5051    11.1305
-4.6653    11.309     11.1428
-4.7019    11.123     11.1588
-4.7915    10.8938    11.1868
-4.8894    10.6435    11.1662
-4.9141    10.4193    11.1473
-4.9444    10.2374    11.1518
-4.9574    10.0238    11.117
-4.9585    9.8379     11.0885
-4.9803    9.6969     11.0339
-5.0775    9.5888     11.0083
-5.1664    9.5237     10.9704
-5.2541    9.4677     10.9263
-5.3337    9.4281     10.9
















































































































































































4.1093     13.5713    10.6506    LZYGINF
4.3218     13.3554    10.6022
4.4753     13.1941    10.5585
4.6824     13.0087    10.5921
4.7679     12.724     10.6321
4.8605     12.4398    10.6353
5.0398     12.1418    10.6991
5.1768     11.877     10.7754
5.3685     11.5691    10.7802
5.4617     11.3774    10.7752
5.4722     11.185     10.7754
5.5323     11.0126    10.7545
5.6218     10.884     10.7312
5.6815     10.6976    10.6864
5.7813     10.5808    10.6371
5.8815     10.484     10.598
5.948      10.4416    10.5729
6.1202     10.3319    10.4511






















































































































































































-2.2467    13.2942    13.1       R-ALV
-2.4898    13.5186    13.0827
-2.6518    13.854     13.1228
-2.7466    14.1076    13.0904
-2.7453    14.3845    13.0375
-2.7806    14.6727    13.0204
-2.8173    14.991     13.0283
-2.8732    15.1788    13.0662
-2.8993    15.3868    13.1444
-2.8123    15.6464    13.1137
-2.8052    15.9554    13.1566
-2.7991    16.2851    13.2119
-2.8018    16.5375    13.191
-2.7487    16.7585    13.1713
-2.7769    17.038     13.1648
-2.804     17.2953    13.1979
-2.7972    17.543     13.1589
-2.8018    17.8012    13.1704
-2.8286    18.0145    13.1744
-2.8193    18.165     13.1735
-2.775     18.3084    13.1686



















































































































































































2.3264     13.6132    12.9448    L-ALV
2.5009     13.8323    12.8846
2.5656     14.0174    12.873
2.6348     14.2238    12.8407
2.6725     14.478     12.9086
2.6647     14.6763    12.8534
2.6227     14.9712    12.8455
2.5914     15.2104    12.8319
2.5686     15.4105    12.8018
2.5889     15.6551    12.8083
2.5826     15.8873    12.801
2.4798     16.0851    12.8352
2.3751     16.2738    12.8416
2.3375     16.4764    12.8366
2.2909     16.7554    12.8382
2.244      17.0094    12.8683
2.1359     17.1445    12.945
2.0989     17.3602    12.9455
2.0803     17.5955    13.0017
2.0102     17.883     13.0005
1.9922     18.1116    12.968
1.9853     18.4273    12.9183
1.9596     18.6024    12.8341
