TMP        KA 194     Phg2stv
11.2063    16.3881    8.7315     RZYGINF
10.902     16.3931    8.6594
10.7455    16.3028    8.6081
10.6569    16.2472    8.6268
10.3877    15.8342    8.7794
10.3611    15.7137    8.8282
10.3644    15.5453    8.8798
10.3484    15.3987    8.9102
10.2863    15.1702    8.9765
10.2469    15.0191    8.9985
10.2033    14.8552    9.0083
10.1351    14.6765    8.9911
10.0688    14.4439    8.9635
10.018     14.2656    8.9051
9.9573     14.0693    8.841
9.9122     13.8711    8.795
9.8645     13.7117    8.7552
9.827      13.5675    8.7187
9.836      13.4708    8.6864
9.7475     13.3474    8.5934




















































































































































































17.21      16.1601    8.7248     LZYGINF
17.4197    16.0056    8.726
17.5775    15.8719    8.7501
17.623     15.7641    8.8019
17.7255    15.6342    8.8956
17.8569    15.4833    8.9677
17.9589    15.3583    9.078
18.0343    15.2191    9.1678
18.1089    15.052     9.2138
18.2088    14.8176    9.2743
18.2586    14.511     9.3246
18.2943    14.3002    9.3689
18.3076    14.169     9.3596
18.37      14.0341    9.3655
18.4373    13.8354    9.3413
18.4708    13.6871    9.3224
18.45      13.5192    9.3067
18.5016    13.3818    9.3047
18.5046    13.3143    9.2981
18.5265    13.1415    9.2713




















































































































































































12.1686    15.8281    9.5802     R-ALV
11.9753    16.0339    9.4635
11.9027    16.353     9.4527
11.9238    16.6901    9.391
11.9165    16.9488    9.3214
11.9002    17.3918    9.2951
11.8095    17.5847    9.3427
11.8853    17.888     9.2778
11.9522    18.1669    9.249
