UWMA       ZA 1442    Phu105stv
29.2258    10.6724    14.1372
29.2416    10.9213    14.2661
29.125     11.0652    14.2303
29.0805    11.2764    14.2157
28.9772    11.5153    14.1947
28.9651    11.6906    14.1412
28.9844    11.8073    13.9173
28.9925    11.8309    13.756
29.0212    11.8958    13.4294
29.0245    11.9368    13.2328
29.0141    11.9065    13.0594
28.9907    11.8649    12.8863










































































































































































28.5929    13.9778    11.5668    LORBIT
28.5282    14.3115    11.6422
28.462     14.4154    11.7109
28.4375    14.551     11.752
28.3227    14.6949    11.8575
28.2133    14.8288    11.9391
28.0944    14.9492    12.0508
27.9701    15.0286    12.1728
27.8905    15.189     12.2837
27.7357    15.236     12.5089
27.6868    15.207     12.623
27.6426    15.2442    12.8096
27.6515    15.2514    12.9733
27.7541    15.2626    13.2495
27.852     15.1739    13.4672
27.9637    15.0822    13.6493
28.0627    14.9526    13.7611
28.1104    14.8485    13.8288
28.2015    14.7422    13.9015
28.2555    14.6824    13.9386
28.325     14.5654    13.9588
28.3829    14.3852    13.9509
28.4146    14.2218    13.929
28.5779    14.0474    13.966
28.6745    13.87      14.0623
28.6811    13.7728    14.1203
28.718     13.4583    14.1695
28.7086    13.2433    14.1723
28.7528    12.9866    14.1657
28.7794    12.8346    14.0099
28.7736    12.749     13.7483
28.768     12.684     13.5874
28.7962    12.6482    13.4288
28.7934    12.6302    13.3586
28.7907    12.6053    13.2166
28.8248    12.5939    13.1177
28.8339    12.575     13.0107
28.8678    12.5986    12.9031


































































































































































28.1575    8.4944     12.9243    RTEMFOS
28.1969    8.4686     12.7483
28.2433    8.4366     12.5884
28.31      8.3975     12.382
28.4452    8.4127     12.1801
28.5568    8.4363     11.9528
28.634     8.4663     11.7366
28.7473    8.4811     11.5284
28.7964    8.4949     11.4382
28.8417    8.5144     11.3141
28.8947    8.512      11.2143
28.944     8.5095     11.0861
28.9886    8.5272     10.9663
29.0677    8.5158     10.8453
29.0748    8.5058     10.673
29.1348    8.4633     10.4924
29.1342    8.4314     10.3493
29.1986    8.3366     10.1919
29.1187    8.2569     10.0821
29.0485    8.1078     9.9282
28.9018    7.9891     9.8092
28.7364    7.8816     9.7419
28.5702    7.7851     9.7225
28.3982    7.7084     9.7459
28.2869    7.6718     9.7816
28.2166    7.6909     9.8038
28.1385    7.6177     9.8231













































































































































































26.8744    15.5669    12.6268    LTEMFOS
26.8512    15.6092    12.3922
26.9379    15.6474    12.2151
27.0107    15.6618    12.0575
27.1271    15.6684    11.8853
27.2416    15.6851    11.7152
27.3294    15.6911    11.5848
27.4523    15.6807    11.4136
27.5599    15.68      11.1998
27.6706    15.6835    11.0544
27.7934    15.7032    10.787
27.8737    15.744     10.5513
27.9413    15.7608    10.3995
27.9091    15.8371    10.1729
27.8227    15.8761    9.9548
27.7415    15.9678    9.8053
27.5741    16.1373    9.6072
27.3776    16.2305    9.5098
27.1384    16.2723    9.4971
26.9361    16.2666    9.5165
26.8107    16.235     9.5522
26.6726    16.2305    9.5655
26.5502    16.2161    9.6389

















































































































































































31.4091    12.4572    12.3224    OP
29.2131    12.4468    12.1933    BA
24.985     11.9398    11.4032    ST
19.8219    11.4177    11.5257    IV
29.5628    8.5166     11.5103    R_PG
27.6624    7.3513     10.898     R_ZTI
24.7565    9.7703     12.1288    R_M3D
22.1264    9.3783     12.4239    R_M12
19.582     9.5049     12.144     R_MP3
18.8976    9.8011     12.0436    R_PMI
28.8121    16.1865    11.7878    L_PG
26.768     17.0308    11.177     L_ZTI
24.5187    13.8892    12.1734    L_M3D
21.9748    14.0442    12.4025    L_M12
19.2843    13.2144    12.0928    L_MP3
18.666     12.6596    12.0543    L_PMI
17.1355    11.7351    11.7999    O1
26.9527    9.2574     6.0285     O2
26.6252    17.0038    10.6179    O3
33.6756    14.1993    10.0194    O4




















































































































































































24.5256    8.6283     10.7814    RZYGINF
24.627     8.4743     10.7356
24.686     8.4433     10.7184
24.7669    8.2968     10.6416
24.8218    8.1194     10.6441
25.0709    8.0039     10.7212
25.1302    7.8919     10.7307
25.3405    7.7954     10.7987
25.6466    7.7403     10.8967
25.8525    7.746      10.9706
26.0077    7.7391     11.0183
26.1782    7.739      11.0411
26.4205    7.685      11.0493
26.6634    7.6074     11.0553
26.9287    7.5181     10.9838
27.0782    7.4682     10.96
27.3386    7.3995     10.9605
27.4986    7.3278     10.9364
27.5829    7.2935     10.893
27.7064    7.3281     10.8468




















































































































































































24.0291    15.3648    10.9331    LZYGINF
24.0935    15.5848    10.8634
24.1663    15.7438    10.8754
24.2647    15.8747    10.9285
24.4246    16.0992    10.9983
24.6059    16.1742    11.0482
24.781     16.1716    11.1261
25.0735    16.17      11.2086
25.3273    16.2287    11.2465
25.5276    16.3358    11.2901
25.7526    16.3978    11.2913
25.8959    16.4563    11.2882
26.0424    16.6637    11.2767
26.2016    16.7678    11.2411
26.4619    16.8706    11.2579
26.6641    16.9797    11.2298
26.7255    17.051     11.2433
26.7339    17.0257    11.1734






















































































































































































24.6795    9.6739     12.1316    R-ALV
24.4436    9.5336     12.1595
24.2318    9.4375     12.2593
23.9817    9.4051     12.3002
23.7643    9.3466     12.3715
23.538     9.3004     12.3648
23.3382    9.289      12.3673
23.1344    9.2475     12.3651
22.9557    9.2188     12.3832
22.7923    9.1926     12.3743
22.5845    9.2377     12.2991
22.4535    9.251      12.4285
22.2783    9.3331     12.3928
22.0607    9.3592     12.3586
21.9061    9.3606     12.364
21.715     9.3654     12.3088
